"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"VAN","2019-10-02","2019020003","20192020","EDM","0",8,5,0,0,9,6,0,0,0,0
"VAN","2019-10-05","2019020028","20192020","CGY","0",10.32,6,0,1,17,8,1,1,0,0
"VAN","2019-10-09","2019020046","20192020","L.A","1",3.87,2,1,0,2,2,1,0,0,0
"VAN","2019-10-12","2019020073","20192020","PHI","1",3.22,2,0,0,4,3,0,0,0,0
"VAN","2019-10-15","2019020089","20192020","DET","1",5.7,5,0,0,6,5,1,0,0,0
"VAN","2019-10-17","2019020101","20192020","STL","0",7.18,3,0,1,10,3,0,1,0,0
"VAN","2019-10-19","2019020113","20192020","N.J","0",12,8,2,0,5,8,2,0,0,0
"VAN","2019-10-20","2019020124","20192020","NYR","0",5.7,3,0,0,2,3,0,0,0,0
"VAN","2019-10-22","2019020137","20192020","DET","0",8.05,6,1,1,4,9,1,1,0,0
"VAN","2019-10-25","2019020160","20192020","WSH","1",8.87,4,2,0,10,6,3,1,0,0
"VAN","2019-10-28","2019020178","20192020","FLA","1",4,4,0,0,2,5,1,0,0,0
"VAN","2019-10-30","2019020193","20192020","L.A","0",6.88,3,3,0,2,8,3,0,0,0
"VAN","2019-11-01","2019020202","20192020","ANA","0",10,7,1,0,5,7,3,2,2,0
"VAN","2019-11-02","2019020216","20192020","S.J","0",6.12,3,3,0,3,3,4,0,0,0
"VAN","2019-11-05","2019020232","20192020","STL","1",8,4,0,0,13,8,1,0,0,0
"VAN","2019-11-07","2019020243","20192020","CHI","0",5.43,5,2,0,1,6,2,0,0,0
"VAN","2019-11-08","2019020250","20192020","WPG","0",4.35,2,1,0,5,2,1,0,0,0
"VAN","2019-11-10","2019020265","20192020","N.J","1",4.45,3,0,0,3,3,0,0,0,0
"VAN","2019-11-12","2019020277","20192020","NSH","1",4.25,3,2,0,0,4,2,0,0,0
"VAN","2019-11-14","2019020291","20192020","DAL","1",5.22,5,0,0,3,5,0,0,0,0
"VAN","2019-11-16","2019020311","20192020","COL","1",8.83,5,1,0,10,7,1,0,0,0
"VAN","2019-11-19","2019020327","20192020","DAL","0",8.32,5,0,0,11,10,1,0,0,0
"VAN","2019-11-21","2019020339","20192020","NSH","0",6.4,6,0,0,2,6,0,0,0,0
"VAN","2019-11-23","2019020348","20192020","WSH","0",9.03,5,1,0,4,8,1,0,0,0
"VAN","2019-11-25","2019020367","20192020","PHI","0",4.23,2,0,0,8,2,0,0,0,0
"VAN","2019-11-27","2019020382","20192020","PIT","0",2.07,2,0,0,0,2,0,0,0,0
"VAN","2019-11-30","2019020414","20192020","EDM","0",5.83,3,2,0,3,5,3,0,0,0
"VAN","2019-12-01","2019020418","20192020","EDM","1",3.53,2,0,0,6,4,0,0,0,0
"VAN","2019-12-03","2019020432","20192020","OTT","1",2.75,2,1,0,2,3,1,0,0,0
