"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"VGK","2017-10-06","2017020015","20172018","DAL","0",37.75,100,35.19,32.84,35.96,28.96,1,0,19,35,22,45,32,57,1.14,2.8,1,-16,-23,-25,-1.66
"VGK","2017-10-07","2017020026","20172018","ARI","0",49.88,50,51.92,54.67,54.72,45.47,1,1,27,25,41,34,58,48,2.49,2.98,0,2,7,10,-0.5
"VGK","2017-10-10","2017020045","20172018","ARI","1",49.93,66.67,48.08,47.06,48.39,42.75,4,2,25,27,32,36,45,48,1.24,1.66,2,-2,-4,-3,-0.42
"VGK","2017-10-13","2017020062","20172018","DET","1",55.4,33.33,49.06,50.68,50,42.14,3,6,26,27,37,36,46,46,1.97,2.71,-3,-1,1,0,-0.74
"VGK","2017-10-15","2017020077","20172018","BOS","1",46.7,100,51.35,52.46,53.75,69.49,2,0,19,18,32,29,43,37,1.87,0.82,2,1,3,6,1.05
"VGK","2017-10-17","2017020090","20172018","BUF","1",44.37,100,55,46.77,47.06,51.17,4,0,22,18,29,33,40,45,1.82,1.73,4,4,-4,-5,0.08
"VGK","2017-10-21","2017020121","20172018","STL","1",52.57,33.33,30.36,36.71,35.64,26.43,1,2,17,39,29,50,36,65,1.1,3.06,-1,-22,-21,-29,-1.96
"VGK","2017-10-24","2017020135","20172018","CHI","1",44.45,66.67,48.89,51.67,51.14,56,2,1,22,23,31,29,45,43,2.4,1.89,1,-1,2,2,0.51
"VGK","2017-10-27","2017020149","20172018","COL","1",45.62,100,38.64,49.21,48.84,62.92,6,0,17,27,31,32,42,44,2.18,1.28,6,-10,-1,-2,0.89
"VGK","2017-10-30","2017020170","20172018","NYI","0",43.97,0,53.19,53.85,54.35,49.66,0,4,25,22,35,30,50,42,1.81,1.84,-4,3,5,8,-0.02
"VGK","2017-10-31","2017020178","20172018","NYR","0",45.18,50,56.6,52.7,52.08,54.01,3,3,30,23,39,35,50,46,3.32,2.82,0,7,4,4,0.49
"VGK","2017-11-02","2017020186","20172018","BOS","0",51.28,33.33,46,41.79,39.18,40.1,1,2,23,27,28,39,38,59,2.14,3.19,-1,-4,-11,-21,-1.05
"VGK","2017-11-04","2017020200","20172018","OTT","0",44.97,40,54.55,49.25,46.07,44.28,2,3,24,20,33,34,41,48,1.38,1.73,-1,4,-1,-7,-0.36
"VGK","2017-11-06","2017020218","20172018","TOR","0",54.25,50,53.33,58.82,54.55,68.24,2,2,24,21,40,28,48,40,2.68,1.25,0,3,12,8,1.43
"VGK","2017-11-07","2017020229","20172018","MTL","0",49.65,25,53.06,52.11,56.52,42.83,1,3,26,23,37,34,52,40,1.93,2.58,-2,3,3,12,-0.65
"VGK","2017-11-10","2017020248","20172018","WPG","1",43.9,75,55.56,50.91,48.68,63.95,3,1,20,16,28,27,37,39,1.85,1.04,2,4,1,-2,0.81
"VGK","2017-11-14","2017020273","20172018","EDM","0",49.8,33.33,43.75,45.71,45.35,45,2,4,21,27,32,38,39,47,1.51,1.85,-2,-6,-6,-8,-0.34
"VGK","2017-11-16","2017020287","20172018","VAN","0",55.63,66.67,58.33,57.35,52.69,48.97,4,2,28,20,39,29,49,44,1.45,1.51,2,8,10,5,-0.06
"VGK","2017-11-19","2017020308","20172018","L.A","1",54.75,60,56.45,60,57.8,65.56,3,2,35,27,45,30,63,46,3.38,1.77,1,8,15,17,1.6
"VGK","2017-11-22","2017020332","20172018","ANA","0",50.25,75,76.79,72.37,71.13,70.58,3,1,43,13,55,21,69,28,3.24,1.35,2,30,34,41,1.89
"VGK","2017-11-24","2017020347","20172018","S.J","1",51.6,50,53.33,49.23,48.91,56.01,3,3,24,21,32,33,45,47,2.47,1.94,0,3,-1,-2,0.53
