"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"VGK","2019-10-02","2019020004","20192020","S.J","1",4.08,100,100,100,100,100,1,0,6,0,9,0,11,0,0.9,0,1,6,9,11,0.9
"VGK","2019-10-04","2019020017","20192020","S.J","0",4.77,0,100,100,100,100,0,0,5,0,5,0,6,0,0.55,0,0,5,5,6,0.55
"VGK","2019-10-08","2019020043","20192020","BOS","1",3.68,100,100,100,100,100,2,0,6,0,7,0,8,0,0.56,0,2,6,7,8,0.56
"VGK","2019-10-10","2019020057","20192020","ARI","0",8.02,0,88.24,88.89,89.47,76,0,0,15,2,16,2,17,2,1.31,0.41,0,13,14,15,0.9
"VGK","2019-10-12","2019020074","20192020","CGY","1",6,0,100,100,100,100,0,0,4,0,9,0,11,0,0.73,0,0,4,9,11,0.73
"VGK","2019-10-13","2019020076","20192020","L.A","0",3.87,100,100,100,100,100,3,0,10,0,11,0,13,0,0.79,0,3,10,11,13,0.79
"VGK","2019-10-15","2019020090","20192020","NSH","1",5.53,100,33.33,50,71.43,97.42,1,0,1,2,2,2,5,2,0.34,0.01,1,-1,0,3,0.33
"VGK","2019-10-17","2019020105","20192020","OTT","1",5.98,100,93.33,94.74,91.67,94.61,1,0,14,1,18,1,22,2,2.45,0.14,1,13,17,20,2.31
"VGK","2019-10-19","2019020118","20192020","PIT","0",4.27,100,100,100,100,100,1,0,2,0,6,0,8,0,0.43,0,1,2,6,8,0.43
"VGK","2019-10-21","2019020130","20192020","PHI","0",6.58,100,100,100,100,100,1,0,9,0,11,0,14,0,1.78,0,1,9,11,14,1.78
"VGK","2019-10-22","2019020141","20192020","CHI","0",8.77,0,75,83.33,85.71,86.22,0,0,6,2,10,2,18,3,1,0.16,0,4,8,15,0.84
"VGK","2019-10-25","2019020155","20192020","COL","1",6.03,0,66.67,66.67,77.78,60.88,0,1,2,1,4,2,7,2,0.48,0.31,-1,1,2,5,0.17
"VGK","2019-10-27","2019020176","20192020","ANA","1",5.35,100,100,91.67,92.31,95.07,2,0,8,0,11,1,12,1,0.9,0.05,2,8,10,11,0.86
"VGK","2019-10-31","2019020195","20192020","MTL","1",2,0,100,100,100,100,0,0,2,0,4,0,5,0,0.53,0,0,2,4,5,0.53
"VGK","2019-11-02","2019020215","20192020","WPG","1",2.55,100,100,100,100,100,1,0,2,0,4,0,8,0,0.26,0,1,2,4,8,0.26
"VGK","2019-11-05","2019020227","20192020","CBJ","0",6,0,100,100,100,100,0,0,5,0,6,0,9,0,0.47,0,0,5,6,9,0.47
"VGK","2019-11-07","2019020237","20192020","TOR","0",10,0,80,81.25,86.36,87.43,0,0,12,3,13,3,19,3,1.56,0.22,0,9,10,16,1.34
"VGK","2019-11-09","2019020258","20192020","WSH","0",7.4,100,90.91,92.31,94.44,99.51,1,0,10,1,12,1,17,1,0.77,0,1,9,11,16,0.76
"VGK","2019-11-10","2019020266","20192020","DET","0",4,0,85.71,88.89,90,97.88,0,0,6,1,8,1,9,1,0.49,0.01,0,5,7,8,0.48
"VGK","2019-11-13","2019020285","20192020","CHI","1",2.97,100,100,100,100,100,1,0,6,0,7,0,8,0,0.47,0,1,6,7,8,0.47
"VGK","2019-11-16","2019020312","20192020","L.A","0",6,0,60,75,84.62,55.37,0,1,3,2,6,2,11,2,0.44,0.36,-1,1,4,9,0.09
"VGK","2019-11-17","2019020315","20192020","CGY","1",3.2,100,100,100,100,100,1,0,7,0,8,0,10,0,0.69,0,1,7,8,10,0.69
"VGK","2019-11-19","2019020329","20192020","TOR","1",1.87,100,100,100,100,100,2,0,4,0,5,0,7,0,0.57,0,2,4,5,7,0.57
"VGK","2019-11-21","2019020344","20192020","S.J","1",6,0,100,100,100,100,0,0,5,0,6,0,10,0,0.43,0,0,5,6,10,0.43
"VGK","2019-11-23","2019020360","20192020","EDM","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGK","2019-11-25","2019020371","20192020","DAL","0",7.7,0,100,85.71,92.31,83.45,0,0,4,0,6,1,12,1,0.5,0.1,0,4,5,11,0.4
"VGK","2019-11-27","2019020385","20192020","NSH","0",2.73,0,0,100,100,100,0,0,0,0,1,0,7,0,0.03,0,0,0,1,7,0.03
"VGK","2019-11-29","2019020399","20192020","ARI","1",7.8,100,100,100,100,100,1,0,8,0,8,0,9,0,0.72,0,1,8,8,9,0.72
"VGK","2019-12-02","2019020420","20192020","NYR","0",2.32,100,100,100,100,100,2,0,4,0,6,0,7,0,0.56,0,2,4,6,7,0.56
"VGK","2019-12-03","2019020427","20192020","N.J","0",4.68,100,80,81.82,75,76.99,1,0,8,2,9,2,9,3,0.92,0.28,1,6,7,6,0.65
"VGK","2019-12-05","2019020441","20192020","NYI","0",1.65,0,66.67,66.67,66.67,43.94,0,0,2,1,2,1,2,1,0.18,0.23,0,1,1,1,-0.05
"VGK","2019-12-08","2019020466","20192020","NYR","1",6.17,0,85.71,93.33,94.12,85.21,0,0,6,1,14,1,16,1,1.17,0.2,0,5,13,15,0.97
"VGK","2019-12-10","2019020482","20192020","CHI","1",2.35,100,100,100,100,100,1,0,4,0,4,0,5,0,0.35,0,1,4,4,5,0.35
"VGK","2019-12-12","2019020492","20192020","STL","0",6,0,66.67,80,80,89.74,0,0,4,2,8,2,8,2,0.62,0.07,0,2,6,6,0.55
"VGK","2019-12-13","2019020499","20192020","DAL","0",4,0,100,100,100,100,0,0,5,0,6,0,12,0,0.41,0,0,5,6,12,0.41
"VGK","2019-12-15","2019020518","20192020","VAN","1",5.12,100,100,100,100,100,2,0,5,0,6,0,8,0,0.68,0,2,5,6,8,0.68
