"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"VGK","2018-10-04","2018020014","20182019","PHI","1",47.22,8,10,29,38,4,3,0,0,-1,22,22,0
"VGK","2018-10-06","2018020025","20182019","MIN","0",56.37,5,2,17,17,2,2,1,1,0,32,27,5
"VGK","2018-10-08","2018020034","20182019","BUF","0",51.38,6,3,26,15,2,2,0,0,0,20,16,4
"VGK","2018-10-10","2018020043","20182019","WSH","0",47.42,6,3,18,26,4,3,0,0,-1,30,26,4
"VGK","2018-10-11","2018020050","20182019","PIT","0",52.88,5,6,25,30,1,2,0,0,1,26,29,-3
"VGK","2018-10-13","2018020058","20182019","PHI","0",48.47,8,7,21,23,1,3,0,0,2,13,19,-6
"VGK","2018-10-16","2018020085","20182019","BUF","1",40.97,6,15,29,23,5,2,0,0,-3,22,20,2
"VGK","2018-10-20","2018020113","20182019","ANA","1",46.28,8,8,30,33,1,5,0,0,4,19,32,-13
"VGK","2018-10-24","2018020133","20182019","VAN","1",53.1,12,17,27,34,1,2,0,0,1,26,27,-1
"VGK","2018-10-26","2018020144","20182019","T.B","1",47.08,7,11,38,40,1,3,0,0,2,28,25,3
"VGK","2018-10-28","2018020163","20182019","OTT","1",49.47,5,17,34,18,1,5,1,2,5,29,28,1
"VGK","2018-10-30","2018020173","20182019","NSH","0",47.85,8,5,11,15,3,2,0,0,-1,22,30,-8
"VGK","2018-11-01","2018020186","20182019","STL","0",48.55,6,6,20,14,4,4,0,0,0,23,30,-7
"VGK","2018-11-03","2018020204","20182019","CAR","1",43.62,14,23,23,30,3,3,0,0,0,18,21,-3
"VGK","2018-11-06","2018020215","20182019","TOR","0",49.97,8,10,22,21,1,2,0,0,1,20,31,-11
"VGK","2018-11-08","2018020231","20182019","OTT","0",50.87,7,4,26,28,1,2,1,1,1,27,32,-5
"VGK","2018-11-10","2018020246","20182019","MTL","0",50.37,12,6,29,24,2,2,0,0,0,37,20,17
"VGK","2018-11-11","2018020256","20182019","BOS","0",42.2,8,5,21,16,5,4,0,0,-1,18,27,-9
"VGK","2018-11-14","2018020276","20182019","ANA","1",44.7,7,17,28,21,2,5,0,0,3,18,25,-7
"VGK","2018-11-16","2018020290","20182019","STL","1",45.92,8,12,26,20,5,2,0,0,-3,20,22,-2
"VGK","2018-11-18","2018020306","20182019","EDM","0",54.8,7,3,17,24,2,3,0,0,1,28,35,-7
"VGK","2018-11-19","2018020315","20182019","CGY","0",50.37,28,14,30,12,6,2,0,0,-4,22,24,-2
"VGK","2018-11-21","2018020328","20182019","ARI","0",54.85,9,3,38,24,2,1,0,0,-1,23,26,-3
"VGK","2018-11-23","2018020338","20182019","CGY","1",52.27,10,11,36,20,1,2,0,0,1,19,23,-4
"VGK","2018-11-24","2018020356","20182019","S.J","1",47.12,5,14,21,28,3,6,0,0,3,22,24,-2
"VGK","2018-11-27","2018020374","20182019","CHI","0",52.92,6,11,23,15,1,3,0,0,2,29,23,6
"VGK","2018-11-29","2018020389","20182019","VAN","0",50.72,3,4,24,24,2,2,0,0,0,27,25,2
"VGK","2018-12-01","2018020406","20182019","EDM","0",47.55,12,9,31,32,1,1,0,0,0,18,20,-2
"VGK","2018-12-04","2018020424","20182019","WSH","1",37.42,6,6,37,31,2,6,1,0,3,29,13,16
"VGK","2018-12-06","2018020438","20182019","CHI","1",49.92,7,15,18,21,3,0,0,0,-3,19,29,-10
"VGK","2018-12-08","2018020445","20182019","L.A","0",53.3,2,1,27,19,1,3,0,0,2,22,22,0
"VGK","2018-12-09","2018020460","20182019","DAL","1",44.63,5,9,21,28,3,3,0,0,0,20,25,-5
"VGK","2018-12-12","2018020475","20182019","NYI","0",56.43,13,4,20,21,1,1,0,0,0,24,21,3
"VGK","2018-12-14","2018020487","20182019","N.J","0",47.53,4,6,14,12,4,3,0,0,-1,21,26,-5
"VGK","2018-12-16","2018020505","20182019","NYR","0",52.55,13,8,26,35,4,2,0,0,-2,31,29,2
"VGK","2018-12-17","2018020513","20182019","CBJ","0",53,5,4,24,18,2,1,0,0,-1,15,27,-12
"VGK","2018-12-20","2018020540","20182019","NYI","1",51.32,5,6,24,25,2,3,0,0,1,27,25,2
"VGK","2018-12-22","2018020549","20182019","MTL","1",53.28,7,19,31,24,1,2,0,0,1,27,22,5
"VGK","2018-12-23","2018020565","20182019","L.A","1",57.75,8,16,25,30,2,1,0,0,-1,24,22,2
"VGK","2018-12-27","2018020577","20182019","COL","1",44.93,7,17,29,20,2,2,0,0,0,21,17,4
"VGK","2018-12-29","2018020586","20182019","L.A","0",55,4,2,13,16,2,1,0,0,-1,32,19,13
"VGK","2018-12-30","2018020598","20182019","ARI","0",43.43,13,6,27,20,4,3,0,0,-1,22,19,3
"VGK","2019-01-01","2018020614","20182019","L.A","1",49.83,1,15,27,23,2,3,0,0,1,22,22,0
"VGK","2019-01-04","2018020635","20182019","ANA","0",48.72,17,9,24,28,3,1,0,0,-2,23,18,5
"VGK","2019-01-06","2018020646","20182019","N.J","1",52.52,8,11,25,28,0,2,0,0,2,31,25,6
"VGK","2019-01-08","2018020666","20182019","NYR","1",49.58,4,10,15,26,2,2,1,1,0,27,24,3
"VGK","2019-01-10","2018020681","20182019","S.J","1",47.53,7,12,31,32,2,3,0,0,1,20,26,-6
"VGK","2019-01-12","2018020694","20182019","CHI","0",51.4,8,7,28,27,3,2,0,0,-1,27,22,5
"VGK","2019-01-15","2018020718","20182019","WPG","0",43,5,2,18,24,2,5,0,0,3,16,24,-8
"VGK","2019-01-19","2018020750","20182019","PIT","1",49.5,8,8,31,33,1,2,0,0,1,30,27,3
"VGK","2019-01-21","2018020757","20182019","MIN","1",46.82,6,9,40,24,2,3,0,0,1,31,26,5
"VGK","2019-01-23","2018020768","20182019","NSH","1",45.5,5,5,24,25,3,6,0,0,3,24,24,0
"VGK","2019-02-01","2018020787","20182019","CAR","0",50.37,6,8,36,22,3,1,0,0,-2,28,18,10
"VGK","2019-02-02","2018020793","20182019","FLA","0",55.2,22,5,28,27,2,1,0,0,-1,22,25,-3
"VGK","2019-02-05","2018020816","20182019","T.B","0",49.9,7,6,21,27,5,1,0,0,-4,14,30,-16
"VGK","2019-02-07","2018020830","20182019","DET","0",46.05,11,4,15,16,4,2,0,0,-2,21,26,-5
"VGK","2019-02-09","2018020851","20182019","CBJ","1",53.38,11,11,25,32,2,2,0,0,0,24,27,-3
"VGK","2019-02-12","2018020874","20182019","ARI","1",52.08,7,9,43,30,3,2,0,0,-1,26,25,1
"VGK","2019-02-14","2018020885","20182019","TOR","1",42.95,7,4,37,16,6,1,0,0,-5,31,19,12
"VGK","2019-02-16","2018020901","20182019","NSH","1",50.75,6,11,33,16,2,0,0,0,-2,34,29,5
"VGK","2019-02-18","2018020913","20182019","COL","0",45.38,3,7,24,13,2,3,0,0,1,25,8,17
"VGK","2019-02-20","2018020928","20182019","BOS","1",54.85,9,14,38,24,2,0,0,0,-2,22,28,-6
"VGK","2019-02-22","2018020944","20182019","WPG","1",48.67,16,12,32,20,3,3,0,0,0,29,24,5
"VGK","2019-02-26","2018020978","20182019","DAL","1",51.77,5,21,44,39,2,3,0,0,1,27,29,-2
"VGK","2019-02-28","2018020989","20182019","FLA","1",60.05,15,20,30,36,5,2,0,0,-3,39,28,11
"VGK","2019-03-01","2018020997","20182019","ANA","0",51.08,10,10,23,28,1,1,0,0,0,25,21,4
"VGK","2019-03-03","2018021011","20182019","VAN","1",56,7,15,33,41,0,2,0,0,2,27,25,2
"VGK","2019-03-06","2018021032","20182019","CGY","1",44.65,6,11,23,26,5,5,0,0,0,18,24,-6
"VGK","2019-03-09","2018021059","20182019","VAN","0",55.9,2,3,15,34,1,0,0,0,-1,25,25,0
"VGK","2019-03-10","2018021063","20182019","CGY","0",51.52,8,9,19,12,3,3,0,0,0,28,28,0
"VGK","2019-03-15","2018021095","20182019","DAL","0",45.17,7,5,16,25,4,2,0,0,-2,26,15,11
"VGK","2019-03-17","2018021117","20182019","EDM","1",52.3,1,19,26,31,1,2,0,0,1,30,21,9
"VGK","2019-03-18","2018021121","20182019","S.J","0",44.23,5,11,19,0,3,5,0,0,2,20,19,1
"VGK","2019-03-21","2018021146","20182019","WPG","1",52.87,6,20,23,28,2,1,1,1,-1,24,23,1
"VGK","2019-03-23","2018021162","20182019","DET","1",53.83,7,15,37,23,2,2,0,0,0,24,25,-1
"VGK","2019-03-25","2018021173","20182019","STL","0",54.82,7,11,20,17,1,1,0,0,0,25,25,0
"VGK","2019-03-27","2018021188","20182019","COL","0",50.87,3,7,36,21,4,4,0,0,0,29,30,-1
"VGK","2019-03-29","2018021202","20182019","MIN","1",48.98,7,15,28,28,2,1,0,0,-1,20,23,-3
"VGK","2019-03-30","2018021211","20182019","S.J","0",51.08,9,7,37,40,6,5,1,1,-1,27,26,1
"VGK","2019-04-01","2018021227","20182019","EDM","1",52.68,6,16,21,23,0,1,0,0,1,26,21,5
"VGK","2019-04-04","2018021253","20182019","ARI","1",55.5,7,9,32,28,3,1,0,0,-2,30,26,4
"VGK","2019-04-06","2018021270","20182019","L.A","0",50.5,4,2,8,15,3,2,0,0,-1,27,19,8
"VGK","Total","-","20182019","-","-",49.92,629,780,2141,1993,202,197,7,7,-5,2016,1975,41
