"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"VGK","2017-10-06","2017020015","20172018","DAL","0",37.75,9,10,11,66,14,11,19,4,5
"VGK","2017-10-07","2017020026","20172018","ARI","0",49.88,11,14,8,93,16,16,13,3,7
"VGK","2017-10-10","2017020045","20172018","ARI","1",49.93,10,10,12,89,21,14,23,6,4
"VGK","2017-10-13","2017020062","20172018","DET","1",55.4,6,19,7,96,11,23,16,5,3
"VGK","2017-10-15","2017020077","20172018","BOS","1",46.7,10,14,8,81,12,16,14,5,3
"VGK","2017-10-17","2017020090","20172018","BUF","1",44.37,11,12,10,63,14,14,16,7,0
"VGK","2017-10-21","2017020121","20172018","STL","1",52.57,6,15,11,79,14,21,20,5,5
"VGK","2017-10-24","2017020135","20172018","CHI","1",44.45,10,14,14,68,14,19,17,2,4
"VGK","2017-10-27","2017020149","20172018","COL","1",45.62,8,14,4,65,14,21,11,4,6
"VGK","2017-10-30","2017020170","20172018","NYI","0",43.97,7,12,5,104,13,15,16,9,2
"VGK","2017-10-31","2017020178","20172018","NYR","0",45.18,8,14,9,95,12,17,16,3,8
"VGK","2017-11-02","2017020186","20172018","BOS","0",51.28,6,11,18,99,13,15,27,6,1
"VGK","2017-11-04","2017020200","20172018","OTT","0",44.97,8,17,9,78,12,20,21,13,4
"VGK","2017-11-06","2017020218","20172018","TOR","0",54.25,7,20,9,126,9,23,16,5,2
"VGK","2017-11-07","2017020229","20172018","MTL","0",49.65,10,16,6,96,18,24,12,3,2
"VGK","2017-11-10","2017020248","20172018","WPG","1",43.9,10,11,9,78,17,14,13,2,5
"VGK","2017-11-14","2017020273","20172018","EDM","0",49.8,5,15,14,88,9,22,24,6,3
"VGK","2017-11-16","2017020287","20172018","VAN","0",55.63,9,16,8,175,18,27,19,11,6
"VGK","2017-11-19","2017020308","20172018","L.A","1",54.75,14,14,8,99,18,21,17,6,6
"VGK","2017-11-22","2017020332","20172018","ANA","0",50.25,12,16,4,98,27,20,10,0,6
"VGK","2017-11-24","2017020347","20172018","S.J","1",51.6,9,14,8,98,18,16,17,9,8
"VGK","2017-11-25","2017020355","20172018","ARI","0",42.35,9,13,10,80,10,16,15,4,3
"VGK","2017-11-28","2017020376","20172018","DAL","1",53.33,17,10,12,86,28,12,17,4,9
"VGK","2017-11-30","2017020384","20172018","MIN","0",48.65,4,12,6,108,15,17,11,4,4
"VGK","2017-12-01","2017020394","20172018","WPG","0",46.13,13,14,12,90,18,19,16,2,3
"VGK","2017-12-03","2017020411","20172018","ARI","1",61.98,15,12,12,126,27,18,21,3,8
"VGK","2017-12-05","2017020424","20172018","ANA","1",53.53,14,10,10,113,18,16,19,6,8
"VGK","2017-12-08","2017020441","20172018","NSH","0",50.38,15,17,13,94,20,17,18,4,5
"VGK","2017-12-09","2017020452","20172018","DAL","0",48.78,7,17,10,96,9,24,18,3,2
"VGK","2017-12-12","2017020474","20172018","CAR","1",55.43,9,15,13,122,20,17,18,2,8
"VGK","2017-12-14","2017020490","20172018","PIT","1",49.97,8,10,9,84,13,13,16,5,3
"VGK","2017-12-17","2017020510","20172018","FLA","1",47.9,14,17,5,91,23,22,11,3,9
"VGK","2017-12-19","2017020525","20172018","T.B","1",50.58,12,11,6,113,19,16,16,2,10
"VGK","2017-12-23","2017020555","20172018","WSH","1",49.12,5,6,6,125,9,14,20,4,2
"VGK","2017-12-27","2017020568","20172018","ANA","0",49.7,6,16,10,73,11,20,15,5,4
"VGK","2017-12-28","2017020574","20172018","L.A","0",52.83,11,9,6,109,16,13,12,4,5
"VGK","2017-12-31","2017020593","20172018","TOR","1",47.1,10,18,3,92,14,22,7,4,4
"VGK","2018-01-02","2017020613","20172018","NSH","1",53.23,8,18,6,115,16,26,16,3,3
"VGK","2018-01-04","2017020621","20172018","STL","0",52.02,10,10,6,121,15,11,15,7,2
"VGK","2018-01-05","2017020632","20172018","CHI","0",50.08,15,17,5,94,18,22,9,5,4
"VGK","2018-01-07","2017020651","20172018","NYR","1",51.87,13,10,7,124,25,13,14,6,8
"VGK","2018-01-13","2017020676","20172018","EDM","1",42.88,15,9,5,105,22,10,8,2,6
"VGK","2018-01-16","2017020691","20172018","NSH","0",45.7,12,8,7,74,17,12,15,7,1
"VGK","2018-01-18","2017020701","20172018","T.B","0",51.08,10,16,5,81,16,22,21,9,4
"VGK","2018-01-19","2017020705","20172018","FLA","0",55.3,16,14,5,94,24,17,9,0,9
"VGK","2018-01-21","2017020722","20172018","CAR","0",47.28,9,10,5,93,16,14,12,4,7
"VGK","2018-01-23","2017020741","20172018","CBJ","1",50.28,13,13,12,106,18,19,22,6,5
"VGK","2018-01-25","2017020758","20172018","NYI","1",54.03,15,9,9,115,25,18,12,3,5
"VGK","2018-01-30","2017020771","20172018","CGY","0",50.53,9,14,7,129,12,21,14,5,6
"VGK","2018-02-01","2017020783","20172018","WPG","0",55.02,13,11,7,102,23,15,14,6,2
"VGK","2018-02-02","2017020791","20172018","MIN","0",47,6,13,6,90,7,18,14,2,0
"VGK","2018-02-04","2017020805","20172018","WSH","0",53.93,14,10,4,109,16,17,6,2,2
"VGK","2018-02-06","2017020813","20172018","PIT","0",45.7,9,17,5,85,15,20,8,2,4
"VGK","2018-02-08","2017020834","20172018","S.J","0",46.6,11,20,12,61,16,25,15,2,2
"VGK","2018-02-11","2017020859","20172018","PHI","1",57.8,22,9,8,125,31,17,15,7,10
"VGK","2018-02-13","2017020874","20172018","CHI","1",44.15,9,7,9,111,14,10,16,7,4
"VGK","2018-02-15","2017020888","20172018","EDM","1",54.68,12,14,10,121,20,17,18,4,7
"VGK","2018-02-17","2017020900","20172018","MTL","1",54.6,11,15,4,114,20,24,9,2,6
"VGK","2018-02-19","2017020917","20172018","ANA","1",53.15,12,14,7,100,21,21,14,4,6
"VGK","2018-02-21","2017020929","20172018","CGY","1",55.98,11,21,11,122,16,28,23,10,5
"VGK","2018-02-23","2017020945","20172018","VAN","1",53.03,9,21,8,127,14,24,10,2,2
"VGK","2018-02-26","2017020968","20172018","L.A","0",49.87,11,16,6,84,16,17,13,3,4
"VGK","2018-02-27","2017020976","20172018","L.A","1",43.05,11,9,8,91,17,11,16,7,3
"VGK","2018-03-02","2017020998","20172018","OTT","1",44.98,10,13,9,74,13,16,15,4,3
"VGK","2018-03-04","2017021011","20172018","N.J","0",52.78,9,15,10,88,14,16,21,7,3
"VGK","2018-03-06","2017021023","20172018","CBJ","0",51.9,11,15,10,93,23,19,15,3,6
"VGK","2018-03-08","2017021036","20172018","DET","0",46,5,9,6,84,10,13,14,7,2
"VGK","2018-03-10","2017021049","20172018","BUF","0",57,12,10,14,108,20,14,19,3,5
"VGK","2018-03-12","2017021064","20172018","PHI","0",48.5,6,17,8,85,10,18,17,5,3
"VGK","2018-03-14","2017021081","20172018","N.J","1",49.07,9,17,5,90,17,21,11,7,3
"VGK","2018-03-16","2017021097","20172018","MIN","1",45.68,10,11,4,96,16,11,12,7,4
"VGK","2018-03-18","2017021109","20172018","CGY","1",52.97,6,12,10,105,14,16,18,3,5
"VGK","2018-03-20","2017021130","20172018","VAN","1",53.6,10,12,6,95,15,16,11,3,9
"VGK","2018-03-22","2017021145","20172018","S.J","0",48.92,13,10,9,90,19,12,18,3,9
"VGK","2018-03-24","2017021151","20172018","COL","0",55.48,6,11,7,136,17,11,14,7,6
"VGK","2018-03-26","2017021175","20172018","COL","1",46.87,5,13,6,93,13,15,12,3,3
"VGK","2018-03-28","2017021189","20172018","ARI","1",52.38,13,11,13,108,17,14,21,5,8
"VGK","2018-03-30","2017021205","20172018","STL","1",54.12,18,14,5,115,19,16,12,7,4
"VGK","2018-03-31","2017021217","20172018","S.J","1",46.68,8,18,11,88,16,19,17,5,7
"VGK","2018-04-03","2017021236","20172018","VAN","0",55.83,14,16,6,167,17,20,15,6,5
"VGK","2018-04-05","2017021249","20172018","EDM","0",50.6,7,20,9,98,13,23,11,2,5
"VGK","2018-04-07","2017021268","20172018","CGY","0",45.07,12,10,6,90,17,17,13,7,5
"VGK","Total","-","20172018","-","-",50.09,845,1104,673,8132,1354,1441,1251,384,389
