"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"VGK","2018-10-04","2018020014","20182019","PHI","1",7.42,1,1,5,11,1,1,6,0,0
"VGK","2018-10-06","2018020025","20182019","MIN","0",4,0,2,3,5,0,2,3,0,0
"VGK","2018-10-08","2018020034","20182019","BUF","0",2.77,0,1,2,3,0,1,4,0,0
"VGK","2018-10-10","2018020043","20182019","WSH","0",6.37,0,0,5,6,1,1,7,0,0
"VGK","2018-10-11","2018020050","20182019","PIT","0",2,0,0,1,1,1,0,1,0,1
"VGK","2018-10-13","2018020058","20182019","PHI","0",4,0,0,2,5,0,0,2,0,0
"VGK","2018-10-16","2018020085","20182019","BUF","1",9.95,0,2,9,10,0,2,11,0,0
"VGK","2018-10-20","2018020113","20182019","ANA","1",4,0,0,2,7,1,0,2,0,1
"VGK","2018-10-24","2018020133","20182019","VAN","1",3.9,0,0,1,8,0,0,1,0,0
"VGK","2018-10-26","2018020144","20182019","T.B","1",3.65,0,1,2,4,0,1,2,0,0
"VGK","2018-10-28","2018020163","20182019","OTT","1",2.67,0,0,1,4,0,0,1,0,0
"VGK","2018-10-30","2018020173","20182019","NSH","0",6.25,0,0,5,11,0,0,5,0,0
"VGK","2018-11-01","2018020186","20182019","STL","0",4.13,0,0,3,5,0,0,3,0,0
"VGK","2018-11-03","2018020204","20182019","CAR","1",5.23,0,1,4,5,0,2,6,0,0
"VGK","2018-11-06","2018020215","20182019","TOR","0",2,0,0,1,3,0,0,1,0,0
"VGK","2018-11-08","2018020231","20182019","OTT","0",4,0,1,3,4,0,1,3,0,0
"VGK","2018-11-10","2018020246","20182019","MTL","0",4,0,0,2,5,0,0,2,0,0
"VGK","2018-11-11","2018020256","20182019","BOS","0",9.78,1,5,7,10,1,6,8,0,0
"VGK","2018-11-14","2018020276","20182019","ANA","1",5.72,0,1,3,5,0,1,3,0,0
"VGK","2018-11-16","2018020290","20182019","STL","1",8,0,0,7,5,0,1,7,0,0
"VGK","2018-11-18","2018020306","20182019","EDM","0",2.82,0,1,3,1,0,1,3,0,0
"VGK","2018-11-19","2018020315","20182019","CGY","0",7.5,0,0,6,10,0,0,6,0,0
"VGK","2018-11-21","2018020328","20182019","ARI","0",4.63,0,2,3,5,0,3,3,0,0
"VGK","2018-11-23","2018020338","20182019","CGY","1",2,0,0,1,3,0,2,1,0,0
"VGK","2018-11-24","2018020356","20182019","S.J","1",4.77,0,0,5,2,0,1,5,0,0
"VGK","2018-11-27","2018020374","20182019","CHI","0",3,0,0,1,6,1,0,1,0,1
"VGK","2018-11-29","2018020389","20182019","VAN","0",5.58,0,1,3,9,0,2,3,0,0
"VGK","2018-12-01","2018020406","20182019","EDM","0",5.1,0,1,3,8,0,1,3,0,0
"VGK","2018-12-04","2018020424","20182019","WSH","1",10.63,0,2,7,12,0,2,7,0,0
"VGK","2018-12-06","2018020438","20182019","CHI","1",6.43,0,1,4,11,0,1,5,0,0
"VGK","2018-12-08","2018020445","20182019","L.A","0",0.7,0,0,1,0,0,0,1,0,0
"VGK","2018-12-09","2018020460","20182019","DAL","1",6.37,0,0,4,13,0,0,5,0,0
"VGK","2018-12-12","2018020475","20182019","NYI","0",2,0,0,2,1,0,0,2,0,0
"VGK","2018-12-14","2018020487","20182019","N.J","0",8.52,0,0,6,14,0,0,6,0,0
"VGK","2018-12-16","2018020505","20182019","NYR","0",6.55,0,1,3,7,0,1,5,0,0
"VGK","2018-12-17","2018020513","20182019","CBJ","0",4,0,1,3,6,0,1,3,0,0
"VGK","2018-12-20","2018020540","20182019","NYI","1",4,0,0,2,5,0,0,2,0,0
"VGK","2018-12-22","2018020549","20182019","MTL","1",3.93,0,0,2,6,0,0,2,0,0
"VGK","2018-12-23","2018020565","20182019","L.A","1",2.48,0,0,2,2,0,0,3,0,0
"VGK","2018-12-27","2018020577","20182019","COL","1",5.43,0,1,5,6,0,1,5,0,0
"VGK","2018-12-29","2018020586","20182019","L.A","0",4,0,0,2,3,1,0,3,0,0
"VGK","2018-12-30","2018020598","20182019","ARI","0",10.48,1,2,8,13,2,5,9,0,1
"VGK","2019-01-01","2018020614","20182019","L.A","1",4,1,0,2,4,1,0,2,0,0
"VGK","2019-01-04","2018020635","20182019","ANA","0",4.58,0,1,3,3,0,1,3,0,0
"VGK","2019-01-06","2018020646","20182019","N.J","1",1.78,0,0,1,1,0,1,1,0,0
"VGK","2019-01-08","2018020666","20182019","NYR","1",4,0,1,2,10,0,1,2,0,0
"VGK","2019-01-10","2018020681","20182019","S.J","1",4,0,1,2,6,0,1,3,0,0
"VGK","2019-01-12","2018020694","20182019","CHI","0",5.47,0,1,3,6,0,1,3,0,0
"VGK","2019-01-15","2018020718","20182019","WPG","0",4,1,0,2,7,1,0,2,0,0
"VGK","2019-01-19","2018020750","20182019","PIT","1",4,0,1,3,7,0,1,3,0,0
"VGK","2019-01-21","2018020757","20182019","MIN","1",4,0,0,2,7,0,0,3,0,0
"VGK","2019-01-23","2018020768","20182019","NSH","1",4,0,1,4,1,0,1,5,0,0
"VGK","2019-02-01","2018020787","20182019","CAR","0",6,1,0,4,7,1,1,4,0,1
"VGK","2019-02-02","2018020793","20182019","FLA","0",2,0,0,2,1,0,0,2,0,0
"VGK","2019-02-05","2018020816","20182019","T.B","0",8.73,0,1,8,8,1,2,9,0,0
"VGK","2019-02-07","2018020830","20182019","DET","0",7.93,0,0,11,3,1,0,11,0,1
"VGK","2019-02-09","2018020851","20182019","CBJ","1",2.28,0,1,3,1,0,1,3,0,0
"VGK","2019-02-12","2018020874","20182019","ARI","1",5.03,0,2,4,1,0,2,6,0,0
"VGK","2019-02-14","2018020885","20182019","TOR","1",10.8,1,3,7,17,1,3,7,0,0
"VGK","2019-02-16","2018020901","20182019","NSH","1",4.67,1,0,3,8,2,0,5,0,0
"VGK","2019-02-18","2018020913","20182019","COL","0",6,0,0,4,7,0,1,4,0,0
"VGK","2019-02-20","2018020928","20182019","BOS","1",6,1,0,4,8,1,1,5,0,0
"VGK","2019-02-22","2018020944","20182019","WPG","1",5,0,1,4,9,0,1,4,0,0
"VGK","2019-02-26","2018020978","20182019","DAL","1",3.07,0,1,1,4,0,1,1,0,0
"VGK","2019-02-28","2018020989","20182019","FLA","1",2.83,1,0,3,2,1,0,3,0,0
"VGK","2019-03-01","2018020997","20182019","ANA","0",4,0,1,3,4,0,2,3,0,0
"VGK","2019-03-03","2018021011","20182019","VAN","1",0,0,0,0,0,0,0,0,0,0
"VGK","2019-03-06","2018021032","20182019","CGY","1",6,0,0,4,11,1,0,4,0,0
"VGK","2019-03-09","2018021059","20182019","VAN","0",0.97,0,0,1,1,0,0,1,0,0
"VGK","2019-03-10","2018021063","20182019","CGY","0",3.8,0,1,1,7,0,1,1,0,0
"VGK","2019-03-15","2018021095","20182019","DAL","0",8.87,1,1,6,12,2,1,7,0,0
"VGK","2019-03-17","2018021117","20182019","EDM","1",1.63,0,0,2,1,0,0,2,0,0
"VGK","2019-03-18","2018021121","20182019","S.J","0",7.8,0,2,5,9,0,3,5,0,0
"VGK","2019-03-21","2018021146","20182019","WPG","1",4,0,2,2,5,0,2,2,0,0
"VGK","2019-03-23","2018021162","20182019","DET","1",2.05,0,1,3,1,0,2,3,0,0
"VGK","2019-03-25","2018021173","20182019","STL","0",2,0,0,2,2,0,0,2,0,0
"VGK","2019-03-27","2018021188","20182019","COL","0",3.72,1,0,3,4,1,0,3,0,0
"VGK","2019-03-29","2018021202","20182019","MIN","1",4.85,0,0,6,4,1,0,6,0,0
"VGK","2019-03-30","2018021211","20182019","S.J","0",5.28,0,2,4,5,0,2,4,0,0
"VGK","2019-04-01","2018021227","20182019","EDM","1",2.12,0,1,2,5,0,1,2,0,0
"VGK","2019-04-04","2018021253","20182019","ARI","1",3.27,0,0,3,4,0,0,3,0,0
"VGK","2019-04-06","2018021270","20182019","L.A","0",5.4,0,1,6,4,0,2,6,0,0
"VGK","Total","-","20182019","-","-",4.72,12,55,279,467,24,76,306,0,6
