"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"WPG","2019-10-03","2019020006","20192020","NYR","0",48.07,42.86,57.38,60,59.22,59.52,3,4,35,26,48,32,61,42,3,2.04,-1,9,16,19,0.96
"WPG","2019-10-04","2019020013","20192020","N.J","0",57,50,50,47.62,48.96,39.15,4,4,30,30,40,44,47,49,2.13,3.32,0,0,-4,-2,-1.18
"WPG","2019-10-06","2019020033","20192020","NYI","0",54.1,25,55.74,53.75,58.49,39.45,1,3,34,27,43,37,62,44,1.72,2.65,-2,7,6,18,-0.92
"WPG","2019-10-08","2019020038","20192020","PIT","0",56,80,40,35.53,36.56,40.52,4,1,22,33,27,49,34,59,1.89,2.78,3,-11,-22,-25,-0.88
"WPG","2019-10-10","2019020053","20192020","MIN","1",51.25,66.67,42.37,41.67,38.14,45.14,4,2,25,34,30,42,37,60,1.71,2.08,2,-9,-12,-23,-0.37
"WPG","2019-10-12","2019020069","20192020","CHI","0",49.47,100,52.94,50,50.55,45.04,2,0,27,24,32,32,46,45,1.95,2.38,2,3,0,1,-0.43
"WPG","2019-10-13","2019020075","20192020","PIT","1",47.42,16.67,53.49,56.36,54.88,45.39,1,5,23,20,31,24,45,37,1.42,1.71,-4,3,7,8,-0.29
"WPG","2019-10-15","2019020087","20192020","ARI","1",45.18,0,45.28,49.23,53.75,41.33,0,2,24,29,32,33,43,37,1.19,1.7,-2,-5,-1,6,-0.5
"WPG","2019-10-17","2019020102","20192020","NYI","1",54.42,0,51.02,54.55,57.73,57.63,0,1,25,24,42,35,56,41,2.4,1.76,-1,1,7,15,0.63
"WPG","2019-10-20","2019020127","20192020","EDM","1",53.67,0,33.33,41.67,47.62,43.47,0,0,13,26,25,35,40,44,1.42,1.84,0,-13,-10,-4,-0.42
