"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"WPG","2017-10-04","2017020001","20172018","TOR","1",4.87,0,8.33,7.69,14.29,0.31,0,2,1,11,1,12,2,12,0,1.56,-2,-10,-11,-10,-1.56
"WPG","2017-10-07","2017020027","20172018","CGY","0",10.93,33.33,7.69,5.88,4.35,11.63,1,2,1,12,1,16,1,22,0.21,1.58,-1,-11,-15,-21,-1.37
"WPG","2017-10-09","2017020037","20172018","EDM","0",4,0,0,0,0,0,0,0,0,9,0,9,0,10,0,0.71,0,-9,-9,-10,-0.71
"WPG","2017-10-12","2017020055","20172018","VAN","0",8.05,50,20,18.75,14.29,6.65,1,1,3,12,3,13,3,18,0.08,1.18,0,-9,-10,-15,-1.09
"WPG","2017-10-14","2017020068","20172018","CAR","1",6.52,0,20,25,18.18,20.65,0,1,1,4,2,6,2,9,0.07,0.27,-1,-3,-4,-7,-0.2
"WPG","2017-10-17","2017020087","20172018","CBJ","1",4.1,100,28.57,27.27,27.27,16.47,1,0,2,5,3,8,3,8,0.17,0.88,1,-3,-5,-5,-0.71
"WPG","2017-10-20","2017020108","20172018","MIN","1",1.15,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0.47,-1,-2,-2,-2,-0.47
"WPG","2017-10-26","2017020141","20172018","PIT","0",8,0,10,14.29,11.11,24.86,0,0,1,9,2,12,2,16,0.3,0.92,0,-8,-10,-14,-0.62
"WPG","2017-10-27","2017020151","20172018","CBJ","0",7.53,0,0,7.14,6.25,22.77,0,0,0,8,1,13,1,15,0.2,0.67,0,-8,-12,-14,-0.47
"WPG","2017-10-29","2017020168","20172018","PIT","1",4.22,0,0,0,0,0,0,1,0,7,0,10,0,13,0,0.91,-1,-7,-10,-13,-0.91
"WPG","2017-10-31","2017020180","20172018","MIN","0",8.48,0,0,6.25,10,9.18,0,0,0,8,1,15,2,18,0.11,1.05,0,-8,-14,-16,-0.95
"WPG","2017-11-02","2017020193","20172018","DAL","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WPG","2017-11-04","2017020206","20172018","MTL","1",7.92,0,6.67,4.76,4.35,0.76,0,3,1,14,1,20,1,22,0.01,1.86,-3,-13,-19,-21,-1.85
"WPG","2017-11-06","2017020221","20172018","DAL","0",4.7,0,0,0,9.09,0,0,1,0,7,0,7,1,10,0,1.07,-1,-7,-7,-9,-1.07
"WPG","2017-11-10","2017020248","20172018","VGK","0",5.88,0,0,0,0,0,0,1,0,4,0,5,0,11,0,0.46,-1,-4,-5,-11,-0.46
"WPG","2017-11-11","2017020259","20172018","ARI","0",8,0,10,6.25,4.76,0.31,0,0,1,9,1,15,1,20,0,1,0,-8,-14,-19,-0.99
"WPG","2017-11-14","2017020272","20172018","ARI","1",9.2,0,12.5,7.14,6.25,4.97,0,0,1,7,1,13,1,15,0.05,0.91,0,-6,-12,-14,-0.86
"WPG","2017-11-16","2017020284","20172018","PHI","1",6.75,0,0,0,0,0,0,1,0,9,0,9,0,16,0,0.79,-1,-9,-9,-16,-0.79
"WPG","2017-11-18","2017020295","20172018","N.J","1",4,0,0,0,0,0,0,0,0,7,0,9,0,9,0,0.4,0,-7,-9,-9,-0.4
"WPG","2017-11-20","2017020313","20172018","NSH","0",3.9,0,0,11.11,8.33,6.87,0,2,0,8,1,8,1,11,0.05,0.68,-2,-8,-7,-10,-0.63
"WPG","2017-11-22","2017020333","20172018","L.A","0",9.28,0,21.43,15,11.54,4.37,0,1,3,11,3,17,3,23,0.08,1.65,-1,-8,-14,-20,-1.57
"WPG","2017-11-24","2017020337","20172018","ANA","0",4,0,0,0,0,0,0,0,0,6,0,10,0,12,0,0.73,0,-6,-10,-12,-0.73
"WPG","2017-11-25","2017020357","20172018","S.J","0",3.32,0,0,0,11.11,0,0,1,0,4,0,5,1,8,0,0.31,-1,-4,-5,-7,-0.31
"WPG","2017-11-27","2017020365","20172018","MIN","1",1.6,0,50,33.33,25,5.3,0,0,1,1,1,2,1,3,0.01,0.09,0,0,-1,-2,-0.09
"WPG","2017-11-29","2017020380","20172018","COL","0",7.42,0,20,20,25,12.95,0,2,1,4,2,8,4,12,0.12,0.84,-2,-3,-6,-8,-0.71
"WPG","2017-12-01","2017020394","20172018","VGK","1",6.78,0,20,16.67,20,1.18,0,0,1,4,1,5,2,8,0,0.33,0,-3,-4,-6,-0.33
"WPG","2017-12-03","2017020409","20172018","OTT","1",6,0,50,20,14.29,5.79,0,0,1,1,1,4,1,6,0.02,0.31,0,0,-3,-5,-0.29
"WPG","2017-12-05","2017020419","20172018","DET","0",8.67,0,16.67,6.25,4.76,0.3,0,0,1,5,1,15,1,20,0,1.07,0,-4,-14,-19,-1.07
"WPG","2017-12-07","2017020434","20172018","FLA","0",4.77,0,0,16.67,10,2.38,0,1,0,4,1,5,1,9,0.02,0.81,-1,-4,-4,-8,-0.79
"WPG","2017-12-09","2017020447","20172018","T.B","0",5.82,0,16.67,11.11,7.14,1.53,0,1,1,5,1,8,1,13,0.01,0.6,-1,-4,-7,-12,-0.59
"WPG","2017-12-11","2017020464","20172018","VAN","1",4,0,0,16.67,14.29,9.64,0,0,0,3,1,5,1,6,0.08,0.76,0,-3,-4,-5,-0.68
"WPG","2017-12-14","2017020485","20172018","CHI","1",6,0,16.67,11.11,9.09,1.29,0,0,1,5,1,8,1,10,0,0.29,0,-4,-7,-9,-0.29
"WPG","2017-12-16","2017020501","20172018","STL","0",6.45,0,25,23.08,21.43,16.45,0,2,3,9,3,10,3,11,0.14,0.69,-2,-6,-7,-8,-0.55
