"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"WPG","2015-10-08","2015020005","20152016","BOS","0",55.7,7,7,31,31,3,1,0,0,-2,28,24,4
"WPG","2015-10-09","2015020012","20152016","N.J","0",47.77,1,5,18,15,1,4,0,0,3,17,24,-7
"WPG","2015-10-12","2015020033","20152016","NYI","0",44.42,7,6,37,25,8,5,0,0,-3,21,30,-9
"WPG","2015-10-13","2015020038","20152016","NYR","0",45.32,6,5,20,25,4,5,0,0,1,18,21,-3
"WPG","2015-10-16","2015020061","20152016","CGY","1",47.22,12,6,15,14,2,4,0,0,2,27,23,4
"WPG","2015-10-18","2015020076","20152016","STL","1",39.12,11,4,26,19,5,8,0,0,3,21,23,-2
"WPG","2015-10-23","2015020102","20152016","T.B","1",54.53,10,4,24,14,4,2,0,0,-2,30,28,2
"WPG","2015-10-25","2015020118","20152016","MIN","1",48.7,13,7,21,26,5,0,0,0,-5,30,22,8
"WPG","2015-10-27","2015020131","20152016","L.A","1",54.8,23,9,30,19,1,1,0,0,0,22,23,-1
"WPG","2015-10-29","2015020142","20152016","CHI","1",50.35,6,4,31,14,3,2,0,0,-1,32,24,8
"WPG","2015-10-31","2015020161","20152016","CBJ","0",42.72,1,2,12,17,4,3,1,1,-1,27,21,6
"WPG","2015-11-01","2015020166","20152016","MTL","0",46.7,7,2,27,15,4,4,0,0,0,22,26,-4
"WPG","2015-11-04","2015020181","20152016","TOR","0",51.68,13,7,42,41,2,1,0,0,-1,25,33,-8
"WPG","2015-11-05","2015020188","20152016","OTT","0",58.2,5,11,26,23,3,1,0,0,-2,25,37,-12
"WPG","2015-11-07","2015020205","20152016","PHI","1",42.4,5,5,20,16,6,4,1,1,-2,20,16,4
"WPG","2015-11-10","2015020224","20152016","MIN","0",44.1,4,9,13,17,3,2,1,1,-1,23,26,-3
"WPG","2015-11-12","2015020239","20152016","DAL","0",46.05,7,3,20,20,3,3,0,0,0,17,30,-13
"WPG","2015-11-14","2015020255","20152016","NSH","0",43.95,2,1,17,14,5,4,2,2,-1,16,28,-12
"WPG","2015-11-16","2015020266","20152016","STL","0",39.82,1,4,23,14,5,5,1,1,0,23,21,2
"WPG","2015-11-18","2015020275","20152016","VAN","1",45.42,9,7,26,14,5,3,1,1,-2,29,19,10
"WPG","2015-11-21","2015020299","20152016","ARI","1",38.02,10,6,27,18,5,5,0,0,0,13,21,-8
"WPG","2015-11-23","2015020314","20152016","COL","1",49.35,11,5,21,17,3,1,1,1,-2,20,17,3
"WPG","2015-11-25","2015020322","20152016","WSH","0",51.68,5,6,24,24,3,3,0,0,0,26,20,6
"WPG","2015-11-27","2015020332","20152016","MIN","0",53.73,4,2,19,22,3,4,1,1,1,21,31,-10
"WPG","2015-11-28","2015020350","20152016","COL","0",51.1,0,1,17,18,2,2,1,1,0,25,23,2
"WPG","2015-12-02","2015020369","20152016","TOR","1",44.52,7,0,15,15,3,5,0,0,2,14,26,-12
"WPG","2015-12-05","2015020388","20152016","WSH","1",50.13,11,8,21,26,5,5,1,1,0,24,25,-1
"WPG","2015-12-06","2015020399","20152016","CHI","0",48.25,9,8,41,33,3,2,0,0,-1,27,30,-3
"WPG","2015-12-10","2015020426","20152016","CBJ","1",50.43,9,5,20,27,3,3,1,1,0,18,26,-8
"WPG","2015-12-11","2015020430","20152016","CHI","0",39.92,6,9,34,18,4,4,0,0,0,17,18,-1
"WPG","2015-12-15","2015020461","20152016","STL","1",51.18,11,4,27,15,4,3,0,0,-1,21,24,-3
"WPG","2015-12-18","2015020482","20152016","NYR","1",49.78,15,4,15,25,2,2,0,0,0,25,16,9
"WPG","2015-12-21","2015020506","20152016","EDM","0",43.18,7,5,21,17,3,4,0,0,1,14,33,-19
"WPG","2015-12-22","2015020514","20152016","CGY","0",49.82,11,9,11,24,4,1,0,0,-3,34,28,6
"WPG","2015-12-27","2015020531","20152016","PIT","1",50.68,3,4,24,18,2,2,0,0,0,17,25,-8
"WPG","2015-12-29","2015020547","20152016","DET","1",46.8,10,6,14,11,6,2,0,0,-4,22,18,4
"WPG","2015-12-31","2015020564","20152016","ARI","0",43.48,4,4,28,21,5,4,0,0,-1,28,20,8
"WPG","2016-01-02","2015020578","20152016","S.J","0",49.35,10,1,31,23,6,2,0,0,-4,21,22,-1
"WPG","2016-01-03","2015020582","20152016","ANA","0",47.95,10,5,26,21,3,5,1,1,2,20,31,-11
"WPG","2016-01-05","2015020594","20152016","NSH","0",45.45,4,5,12,10,3,3,0,0,0,21,16,5
"WPG","2016-01-07","2015020604","20152016","DAL","0",56.58,7,11,22,15,1,4,0,0,3,29,33,-4
"WPG","2016-01-10","2015020624","20152016","BUF","1",50.23,8,8,33,21,3,2,1,1,-1,28,31,-3
"WPG","2016-01-12","2015020638","20152016","S.J","1",41.3,8,5,27,9,3,3,3,2,-1,28,15,13
"WPG","2016-01-14","2015020650","20152016","NSH","1",45.82,9,4,25,20,5,8,1,1,3,17,29,-12
"WPG","2016-01-15","2015020658","20152016","MIN","0",50.2,2,4,24,18,3,1,0,0,-2,17,20,-3
"WPG","2016-01-18","2015020679","20152016","COL","1",50.58,12,9,22,22,1,0,0,0,-1,17,23,-6
"WPG","2016-01-21","2015020699","20152016","NSH","1",47.5,8,5,22,16,3,3,1,1,0,18,23,-5
"WPG","2016-01-23","2015020715","20152016","N.J","1",53.73,7,3,32,20,0,1,0,0,1,24,21,3
"WPG","2016-01-26","2015020737","20152016","ARI","1",45.65,12,5,23,19,2,3,1,1,1,16,25,-9
"WPG","2016-02-02","2015020751","20152016","DAL","1",47.52,7,4,15,12,5,3,0,0,-2,17,19,-2
"WPG","2016-02-05","2015020772","20152016","CAR","1",48.7,13,2,25,15,3,0,0,0,-3,23,20,3
"WPG","2016-02-06","2015020785","20152016","COL","0",51.92,0,11,26,19,7,5,2,2,-2,36,34,2
"WPG","2016-02-09","2015020800","20152016","STL","0",49.2,2,8,22,17,2,4,0,0,2,19,25,-6
"WPG","2016-02-11","2015020814","20152016","BOS","1",45.5,9,4,16,18,2,3,3,3,1,25,24,1
"WPG","2016-02-13","2015020833","20152016","EDM","0",43.12,5,6,11,16,4,4,1,1,0,24,23,1
"WPG","2016-02-16","2015020849","20152016","CAR","0",43.6,2,12,21,13,3,2,0,0,-1,8,25,-17
"WPG","2016-02-18","2015020862","20152016","T.B","0",50.57,4,8,21,18,6,5,1,1,-1,19,17,2
"WPG","2016-02-20","2015020877","20152016","FLA","0",48.17,9,5,26,26,3,3,0,0,0,11,25,-14
