"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"WPG","2018-10-04","2018020011","20182019","STL","0",2.5,0,0,0,0,0,0,0,0,0,0,2,-2
"WPG","2018-10-06","2018020023","20182019","DAL","0",6,0,1,0,1,0,0,0,0,0,1,9,-8
"WPG","2018-10-09","2018020040","20182019","L.A","1",5.2,0,1,0,0,0,0,0,0,0,6,3,3
"WPG","2018-10-11","2018020055","20182019","NSH","0",5.03,1,0,1,0,0,0,0,0,0,4,3,1
"WPG","2018-10-14","2018020073","20182019","CAR","1",2.72,0,0,0,0,0,0,0,0,0,0,1,-1
"WPG","2018-10-16","2018020084","20182019","EDM","1",5.88,0,0,0,0,0,0,0,0,0,1,5,-4
"WPG","2018-10-18","2018020094","20182019","VAN","1",2.23,0,1,0,0,0,0,0,0,0,1,2,-1
"WPG","2018-10-20","2018020104","20182019","ARI","1",4.78,0,0,0,0,0,0,0,0,0,2,2,0
"WPG","2018-10-22","2018020120","20182019","STL","1",8.87,1,0,1,2,0,0,0,0,0,6,5,1
"WPG","2018-10-24","2018020131","20182019","TOR","1",5.05,0,0,1,0,0,0,0,0,0,3,1,2
"WPG","2018-10-26","2018020145","20182019","DET","0",8.52,0,0,0,1,0,0,0,0,0,4,5,-1
"WPG","2018-10-27","2018020153","20182019","TOR","0",3.4,0,1,0,0,0,0,0,0,0,2,3,-1
"WPG","2018-11-01","2018020180","20182019","FLA","0",7.67,0,2,0,1,0,1,0,0,1,8,3,5
"WPG","2018-11-02","2018020192","20182019","FLA","1",0.97,0,0,0,1,0,0,0,0,0,1,1,0
"WPG","2018-11-09","2018020240","20182019","COL","1",4.25,1,0,0,1,0,0,0,0,0,3,3,0
"WPG","2018-11-11","2018020257","20182019","N.J","1",0.65,0,0,0,0,2,1,0,0,-1,1,0,1
"WPG","2018-11-14","2018020274","20182019","WSH","1",4.12,0,0,0,0,0,0,0,0,0,4,3,1
"WPG","2018-11-16","2018020287","20182019","BUF","1",0.85,0,0,0,1,0,0,0,0,0,0,0,0
"WPG","2018-11-19","2018020316","20182019","VAN","0",8.38,0,0,1,0,0,0,0,0,0,6,3,3
"WPG","2018-11-21","2018020329","20182019","CGY","0",7.55,0,1,0,0,0,0,0,0,0,4,4,0
"WPG","2018-11-23","2018020336","20182019","MIN","0",7.75,0,0,1,0,0,0,0,0,0,2,5,-3
"WPG","2018-11-24","2018020354","20182019","STL","0",6.4,2,0,0,2,1,0,0,0,-1,5,4,1
"WPG","2018-11-27","2018020373","20182019","PIT","1",4,1,0,2,2,0,0,0,0,0,0,2,-2
"WPG","2018-11-29","2018020387","20182019","CHI","1",4.95,0,1,0,0,0,0,0,0,0,0,6,-6
"WPG","2018-12-01","2018020400","20182019","N.J","0",2,0,0,0,0,0,0,0,0,0,1,1,0
"WPG","2018-12-02","2018020408","20182019","NYR","0",6.23,1,0,1,1,0,0,0,0,0,2,4,-2
"WPG","2018-12-04","2018020418","20182019","NYI","0",4.27,1,0,1,0,0,0,0,0,0,3,1,2
"WPG","2018-12-07","2018020441","20182019","STL","1",10.15,1,0,1,1,2,1,0,0,-1,4,6,-2
"WPG","2018-12-09","2018020455","20182019","PHI","1",8.9,0,0,0,2,1,0,0,1,0,9,4,5
"WPG","2018-12-11","2018020473","20182019","CHI","1",6.77,2,1,1,1,1,0,0,0,-1,6,1,5
"WPG","2018-12-13","2018020485","20182019","EDM","1",5.52,0,0,0,1,0,0,0,0,0,4,3,1
"WPG","2018-12-14","2018020493","20182019","CHI","0",5.48,0,0,0,1,0,0,0,0,0,4,3,1
"WPG","2018-12-16","2018020510","20182019","T.B","1",1.78,0,0,0,0,0,0,0,0,0,0,2,-2
"WPG","2018-12-18","2018020527","20182019","L.A","0",4.27,0,0,0,0,1,0,0,0,-1,3,2,1
"WPG","2018-12-20","2018020541","20182019","S.J","0",4.32,0,0,0,0,1,0,0,0,-1,4,3,1
