"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"WPG","2019-10-03","2019020006","20192020","NYR","0",3.62,1,0,2,0,0,0,0,0,0,1,4,-3
"WPG","2019-10-04","2019020013","20192020","N.J","0",4,0,0,0,0,0,0,0,0,0,2,5,-3
"WPG","2019-10-06","2019020033","20192020","NYI","0",1.9,0,0,0,0,0,0,0,0,0,2,0,2
"WPG","2019-10-08","2019020038","20192020","PIT","0",4,0,0,2,0,0,0,0,0,0,4,2,2
"WPG","2019-10-10","2019020053","20192020","MIN","1",4,2,2,1,1,0,0,0,0,0,3,3,0
"WPG","2019-10-12","2019020069","20192020","CHI","0",3.62,1,3,2,2,0,0,0,0,0,0,2,-2
"WPG","2019-10-13","2019020075","20192020","PIT","1",3,0,0,0,0,0,0,0,0,0,0,2,-2
"WPG","2019-10-15","2019020087","20192020","ARI","1",2.45,0,1,1,0,0,0,0,0,0,1,2,-1
"WPG","2019-10-17","2019020102","20192020","NYI","1",0.27,1,0,0,0,0,0,0,0,0,1,0,1
"WPG","2019-10-20","2019020127","20192020","EDM","1",3.67,3,1,1,0,0,1,0,0,1,4,3,1
"WPG","2019-10-22","2019020140","20192020","L.A","1",6.65,0,1,1,0,0,0,0,0,0,3,7,-4
"WPG","2019-10-26","2019020168","20192020","CGY","1",5.7,1,0,1,1,1,0,0,0,-1,2,3,-1
"WPG","2019-10-29","2019020187","20192020","ANA","0",2,1,0,1,0,0,0,0,0,0,0,2,-2
"WPG","2019-11-01","2019020203","20192020","S.J","0",4,0,0,0,0,0,0,0,0,0,3,4,-1
"WPG","2019-11-02","2019020215","20192020","VGK","0",2.55,0,0,0,0,0,0,0,0,0,0,3,-3
"WPG","2019-11-05","2019020229","20192020","N.J","1",4.63,1,1,1,0,0,0,0,0,0,3,2,1
"WPG","2019-11-08","2019020250","20192020","VAN","1",4.35,0,1,1,0,0,0,0,0,0,1,2,-1
"WPG","2019-11-10","2019020264","20192020","DAL","1",2.02,0,0,1,0,0,0,0,0,0,1,2,-1
"WPG","2019-11-12","2019020276","20192020","COL","1",4.55,2,1,1,1,0,0,0,0,0,2,3,-1
"WPG","2019-11-14","2019020288","20192020","FLA","0",5.43,0,0,0,0,0,0,0,0,0,4,2,2
"WPG","2019-11-16","2019020300","20192020","T.B","0",3.77,0,2,1,0,0,1,0,0,1,2,1,1
"WPG","2019-11-19","2019020325","20192020","NSH","0",3.45,0,0,0,0,0,0,0,0,0,1,3,-2
"WPG","2019-11-21","2019020342","20192020","DAL","0",4,2,0,2,0,0,0,0,0,0,1,2,-1
"WPG","2019-11-23","2019020356","20192020","CBJ","1",6.92,0,0,1,0,1,0,0,0,-1,5,4,1
"WPG","2019-11-27","2019020389","20192020","S.J","0",11.42,1,1,2,1,0,0,0,0,0,7,8,-1
"WPG","2019-11-29","2019020396","20192020","ANA","0",4,0,1,0,0,0,0,0,0,0,1,3,-2
"WPG","2019-11-30","2019020415","20192020","L.A","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"WPG","2019-12-03","2019020431","20192020","DAL","1",3.17,1,0,0,0,0,0,0,0,0,1,1,0
"WPG","2019-12-05","2019020445","20192020","DAL","0",6.88,1,4,2,0,0,0,0,0,0,5,3,2
"WPG","2019-12-08","2019020463","20192020","ANA","1",2.55,0,1,1,0,0,0,0,0,0,1,1,0
"WPG","2019-12-10","2019020477","20192020","DET","1",4.98,2,0,0,0,1,2,0,0,1,4,1,3
"WPG","2019-12-12","2019020491","20192020","DET","0",5.92,1,1,3,1,0,0,0,0,0,2,4,-2
"WPG","2019-12-15","2019020515","20192020","PHI","1",2.27,0,0,1,0,0,0,0,0,0,1,0,1
"WPG","2019-12-17","2019020530","20192020","CAR","1",2.18,0,0,0,0,0,0,0,0,0,1,3,-2
"WPG","2019-12-19","2019020543","20192020","CHI","1",3.15,1,0,2,0,0,0,0,0,0,2,1,1
"WPG","2019-12-21","2019020554","20192020","MIN","0",4.25,0,0,0,0,0,0,0,0,0,1,5,-4
"WPG","2019-12-23","2019020577","20192020","MTL","1",2.95,0,0,2,0,0,0,0,0,0,1,2,-1
"WPG","2019-12-27","2019020587","20192020","STL","1",3.02,2,0,0,0,0,0,0,0,0,3,1,2
"WPG","2019-12-29","2019020602","20192020","STL","0",2.78,1,1,1,0,0,0,0,0,0,1,1,0
"WPG","2019-12-31","2019020621","20192020","COL","0",4.88,0,0,3,0,1,1,0,0,0,0,4,-4
"WPG","2020-01-02","2019020633","20192020","TOR","1",3.9,1,1,0,0,0,0,0,0,0,1,3,-2
"WPG","2020-01-04","2019020643","20192020","MIN","0",8.67,0,2,0,0,0,0,0,0,0,6,4,2
"WPG","2020-01-06","2019020660","20192020","MTL","0",3.05,0,0,0,0,0,0,0,0,0,2,3,-1
"WPG","2020-01-08","2019020675","20192020","TOR","0",6,0,2,1,0,0,0,0,0,0,0,4,-4
"WPG","2020-01-09","2019020678","20192020","BOS","0",6.32,1,1,3,1,0,0,0,0,0,3,5,-2
"WPG","2020-01-12","2019020703","20192020","NSH","1",2.73,1,0,1,0,0,0,0,0,0,2,0,2
"WPG","2020-01-14","2019020721","20192020","VAN","1",8,1,1,0,1,0,0,0,0,0,5,5,0
"WPG","2020-01-17","2019020742","20192020","T.B","1",1.37,0,0,0,0,0,0,0,0,0,1,2,-1
"WPG","2020-01-19","2019020758","20192020","CHI","0",4.05,0,0,1,0,1,1,0,0,0,3,1,2
"WPG","2020-01-21","2019020764","20192020","CAR","0",8.47,0,1,0,0,0,0,0,0,0,6,1,5
"WPG","2020-01-22","2019020766","20192020","CBJ","0",0.83,0,0,1,0,0,0,0,0,0,1,0,1
"WPG","2020-01-31","2019020789","20192020","BOS","1",5.87,0,0,0,0,1,0,0,0,-1,5,4,1
"WPG","2020-02-01","2019020799","20192020","STL","1",2.42,2,0,0,0,0,1,0,0,1,3,2,1
"WPG","2020-02-04","2019020822","20192020","NSH","1",3.55,2,3,1,0,0,0,0,0,0,1,1,0
"WPG","2020-02-06","2019020834","20192020","STL","0",3.88,0,0,0,0,0,0,0,0,0,2,6,-4
"WPG","2020-02-08","2019020843","20192020","OTT","1",6,1,1,3,0,0,0,0,0,0,1,3,-2
"WPG","2020-02-09","2019020858","20192020","CHI","1",5.42,1,2,3,2,0,2,0,0,2,2,3,-1
"WPG","2020-02-11","2019020872","20192020","NYR","1",0.27,0,0,0,0,0,0,0,0,0,0,1,-1
"WPG","2020-02-14","2019020893","20192020","S.J","1",6,1,1,0,0,0,0,0,0,0,2,6,-4
"WPG","2020-02-16","2019020914","20192020","CHI","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"WPG","2020-02-18","2019020926","20192020","L.A","1",4,0,1,0,0,0,0,0,0,0,2,2,0
"WPG","2020-02-20","2019020937","20192020","OTT","0",7.02,1,0,2,1,0,0,0,0,0,8,3,5
"WPG","2020-02-22","2019020949","20192020","PHI","0",4.48,0,0,1,0,0,1,0,0,1,2,3,-1
"WPG","2020-02-23","2019020960","20192020","BUF","0",4.43,0,1,0,0,0,0,0,0,0,1,3,-2
"WPG","2020-02-25","2019020973","20192020","WSH","0",2,0,1,0,0,0,0,0,0,0,1,1,0
"WPG","2020-02-27","2019020992","20192020","WSH","1",5.72,1,1,0,0,0,0,0,0,0,4,2,2
"WPG","2020-02-29","2019021009","20192020","EDM","0",2.02,0,2,0,0,0,0,0,0,0,0,1,-1
"WPG","2020-03-03","2019021024","20192020","BUF","1",4,0,2,3,0,0,0,0,0,0,2,2,0
"WPG","2020-03-06","2019021045","20192020","VGK","1",2,0,0,1,0,0,0,0,0,0,3,1,2
"WPG","2020-03-09","2019021067","20192020","ARI","1",2.25,1,0,0,0,0,0,0,0,0,0,2,-2
"WPG","2020-03-11","2019021080","20192020","EDM","0",2.28,0,0,0,0,0,0,0,0,0,0,1,-1
"WPG","Total","-","20192020","-","-",3.97,39,45,58,12,6,10,0,0,4,146,176,-30
