"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"WPG","2018-10-04","2018020011","20182019","STL","0",49.38,10,12,14,85,17,19,18,1,7
"WPG","2018-10-06","2018020023","20182019","DAL","0",46.77,13,15,5,82,24,17,10,1,10
"WPG","2018-10-09","2018020040","20182019","L.A","1",49.77,12,13,4,109,20,16,8,4,5
"WPG","2018-10-11","2018020055","20182019","NSH","0",38.6,7,10,6,62,8,17,8,2,3
"WPG","2018-10-14","2018020073","20182019","CAR","1",51.37,12,10,16,84,19,12,28,4,8
"WPG","2018-10-16","2018020084","20182019","EDM","1",53.38,9,15,15,95,14,18,17,3,4
"WPG","2018-10-18","2018020094","20182019","VAN","1",54.42,17,15,14,106,25,16,19,3,5
"WPG","2018-10-20","2018020104","20182019","ARI","1",45.55,12,20,5,88,16,24,15,3,3
"WPG","2018-10-22","2018020120","20182019","STL","1",45.08,12,16,3,84,21,17,9,3,10
"WPG","2018-10-24","2018020131","20182019","TOR","1",50.57,11,17,7,76,17,20,16,4,5
"WPG","2018-10-26","2018020145","20182019","DET","0",44.38,10,10,7,70,15,12,12,5,4
"WPG","2018-10-27","2018020153","20182019","TOR","0",49.3,7,12,11,105,12,15,20,7,7
"WPG","2018-11-01","2018020180","20182019","FLA","0",41.6,5,10,12,80,14,13,17,3,4
"WPG","2018-11-02","2018020192","20182019","FLA","1",49.23,13,16,4,83,25,22,7,2,6
"WPG","2018-11-09","2018020240","20182019","COL","1",46.08,8,16,7,91,10,20,13,4,4
"WPG","2018-11-11","2018020257","20182019","N.J","1",54.38,12,19,8,98,20,23,14,4,11
"WPG","2018-11-14","2018020274","20182019","WSH","1",48.8,9,15,5,101,15,15,6,0,7
"WPG","2018-11-16","2018020287","20182019","BUF","1",60.03,14,9,6,114,18,12,16,6,4
"WPG","2018-11-19","2018020316","20182019","VAN","0",45.32,8,17,11,95,17,19,15,2,3
"WPG","2018-11-21","2018020329","20182019","CGY","0",51.15,9,22,10,109,15,24,18,6,4
"WPG","2018-11-23","2018020336","20182019","MIN","0",39.7,8,9,13,70,13,11,18,4,4
"WPG","2018-11-24","2018020354","20182019","STL","0",51.03,13,18,10,69,20,25,14,5,3
"WPG","2018-11-27","2018020373","20182019","PIT","1",51.87,7,13,9,102,7,16,17,5,3
"WPG","2018-11-29","2018020387","20182019","CHI","1",49.03,12,15,5,122,16,20,8,2,5
"WPG","2018-12-01","2018020400","20182019","N.J","0",56.82,20,19,9,78,29,21,13,3,11
"WPG","2018-12-02","2018020408","20182019","NYR","0",54.77,18,16,6,111,24,18,11,3,4
"WPG","2018-12-04","2018020418","20182019","NYI","0",51.67,9,12,7,99,17,15,14,7,6
"WPG","2018-12-07","2018020441","20182019","STL","1",46.4,11,9,7,93,17,12,9,0,6
"WPG","2018-12-09","2018020455","20182019","PHI","1",46.73,8,12,15,86,15,13,20,3,4
"WPG","2018-12-11","2018020473","20182019","CHI","1",48.22,5,16,8,96,7,20,10,2,2
"WPG","2018-12-13","2018020485","20182019","EDM","1",52.97,24,18,2,96,31,20,7,5,10
"WPG","2018-12-14","2018020493","20182019","CHI","0",51.88,11,15,11,87,17,18,20,6,5
"WPG","2018-12-16","2018020510","20182019","T.B","1",59.78,19,15,12,95,25,16,24,9,4
"WPG","2018-12-18","2018020527","20182019","L.A","0",48.48,7,16,9,68,11,17,11,2,4
"WPG","2018-12-20","2018020541","20182019","S.J","0",50.68,9,12,14,78,11,19,18,2,2
"WPG","2018-12-22","2018020558","20182019","VAN","0",48.87,14,6,7,114,18,10,12,2,9
"WPG","2018-12-27","2018020574","20182019","CGY","1",47.37,14,10,3,112,21,10,11,6,4
"WPG","2018-12-29","2018020584","20182019","MIN","1",55.48,12,17,8,126,18,22,13,2,4
"WPG","2018-12-31","2018020610","20182019","EDM","0",53.4,16,19,11,101,16,22,13,4,1
"WPG","2019-01-04","2018020629","20182019","PIT","0",50.9,15,13,8,89,24,21,10,1,8
"WPG","2019-01-06","2018020649","20182019","DAL","1",52.18,12,15,12,91,14,15,13,1,5
"WPG","2019-01-08","2018020665","20182019","COL","1",42.93,5,16,5,81,7,18,7,2,3
"WPG","2019-01-10","2018020678","20182019","MIN","0",45.97,17,13,5,84,20,17,5,0,6
"WPG","2019-01-11","2018020684","20182019","DET","1",49.08,12,11,8,87,15,13,14,5,7
"WPG","2019-01-13","2018020701","20182019","ANA","1",55.33,16,14,2,121,22,15,7,5,4
"WPG","2019-01-15","2018020718","20182019","VGK","1",43,9,6,13,93,15,6,19,1,5
"WPG","2019-01-17","2018020730","20182019","NSH","0",47.57,15,13,8,78,19,14,12,2,3
"WPG","2019-01-19","2018020746","20182019","DAL","0",39.75,12,13,7,54,16,15,10,1,4
"WPG","2019-01-28","2018020771","20182019","PHI","0",47.93,15,9,11,81,21,10,12,1,4
"WPG","2019-01-29","2018020773","20182019","BOS","0",57.37,17,22,10,92,20,25,20,5,5
"WPG","2019-01-31","2018020780","20182019","CBJ","1",48.57,8,17,11,93,13,20,14,1,3
"WPG","2019-02-02","2018020797","20182019","ANA","1",51.43,8,19,8,109,13,22,13,4,2
"WPG","2019-02-05","2018020818","20182019","S.J","1",48.78,8,9,10,91,11,12,11,0,4
"WPG","2019-02-07","2018020828","20182019","MTL","0",53.72,15,21,11,96,19,25,12,0,2
"WPG","2019-02-09","2018020843","20182019","OTT","0",53.75,11,18,8,85,19,23,12,2,4
"WPG","2019-02-10","2018020854","20182019","BUF","0",47.27,9,12,5,88,14,13,7,1,2
"WPG","2019-02-12","2018020872","20182019","NYR","1",48.05,11,12,8,91,15,13,10,1,3
"WPG","2019-02-14","2018020882","20182019","COL","1",49.78,9,11,10,99,13,14,17,5,4
"WPG","2019-02-16","2018020897","20182019","OTT","1",49.37,13,9,6,113,18,11,10,2,7
"WPG","2019-02-20","2018020926","20182019","COL","0",41.62,8,14,10,71,11,15,16,1,3
"WPG","2019-02-22","2018020944","20182019","VGK","0",48.67,9,11,13,87,14,22,17,4,1
"WPG","2019-02-24","2018020961","20182019","ARI","0",47.82,12,11,9,100,13,15,16,5,4
"WPG","2019-02-26","2018020976","20182019","MIN","1",50.43,7,9,11,100,11,10,19,4,1
"WPG","2019-03-01","2018020996","20182019","NSH","1",46.57,12,16,6,89,18,19,9,1,6
"WPG","2019-03-03","2018021014","20182019","CBJ","0",46,5,14,9,62,7,18,19,4,1
"WPG","2019-03-05","2018021023","20182019","T.B","0",51.27,13,15,13,110,19,15,18,4,3
"WPG","2019-03-08","2018021046","20182019","CAR","0",50.6,6,21,7,96,10,27,13,2,0
"WPG","2019-03-10","2018021061","20182019","WSH","0",46.82,8,14,5,76,13,16,11,4,7
"WPG","2019-03-12","2018021077","20182019","S.J","1",51.88,9,20,8,100,14,21,12,2,4
"WPG","2019-03-14","2018021089","20182019","BOS","1",53.42,12,18,8,107,17,22,18,4,6
"WPG","2019-03-16","2018021107","20182019","CGY","1",45.3,7,16,5,99,10,17,13,4,4
"WPG","2019-03-18","2018021120","20182019","L.A","0",54.8,13,18,5,88,16,22,8,2,4
"WPG","2019-03-20","2018021135","20182019","ANA","0",40.48,1,9,6,69,2,11,8,2,1
"WPG","2019-03-21","2018021146","20182019","VGK","0",52.87,6,10,9,99,11,12,24,11,2
"WPG","2019-03-23","2018021158","20182019","NSH","1",56,9,12,12,114,16,13,17,2,4
"WPG","2019-03-25","2018021175","20182019","DAL","1",49.08,17,16,4,117,21,17,4,0,2
"WPG","2019-03-28","2018021193","20182019","NYI","1",45.97,6,15,14,82,11,17,17,1,2
"WPG","2019-03-30","2018021209","20182019","MTL","1",54.85,8,18,17,108,13,21,24,4,3
"WPG","2019-04-01","2018021226","20182019","CHI","0",51.17,9,13,9,105,16,15,11,2,3
"WPG","2019-04-02","2018021234","20182019","MIN","0",51.85,5,15,7,118,19,18,11,3,3
"WPG","2019-04-04","2018021251","20182019","COL","0",47.82,6,10,13,120,11,11,17,4,4
"WPG","2019-04-06","2018021269","20182019","ARI","0",53.67,16,15,7,123,24,17,13,1,5
"WPG","Total","-","20182019","-","-",49.54,888,1159,709,7676,1320,1389,1119,250,363
