"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"WPG","2017-10-04","2017020001","20172018","TOR","1",16,8,2,0,18,11,2,0,0,0
"WPG","2017-10-07","2017020027","20172018","CGY","0",4.67,3,0,1,10,4,0,2,0,0
"WPG","2017-10-09","2017020037","20172018","EDM","0",7.18,4,0,0,10,4,1,0,0,0
"WPG","2017-10-12","2017020055","20172018","VAN","0",2.23,2,0,0,6,2,0,0,0,0
"WPG","2017-10-14","2017020068","20172018","CAR","1",4,4,0,0,2,5,0,1,1,0
"WPG","2017-10-17","2017020087","20172018","CBJ","1",0.1,0,0,0,2,0,0,0,0,0
"WPG","2017-10-20","2017020108","20172018","MIN","1",3.23,3,0,0,2,3,0,0,0,0
"WPG","2017-10-26","2017020141","20172018","PIT","0",4,2,1,0,3,2,2,0,0,0
"WPG","2017-10-27","2017020151","20172018","CBJ","0",12,5,2,2,18,6,3,2,0,0
"WPG","2017-10-29","2017020168","20172018","PIT","1",4.53,4,0,0,4,4,0,0,0,0
"WPG","2017-10-31","2017020180","20172018","MIN","0",4.48,3,2,0,1,5,2,0,0,0
"WPG","2017-11-02","2017020193","20172018","DAL","1",4.32,3,0,0,4,4,1,0,0,0
"WPG","2017-11-04","2017020206","20172018","MTL","1",3.68,4,0,0,1,4,0,0,0,0
"WPG","2017-11-06","2017020221","20172018","DAL","0",5.22,3,0,0,2,6,0,0,0,0
"WPG","2017-11-10","2017020248","20172018","VGK","0",10.05,7,2,0,7,13,2,1,1,0
"WPG","2017-11-11","2017020259","20172018","ARI","0",3.05,3,1,1,0,4,2,1,0,0
"WPG","2017-11-14","2017020272","20172018","ARI","1",5.2,4,2,0,4,5,4,1,0,0
"WPG","2017-11-16","2017020284","20172018","PHI","1",10.62,10,0,1,5,12,1,1,0,0
"WPG","2017-11-18","2017020295","20172018","N.J","1",0,0,0,0,0,0,0,0,0,0
"WPG","2017-11-20","2017020313","20172018","NSH","0",2.7,2,0,0,2,3,0,0,0,0
"WPG","2017-11-22","2017020333","20172018","L.A","0",5.27,5,0,0,5,6,0,0,0,0
"WPG","2017-11-24","2017020337","20172018","ANA","0",4.63,4,1,0,1,4,1,0,0,0
"WPG","2017-11-25","2017020357","20172018","S.J","0",6,4,1,0,8,4,1,0,0,0
"WPG","2017-11-27","2017020365","20172018","MIN","1",6.67,4,4,0,0,4,6,0,0,0
"WPG","2017-11-29","2017020380","20172018","COL","0",7.18,5,1,0,6,7,2,0,0,0
"WPG","2017-12-01","2017020394","20172018","VGK","1",6.5,6,2,0,3,7,2,0,0,0
"WPG","2017-12-03","2017020409","20172018","OTT","1",5.47,7,2,0,1,9,2,0,0,0
"WPG","2017-12-05","2017020419","20172018","DET","0",10.12,6,2,0,12,7,2,0,0,0
"WPG","2017-12-07","2017020434","20172018","FLA","0",10.08,7,0,0,8,11,1,1,1,0
"WPG","2017-12-09","2017020447","20172018","T.B","0",2,1,1,1,0,1,1,1,0,0
"WPG","2017-12-11","2017020464","20172018","VAN","1",4.62,5,1,0,2,6,1,0,0,0
"WPG","2017-12-14","2017020485","20172018","CHI","1",2.08,2,0,0,2,2,0,0,0,0
"WPG","2017-12-16","2017020501","20172018","STL","0",7.45,6,1,0,6,7,2,0,0,0
"WPG","2017-12-17","2017020507","20172018","STL","1",5.33,5,0,0,5,5,0,0,0,0
"WPG","2017-12-19","2017020521","20172018","NSH","0",8.68,6,1,0,7,6,2,0,0,0
"WPG","2017-12-21","2017020529","20172018","BOS","0",5.87,5,1,0,3,5,1,0,0,0
"WPG","2017-12-23","2017020544","20172018","NYI","0",4.48,3,0,0,6,3,0,0,0,0
"WPG","2017-12-27","2017020566","20172018","EDM","1",7.98,4,1,1,10,6,4,1,0,0
"WPG","2017-12-29","2017020582","20172018","NYI","1",7.72,7,1,0,6,7,2,0,0,0
"WPG","2017-12-31","2017020600","20172018","EDM","0",5,2,1,1,5,4,1,1,0,0
"WPG","2018-01-02","2017020610","20172018","COL","0",7.72,4,2,0,9,5,2,0,0,0
"WPG","2018-01-05","2017020631","20172018","BUF","1",6.03,4,0,0,6,5,1,0,0,0
"WPG","2018-01-07","2017020646","20172018","S.J","1",4.42,4,0,2,5,6,0,3,1,0
"WPG","2018-01-09","2017020653","20172018","BUF","0",6.2,2,3,0,7,2,3,0,0,0
"WPG","2018-01-12","2017020668","20172018","CHI","0",6,4,1,0,8,4,2,1,1,0
"WPG","2018-01-13","2017020674","20172018","MIN","0",2.97,2,1,0,4,2,1,0,0,0
"WPG","2018-01-20","2017020711","20172018","CGY","0",2.47,2,0,1,1,2,0,1,0,0
"WPG","2018-01-21","2017020723","20172018","VAN","1",4,2,0,0,3,2,1,0,0,0
"WPG","2018-01-23","2017020743","20172018","S.J","0",4.12,2,2,0,10,2,3,0,0,1
"WPG","2018-01-25","2017020759","20172018","ANA","0",3.33,3,0,0,2,3,0,0,0,0
"WPG","2018-01-30","2017020769","20172018","T.B","1",4.92,4,1,0,5,6,1,0,0,0
"WPG","2018-02-01","2017020783","20172018","VGK","1",6,3,2,0,4,4,3,0,0,0
"WPG","2018-02-03","2017020799","20172018","COL","1",3.07,2,0,0,2,2,0,0,0,0
"WPG","2018-02-06","2017020820","20172018","ARI","1",7.55,4,1,2,6,6,1,2,0,0
"WPG","2018-02-09","2017020840","20172018","STL","1",4.7,4,2,0,5,4,2,0,0,0
"WPG","2018-02-11","2017020854","20172018","NYR","1",8,5,0,0,12,7,0,0,0,0
"WPG","2018-02-13","2017020873","20172018","WSH","1",6,5,1,0,5,7,1,0,0,0
"WPG","2018-02-16","2017020892","20172018","COL","1",7.12,6,1,1,7,8,3,1,0,0
"WPG","2018-02-18","2017020910","20172018","FLA","1",2.22,3,0,0,0,4,0,0,0,0
"WPG","2018-02-20","2017020924","20172018","L.A","1",3.3,2,1,0,7,2,1,0,0,0
"WPG","2018-02-23","2017020943","20172018","STL","0",8.18,6,1,1,8,7,1,2,0,0
"WPG","2018-02-24","2017020955","20172018","DAL","0",1.73,1,1,0,2,1,1,1,1,0
"WPG","2018-02-27","2017020974","20172018","NSH","1",2.67,2,0,0,3,2,0,1,1,0
"WPG","2018-03-02","2017020994","20172018","DET","1",6,3,0,1,8,4,1,2,1,0
"WPG","2018-03-04","2017021012","20172018","CAR","0",2.1,2,0,0,3,3,0,0,0,0
"WPG","2018-03-06","2017021022","20172018","NYR","0",0,0,0,0,0,0,0,0,0,0
"WPG","2018-03-08","2017021033","20172018","N.J","0",2,1,0,1,0,3,0,1,0,0
"WPG","2018-03-10","2017021051","20172018","PHI","0",6.53,5,0,0,10,5,0,0,0,0
"WPG","2018-03-12","2017021065","20172018","WSH","0",5.28,4,0,0,8,6,0,0,0,0
"WPG","2018-03-13","2017021074","20172018","NSH","0",8.47,7,2,0,4,8,3,0,0,0
"WPG","2018-03-15","2017021089","20172018","CHI","1",7.5,7,1,0,4,13,1,0,0,0
"WPG","2018-03-18","2017021114","20172018","DAL","1",6.27,5,0,0,6,7,1,1,0,0
"WPG","2018-03-20","2017021128","20172018","L.A","1",8,8,0,0,1,9,1,0,0,0
"WPG","2018-03-23","2017021149","20172018","ANA","1",4,2,0,0,6,4,0,0,0,0
"WPG","2018-03-25","2017021165","20172018","NSH","1",5.38,6,0,0,3,6,0,0,0,0
"WPG","2018-03-27","2017021182","20172018","BOS","1",2,1,1,0,0,1,1,0,0,0
"WPG","2018-03-29","2017021196","20172018","CHI","0",1.02,0,0,0,5,0,0,0,0,0
"WPG","2018-03-31","2017021209","20172018","TOR","0",2.33,3,0,0,0,5,0,0,0,0
"WPG","2018-04-02","2017021224","20172018","OTT","0",5.65,5,0,0,3,6,0,0,0,0
"WPG","2018-04-03","2017021232","20172018","MTL","0",2.63,2,0,0,4,2,0,0,0,0
"WPG","2018-04-05","2017021248","20172018","CGY","1",6,5,2,0,3,6,2,0,0,0
"WPG","2018-04-07","2017021264","20172018","CHI","1",6.78,4,2,0,3,5,2,0,0,0
"WPG","Total","-","20172018","-","-",5.26,314,61,17,389,394,90,29,8,1
