"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"WSH","2019-10-02","2019020002","20192020","STL","0",53.72,66.67,62.22,61.67,61.11,56.47,2,1,28,17,37,23,44,28,1.87,1.44,1,11,14,16,0.43
"WSH","2019-10-04","2019020014","20192020","NYI","0",52.8,50,55.32,56.25,59.55,63.96,1,1,26,21,36,28,53,36,1.6,0.9,0,5,8,17,0.7
"WSH","2019-10-05","2019020023","20192020","CAR","1",46.35,50,56.82,58.82,60,58.28,2,2,25,19,40,28,51,34,2.77,1.98,0,6,12,17,0.79
"WSH","2019-10-08","2019020039","20192020","DAL","1",45.65,33.33,53.33,58.62,57.33,47.36,2,4,24,21,34,24,43,32,1.66,1.84,-2,3,10,11,-0.19
"WSH","2019-10-10","2019020052","20192020","NSH","0",48.72,28.57,36.54,39.13,39.33,30.94,2,5,19,33,27,42,35,54,1.1,2.46,-3,-14,-15,-19,-1.36
"WSH","2019-10-12","2019020070","20192020","DAL","0",39.15,50,51.52,55.56,52.17,57.53,1,1,17,16,30,24,36,33,1.78,1.32,0,1,6,3,0.47
"WSH","2019-10-14","2019020083","20192020","COL","1",49.32,33.33,53.33,53.23,52.13,58,2,4,24,21,33,29,49,45,2.12,1.54,-2,3,4,4,0.59
"WSH","2019-10-16","2019020093","20192020","TOR","1",47.53,75,50,50.65,48.67,53.7,3,1,27,27,39,38,55,58,2.11,1.82,2,0,1,-3,0.29
"WSH","2019-10-18","2019020109","20192020","NYR","1",45.43,66.67,58.14,55.93,60.49,65.81,2,1,25,18,33,26,49,32,3.48,1.81,1,7,7,17,1.67
"WSH","2019-10-20","2019020126","20192020","CHI","0",47.83,40,42.62,44,40.19,32.72,2,3,26,35,33,42,43,64,1.74,3.58,-1,-9,-9,-21,-1.84
"WSH","2019-10-22","2019020142","20192020","CGY","0",45.52,66.67,46.15,45.83,46.07,46.41,4,2,24,28,33,39,41,48,1.72,1.99,2,-4,-6,-7,-0.27
"WSH","2019-10-24","2019020154","20192020","EDM","0",53.43,40,40.98,45,44.14,34.8,2,3,25,36,36,44,49,62,1.8,3.38,-1,-11,-8,-13,-1.57
