"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"WSH","2019-10-02","2019020002","20192020","STL","0",5.88,100,62.5,72.73,81.25,77.25,1,0,5,3,8,3,13,3,0.76,0.22,1,2,5,10,0.54
"WSH","2019-10-04","2019020014","20192020","NYI","0",2.92,100,50,40,55.56,73.4,1,0,2,2,2,3,5,4,0.22,0.08,1,0,-1,1,0.14
"WSH","2019-10-05","2019020023","20192020","CAR","1",11.48,0,70,71.43,76.47,87.82,0,0,7,3,10,4,13,4,1.04,0.14,0,4,6,9,0.89
"WSH","2019-10-08","2019020039","20192020","DAL","1",7.67,0,75,72.73,78.57,92.64,0,0,6,2,8,3,11,3,0.58,0.05,0,4,5,8,0.53
"WSH","2019-10-10","2019020052","20192020","NSH","0",2.95,100,100,100,100,100,2,0,3,0,3,0,4,0,0.2,0,2,3,3,4,0.2
"WSH","2019-10-12","2019020070","20192020","DAL","0",6.48,100,66.67,70,78.57,83.06,2,0,6,3,7,3,11,3,0.59,0.12,2,3,4,8,0.47
"WSH","2019-10-14","2019020083","20192020","COL","1",1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSH","2019-10-16","2019020093","20192020","TOR","1",8.15,50,62.5,72.73,75,77.58,1,1,5,3,8,3,9,3,0.82,0.24,0,2,5,6,0.58
"WSH","2019-10-18","2019020109","20192020","NYR","1",6.22,100,75,80,84.62,92.35,2,0,6,2,8,2,11,2,1.26,0.1,2,4,6,9,1.16
"WSH","2019-10-20","2019020126","20192020","CHI","0",0.13,100,100,100,100,100,1,0,1,0,1,0,1,0,0.27,0,1,1,1,1,0.27
"WSH","2019-10-22","2019020142","20192020","CGY","0",6,0,100,100,100,100,0,0,4,0,8,0,11,0,0.48,0,0,4,8,11,0.48
"WSH","2019-10-24","2019020154","20192020","EDM","0",3.68,100,75,83.33,83.33,99.27,1,0,3,1,5,1,5,1,0.48,0,1,2,4,4,0.47
"WSH","2019-10-25","2019020160","20192020","VAN","0",4,0,0,33.33,33.33,66.84,0,1,0,2,1,2,1,2,0.08,0.04,-1,-2,-1,-1,0.04
"WSH","2019-10-29","2019020180","20192020","TOR","0",12.88,100,84.62,90.91,92.59,95.85,2,0,11,2,20,2,25,2,1.75,0.08,2,9,18,23,1.67
"WSH","2019-11-01","2019020198","20192020","BUF","1",1.6,0,100,100,100,100,0,0,3,0,4,0,5,0,0.64,0,0,3,4,5,0.64
"WSH","2019-11-03","2019020218","20192020","CGY","1",3.42,100,100,100,100,100,1,0,4,0,6,0,6,0,0.4,0,1,4,6,6,0.4
"WSH","2019-11-07","2019020238","20192020","FLA","0",6.18,100,75,71.43,73.33,82.3,1,0,6,2,10,4,11,4,0.68,0.15,1,4,6,7,0.54
"WSH","2019-11-09","2019020258","20192020","VGK","1",9.98,100,100,100,100,100,1,0,11,0,17,0,19,0,2.08,0,1,11,17,19,2.08
"WSH","2019-11-11","2019020270","20192020","ARI","1",6,0,60,60,60,81.95,0,0,3,2,3,2,3,2,0.23,0.05,0,1,1,1,0.18
"WSH","2019-11-13","2019020283","20192020","PHI","0",5.9,0,66.67,60,71.43,66.84,0,0,2,1,3,2,5,2,0.24,0.12,0,1,1,3,0.12
"WSH","2019-11-15","2019020296","20192020","MTL","1",1.35,100,75,75,75,87.26,1,0,3,1,3,1,3,1,0.48,0.07,1,2,2,2,0.41
"WSH","2019-11-16","2019020303","20192020","BOS","0",4.3,0,66.67,57.14,62.5,69.99,0,0,4,2,4,3,5,3,0.2,0.09,0,2,1,2,0.12
"WSH","2019-11-18","2019020316","20192020","ANA","1",0.33,100,100,100,100,100,1,0,1,0,1,0,1,0,0.07,0,1,1,1,1,0.07
"WSH","2019-11-20","2019020332","20192020","NYR","0",3.48,100,87.5,90,90.91,98.35,1,0,7,1,9,1,10,1,1.24,0.02,1,6,8,9,1.22
"WSH","2019-11-23","2019020348","20192020","VAN","1",6,0,100,100,100,100,0,0,4,0,10,0,11,0,0.65,0,0,4,10,11,0.65
"WSH","2019-11-27","2019020383","20192020","FLA","1",2.52,0,66.67,66.67,75,60.64,0,0,2,1,2,1,3,1,0.2,0.13,0,1,1,2,0.07
"WSH","2019-11-29","2019020398","20192020","T.B","1",2.27,100,100,100,100,100,2,0,5,0,6,0,7,0,0.95,0,2,5,6,7,0.95
"WSH","2019-11-30","2019020406","20192020","DET","0",4.5,100,100,100,100,100,1,0,5,0,7,0,8,0,0.67,0,1,5,7,8,0.67
"WSH","2019-12-03","2019020433","20192020","S.J","0",7.02,0,100,100,100,100,0,0,6,0,7,0,10,0,0.64,0,0,6,7,10,0.64
"WSH","2019-12-04","2019020437","20192020","L.A","0",4,0,80,83.33,83.33,98.49,0,0,4,1,5,1,5,1,0.56,0.01,0,3,4,4,0.56
"WSH","2019-12-06","2019020451","20192020","ANA","0",2.77,100,100,100,100,100,1,0,4,0,4,0,4,0,0.21,0,1,4,4,4,0.21
"WSH","2019-12-09","2019020469","20192020","CBJ","1",4.63,0,100,100,100,100,0,0,7,0,9,0,10,0,0.65,0,0,7,9,10,0.65
"WSH","2019-12-11","2019020484","20192020","BOS","1",4.78,100,50,66.67,75,84.49,1,0,1,1,4,2,6,2,0.82,0.15,1,0,2,4,0.67
"WSH","2019-12-14","2019020507","20192020","T.B","0",2.6,0,100,100,100,100,0,0,1,0,1,0,3,0,0.04,0,0,1,1,3,0.04
"WSH","2019-12-16","2019020521","20192020","CBJ","0",8,0,100,100,100,100,0,0,6,0,7,0,10,0,0.56,0,0,6,7,10,0.56
"WSH","2019-12-20","2019020549","20192020","N.J","0",2.35,0,66.67,66.67,66.67,97.36,0,0,2,1,2,1,2,1,0.15,0,0,1,1,1,0.15
"WSH","2019-12-21","2019020558","20192020","T.B","1",5.8,0,80,81.82,84.62,97.36,0,0,4,1,9,2,11,2,0.66,0.02,0,3,7,9,0.65
"WSH","2019-12-23","2019020571","20192020","BOS","0",10,0,81.82,78.57,75,64.39,0,1,9,2,11,3,12,4,0.68,0.37,-1,7,8,8,0.3
"WSH","2019-12-27","2019020585","20192020","CBJ","1",8.82,100,91.67,95,95,97.84,1,0,11,1,19,1,19,1,2.11,0.05,1,10,18,18,2.06
"WSH","2019-12-28","2019020597","20192020","CAR","0",8.07,66.67,85.71,88.24,90.91,76.51,2,1,12,2,15,2,20,2,1.93,0.59,1,10,13,18,1.34
"WSH","2019-12-31","2019020614","20192020","NYI","1",2,0,100,100,100,100,0,0,3,0,3,0,6,0,0.19,0,0,3,3,6,0.19
"WSH","2020-01-03","2019020639","20192020","CAR","0",6.28,100,75,87.5,88.89,83.42,2,0,3,1,7,1,8,1,0.95,0.19,2,2,6,7,0.76
"WSH","2020-01-05","2019020653","20192020","S.J","1",4,0,100,100,100,100,0,0,3,0,3,0,3,0,0.27,0,0,3,3,3,0.27
"WSH","2020-01-07","2019020667","20192020","OTT","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSH","2020-01-08","2019020676","20192020","PHI","0",10,0,75,78.57,81.25,70.33,0,1,6,2,11,3,13,3,0.99,0.42,-1,4,8,10,0.57
"WSH","2020-01-11","2019020696","20192020","N.J","1",7.47,50,60,80,83.33,64.14,1,1,6,4,16,4,20,4,1.65,0.92,0,2,12,16,0.73
"WSH","2020-01-13","2019020712","20192020","CAR","1",9.52,100,50,66.67,75,72.42,1,0,2,2,4,2,6,2,0.28,0.11,1,0,2,4,0.17
"WSH","2020-01-16","2019020732","20192020","N.J","1",8.32,50,60,64.29,61.11,66.78,1,1,6,4,9,5,11,7,0.61,0.3,0,2,4,4,0.31
"WSH","2020-01-18","2019020743","20192020","NYI","0",6.58,0,100,100,100,100,0,0,6,0,8,0,11,0,0.84,0,0,6,8,11,0.84
"WSH","2020-01-27","2019020768","20192020","MTL","0",4.97,100,83.33,87.5,87.5,89.14,1,0,5,1,7,1,7,1,0.57,0.07,1,4,6,6,0.5
"WSH","2020-01-29","2019020776","20192020","NSH","1",9.83,50,93.75,94.74,96,94.31,1,1,15,1,18,1,24,1,1.67,0.1,0,14,17,23,1.57
"WSH","2020-01-31","2019020787","20192020","OTT","0",8.27,0,88.89,90,93.33,68.63,0,1,8,1,9,1,14,1,0.79,0.36,-1,7,8,13,0.43
"WSH","2020-02-02","2019020806","20192020","PIT","1",6,0,25,40,62.5,44.77,0,0,1,3,2,3,5,3,0.21,0.26,0,-2,-1,2,-0.05
"WSH","2020-02-04","2019020817","20192020","L.A","1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSH","2020-02-08","2019020849","20192020","PHI","1",6.45,100,66.67,75,85.71,97.95,1,0,2,1,3,1,6,1,0.23,0,1,1,2,5,0.23
"WSH","2020-02-10","2019020862","20192020","NYI","1",4,100,85.71,88.89,90,96.05,1,0,6,1,8,1,9,1,0.55,0.02,1,5,7,8,0.53
"WSH","2020-02-13","2019020888","20192020","COL","0",8.67,100,100,100,100,100,2,0,11,0,11,0,12,0,1.38,0,2,11,11,12,1.38
"WSH","2020-02-15","2019020904","20192020","ARI","0",6.17,0,66.67,69.23,75,68.93,0,0,8,4,9,4,12,4,1.16,0.52,0,4,5,8,0.64
"WSH","2020-02-17","2019020918","20192020","VGK","0",5.37,100,100,100,100,100,1,0,2,0,4,0,5,0,0.23,0,1,2,4,5,0.23
"WSH","2020-02-20","2019020935","20192020","MTL","1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSH","2020-02-22","2019020948","20192020","N.J","0",10.5,100,93.33,94.44,96.15,99.32,1,0,14,1,17,1,25,1,1.51,0.01,1,13,16,24,1.5
"WSH","2020-02-23","2019020959","20192020","PIT","1",2,0,100,100,75,100,0,0,1,0,2,0,3,1,0.13,0,0,1,2,2,0.13
"WSH","2020-02-25","2019020973","20192020","WPG","1",2,0,100,100,100,100,0,0,1,0,2,0,2,0,0.31,0,0,1,2,2,0.31
"WSH","2020-02-27","2019020992","20192020","WPG","0",5.72,0,75,80,84.62,98.14,0,0,6,2,8,2,11,2,0.44,0.01,0,4,6,9,0.43
"WSH","2020-03-01","2019021014","20192020","MIN","0",2.72,100,66.67,75,75,97.5,1,0,2,1,3,1,3,1,0.31,0.01,1,1,2,2,0.31
"WSH","2020-03-04","2019021029","20192020","PHI","1",9.53,0,66.67,80,78.57,98.79,0,0,4,2,8,2,11,3,0.56,0.01,0,2,6,8,0.55
"WSH","2020-03-05","2019021036","20192020","NYR","0",4,0,80,83.33,83.33,98.99,0,0,8,2,10,2,10,2,1.07,0.01,0,6,8,8,1.06
"WSH","2020-03-07","2019021050","20192020","PIT","0",2,0,100,100,100,100,0,0,1,0,1,0,1,0,0.1,0,0,1,1,1,0.1
"WSH","2020-03-09","2019021066","20192020","BUF","0",2,0,100,100,100,100,0,0,2,0,3,0,4,0,0.18,0,0,2,3,4,0.18
"WSH","Total","-","20192020","-","-",5.28,82,80.92,83.89,85.99,87.49,41,9,318,75,453,87,571,93,43.46,6.21,32,243,366,478,37.25
