"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"WSH","2018-10-03","2018020002","20182019","BOS","1",48.37,10,11,15,26,2,4,2,2,2,16,32,-16
"WSH","2018-10-04","2018020007","20182019","PIT","0",46.65,5,5,29,17,6,2,0,0,-4,26,30,-4
"WSH","2018-10-10","2018020043","20182019","VGK","1",47.42,10,7,26,18,3,4,0,0,1,26,30,-4
"WSH","2018-10-11","2018020048","20182019","N.J","0",48.47,7,9,27,16,3,3,0,0,0,18,31,-13
"WSH","2018-10-13","2018020065","20182019","TOR","1",49.28,9,2,26,13,3,1,0,0,-2,18,17,1
"WSH","2018-10-17","2018020087","20182019","NYR","1",50.4,6,11,19,13,4,3,0,0,-1,26,25,1
"WSH","2018-10-19","2018020099","20182019","FLA","1",50.73,12,11,25,20,5,4,0,0,-1,25,25,0
"WSH","2018-10-22","2018020121","20182019","VAN","0",48.48,4,5,18,21,4,5,0,0,1,16,24,-8
"WSH","2018-10-25","2018020142","20182019","EDM","0",48.47,11,6,24,15,4,1,0,0,-3,25,22,3
"WSH","2018-10-27","2018020151","20182019","CGY","0",56.92,14,14,21,22,2,2,0,0,0,25,25,0
"WSH","2018-11-01","2018020182","20182019","MTL","0",53.97,11,12,25,30,3,2,0,0,-1,30,18,12
"WSH","2018-11-03","2018020200","20182019","DAL","1",53.6,12,2,25,19,2,2,0,0,0,25,22,3
"WSH","2018-11-05","2018020213","20182019","EDM","1",49.67,10,10,25,16,1,2,0,0,1,21,28,-7
"WSH","2018-11-07","2018020224","20182019","PIT","1",43.38,8,6,21,26,3,4,0,0,1,23,25,-2
"WSH","2018-11-09","2018020237","20182019","CBJ","1",45.9,12,14,15,22,1,4,0,0,3,26,22,4
"WSH","2018-11-11","2018020255","20182019","ARI","1",45.15,5,4,18,18,4,2,0,0,-2,26,24,2
"WSH","2018-11-13","2018020269","20182019","MIN","0",44.53,4,1,6,21,5,1,1,1,-4,21,21,0
"WSH","2018-11-14","2018020274","20182019","WPG","0",48.8,9,5,13,14,3,2,0,0,-1,19,17,2
"WSH","2018-11-16","2018020289","20182019","COL","0",50.85,2,4,15,10,2,3,0,0,1,23,32,-9
"WSH","2018-11-19","2018020311","20182019","MTL","0",53.6,19,8,26,20,5,2,1,1,-3,31,29,2
"WSH","2018-11-21","2018020322","20182019","CHI","1",48.77,6,6,6,6,2,2,0,0,0,24,20,4
"WSH","2018-11-23","2018020335","20182019","DET","1",44.48,9,11,22,10,3,2,0,0,-1,22,16,6
"WSH","2018-11-24","2018020347","20182019","NYR","0",50.98,12,3,32,42,2,2,0,0,0,13,21,-8
"WSH","2018-11-26","2018020364","20182019","NYI","0",47.53,7,3,18,28,3,1,0,0,-2,12,21,-9
"WSH","2018-11-30","2018020391","20182019","N.J","1",42.17,10,2,5,12,4,3,0,0,-1,18,23,-5
"WSH","2018-12-02","2018020407","20182019","ANA","1",47.03,6,3,9,18,3,3,0,0,0,30,19,11
"WSH","2018-12-04","2018020424","20182019","VGK","0",37.42,2,2,31,37,6,2,0,1,-3,13,29,-16
"WSH","2018-12-06","2018020436","20182019","ARI","0",52.87,17,2,25,18,3,1,0,0,-2,18,26,-8
"WSH","2018-12-08","2018020451","20182019","CBJ","0",45.7,1,4,3,14,4,2,0,0,-2,20,25,-5
"WSH","2018-12-11","2018020467","20182019","DET","1",55.92,13,9,12,18,1,2,0,0,1,30,31,-1
"WSH","2018-12-14","2018020491","20182019","CAR","0",53.1,12,16,21,24,7,2,0,0,-5,19,26,-7
"WSH","2018-12-15","2018020500","20182019","BUF","1",52.23,12,9,29,15,5,6,0,0,1,26,22,4
"WSH","2018-12-19","2018020528","20182019","PIT","1",42.47,12,6,22,21,5,4,1,1,-1,16,20,-4
"WSH","2018-12-21","2018020543","20182019","BUF","1",42.98,16,5,18,6,1,3,0,0,2,16,19,-3
"WSH","2018-12-22","2018020553","20182019","OTT","0",53.28,13,3,28,24,2,1,0,0,-1,17,27,-10
"WSH","2018-12-27","2018020570","20182019","CAR","1",43.9,13,11,26,22,5,3,0,0,-2,24,22,2
"WSH","2018-12-29","2018020589","20182019","OTT","0",56.83,16,7,22,21,2,1,2,2,-1,23,31,-8
"WSH","2018-12-31","2018020599","20182019","NSH","1",54,12,9,28,14,3,1,0,0,-2,23,30,-7
"WSH","2019-01-03","2018020627","20182019","STL","0",46.18,8,7,15,12,3,4,1,1,1,12,24,-12
"WSH","2019-01-04","2018020632","20182019","DAL","0",53.05,15,5,26,26,4,4,0,0,0,17,30,-13
"WSH","2019-01-06","2018020648","20182019","DET","0",47.22,7,2,17,8,3,3,0,0,0,18,31,-13
"WSH","2019-01-08","2018020661","20182019","PHI","1",42.02,11,8,11,22,4,2,1,1,-2,12,30,-18
"WSH","2019-01-10","2018020671","20182019","BOS","0",45.37,11,5,26,23,3,1,0,0,-2,16,32,-16
"WSH","2019-01-12","2018020692","20182019","CBJ","1",56.55,8,6,19,16,2,2,0,0,0,35,34,1
"WSH","2019-01-14","2018020709","20182019","STL","1",51.1,11,6,25,20,2,3,0,0,1,20,27,-7
"WSH","2019-01-15","2018020716","20182019","NSH","0",47.87,8,5,22,11,5,2,1,1,-3,24,25,-1
"WSH","2019-01-18","2018020735","20182019","NYI","1",49.78,11,7,19,19,2,1,0,0,-1,18,20,-2
"WSH","2019-01-20","2018020751","20182019","CHI","0",52.78,7,5,32,28,4,5,0,0,1,25,30,-5
"WSH","2019-01-22","2018020760","20182019","S.J","1",48.02,10,14,20,15,3,2,0,0,-1,25,28,-3
"WSH","2019-01-23","2018020765","20182019","TOR","0",55.43,15,6,31,14,1,1,0,0,0,19,34,-15
"WSH","2019-02-01","2018020785","20182019","CGY","1",48.25,12,6,32,14,2,4,0,0,2,27,31,-4
"WSH","2019-02-03","2018020802","20182019","BOS","1",49.33,11,13,37,25,2,3,0,0,1,15,29,-14
"WSH","2019-02-05","2018020814","20182019","VAN","1",50.88,13,12,20,22,3,1,0,0,-2,22,21,1
"WSH","2019-02-07","2018020827","20182019","COL","1",47.42,12,7,33,16,3,4,1,2,2,18,16,2
"WSH","2019-02-09","2018020848","20182019","FLA","1",51.93,15,11,14,19,4,1,0,0,-3,28,22,6
"WSH","2019-02-11","2018020861","20182019","L.A","1",44.95,14,6,14,15,3,3,0,0,0,26,16,10
"WSH","2019-02-12","2018020866","20182019","CBJ","0",48.28,7,5,12,14,2,2,0,0,0,12,26,-14
"WSH","2019-02-14","2018020887","20182019","S.J","0",49.42,6,7,20,20,1,4,0,0,3,18,19,-1
"WSH","2019-02-17","2018020909","20182019","ANA","0",48.3,10,5,25,18,4,3,0,0,-1,10,27,-17
"WSH","2019-02-18","2018020914","20182019","L.A","0",50.6,5,3,10,23,4,3,0,0,-1,13,17,-4
"WSH","2019-02-21","2018020929","20182019","TOR","0",47.87,9,6,30,14,1,3,0,0,2,9,28,-19
"WSH","2019-02-23","2018020945","20182019","BUF","0",46.98,14,2,19,12,4,2,0,0,-2,27,19,8
"WSH","2019-02-24","2018020956","20182019","NYR","1",50.98,6,4,19,16,8,6,1,1,-2,20,24,-4
"WSH","2019-02-26","2018020971","20182019","OTT","1",57.57,10,10,8,15,1,1,0,0,0,28,35,-7
"WSH","2019-03-01","2018020993","20182019","NYI","0",52.42,11,4,27,36,2,3,0,0,1,29,20,9
"WSH","2019-03-03","2018021009","20182019","NYR","0",54.67,14,4,28,28,2,3,0,0,1,17,24,-7
"WSH","2019-03-06","2018021029","20182019","PHI","0",50.17,7,8,17,21,2,1,0,0,-1,13,28,-15
"WSH","2019-03-08","2018021045","20182019","N.J","1",40.52,9,5,12,21,5,3,0,0,-2,8,17,-9
"WSH","2019-03-10","2018021061","20182019","WPG","1",46.82,6,8,20,14,4,1,0,0,-3,14,26,-12
"WSH","2019-03-12","2018021073","20182019","PIT","0",50.23,8,6,34,40,3,2,0,0,-1,24,24,0
"WSH","2019-03-14","2018021085","20182019","PHI","0",48.55,7,6,21,23,3,3,0,0,0,19,21,-2
"WSH","2019-03-16","2018021105","20182019","T.B","0",44.6,5,2,21,30,3,3,0,0,0,14,25,-11
"WSH","2019-03-19","2018021122","20182019","N.J","0",54,1,5,15,21,2,1,0,0,-1,22,27,-5
"WSH","2019-03-20","2018021133","20182019","T.B","1",47.15,10,14,31,16,5,7,1,1,2,24,28,-4
"WSH","2019-03-22","2018021148","20182019","MIN","1",49.68,10,10,13,16,1,3,0,0,2,25,18,7
"WSH","2019-03-24","2018021164","20182019","PHI","1",47.78,9,6,20,15,3,2,0,0,-1,19,28,-9
"WSH","2019-03-26","2018021178","20182019","CAR","1",54.8,13,9,18,23,0,1,0,0,1,25,33,-8
"WSH","2019-03-28","2018021190","20182019","CAR","0",54.1,7,12,17,25,1,0,0,0,-1,15,24,-9
"WSH","2019-03-30","2018021206","20182019","T.B","0",46.87,6,7,17,20,3,3,2,2,0,29,17,12
"WSH","2019-04-01","2018021221","20182019","FLA","0",48.43,12,8,32,26,2,1,0,0,-1,27,23,4
"WSH","2019-04-04","2018021246","20182019","MTL","1",55.9,11,15,37,22,1,1,0,0,0,24,24,0
"WSH","2019-04-06","2018021265","20182019","NYI","1",51.9,15,11,22,24,1,0,0,0,-1,18,23,-5
"WSH","Total","-","20182019","-","-",49.31,796,571,1734,1605,247,202,15,17,-43,1710,2032,-322
