"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"WSH","2016-10-13","2016020007","20162017","PIT","0",5.07,2,1,0,0,0,0,0,0,0,2,1,1
"WSH","2016-10-15","2016020022","20162017","NYI","1",10,3,2,0,3,0,0,0,0,0,1,7,-6
"WSH","2016-10-18","2016020039","20162017","COL","1",6.9,0,2,2,0,0,0,0,0,0,5,3,2
"WSH","2016-10-20","2016020056","20162017","FLA","0",2,0,0,0,0,0,0,0,0,0,1,0,1
"WSH","2016-10-22","2016020071","20162017","NYR","1",4,2,1,0,0,0,0,0,0,0,3,2,1
"WSH","2016-10-26","2016020096","20162017","EDM","0",6,1,0,1,1,1,1,0,0,0,4,3,1
"WSH","2016-10-29","2016020121","20162017","VAN","0",2.67,0,0,0,0,0,0,0,0,0,1,2,-1
"WSH","2016-10-30","2016020130","20162017","CGY","0",2.58,2,0,0,0,0,0,0,0,0,2,2,0
"WSH","2016-11-01","2016020138","20162017","WPG","0",4.02,0,0,0,0,0,0,0,0,0,1,1,0
"WSH","2016-11-03","2016020149","20162017","WPG","1",9,3,0,1,2,0,0,0,0,0,12,2,10
"WSH","2016-11-05","2016020168","20162017","FLA","1",7.52,1,0,1,0,0,0,0,0,0,6,3,3
"WSH","2016-11-08","2016020187","20162017","S.J","1",6,1,0,1,1,0,0,0,0,0,5,2,3
"WSH","2016-11-11","2016020209","20162017","CHI","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"WSH","2016-11-12","2016020218","20162017","CAR","0",3.97,0,1,1,0,0,0,0,0,0,0,3,-3
"WSH","2016-11-15","2016020232","20162017","CBJ","0",3.52,0,0,0,0,0,0,0,0,0,1,1,0
"WSH","2016-11-16","2016020243","20162017","PIT","1",10.7,1,3,0,2,1,1,0,0,0,9,6,3
"WSH","2016-11-18","2016020256","20162017","DET","1",4.73,2,0,1,1,1,0,0,0,-1,3,3,0
"WSH","2016-11-20","2016020271","20162017","CBJ","1",1.27,0,0,0,0,0,0,0,0,0,1,1,0
"WSH","2016-11-23","2016020291","20162017","STL","1",4.58,2,0,1,0,0,1,0,0,1,0,4,-4
"WSH","2016-11-25","2016020306","20162017","BUF","1",6.42,0,1,0,0,0,0,0,0,0,6,4,2
"WSH","2016-11-26","2016020313","20162017","TOR","0",7.6,4,0,1,1,0,1,0,0,1,4,5,-1
"WSH","2016-12-01","2016020348","20162017","NYI","1",12,4,1,1,0,0,0,0,0,0,4,7,-3
"WSH","2016-12-03","2016020364","20162017","T.B","0",9.27,4,1,1,3,0,0,0,0,0,6,7,-1
"WSH","2016-12-05","2016020380","20162017","BUF","1",4.08,0,2,1,1,0,0,0,0,0,3,2,1
