"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"WSH","2017-10-05","2017020008","20172018","OTT","0",10,0,0,1,0,0,0,0,0,0,5,6,-1
"WSH","2017-10-07","2017020022","20172018","MTL","1",7.45,0,1,1,1,0,0,0,0,0,3,2,1
"WSH","2017-10-09","2017020036","20172018","T.B","0",9.78,1,2,1,0,0,0,0,0,0,4,6,-2
"WSH","2017-10-11","2017020047","20172018","PIT","1",10.53,2,1,3,1,0,0,0,0,0,7,3,4
"WSH","2017-10-13","2017020058","20172018","N.J","0",6.78,0,0,1,0,0,0,0,0,0,3,2,1
"WSH","2017-10-14","2017020066","20172018","PHI","0",1.53,0,0,0,0,0,0,0,0,0,2,1,1
"WSH","2017-10-17","2017020084","20172018","TOR","1",2.95,1,1,0,0,0,1,0,0,1,6,0,6
"WSH","2017-10-20","2017020106","20172018","DET","0",9.28,2,0,1,0,0,0,0,0,0,6,7,-1
"WSH","2017-10-21","2017020116","20172018","FLA","1",7.32,3,1,2,0,1,0,0,0,-1,9,4,5
"WSH","2017-10-26","2017020148","20172018","VAN","0",7.47,0,1,0,0,0,0,0,0,0,3,5,-2
"WSH","2017-10-28","2017020166","20172018","EDM","0",6,1,0,0,0,0,0,0,0,0,2,2,0
"WSH","2017-10-29","2017020169","20172018","CGY","0",3.65,1,0,0,0,0,0,0,0,0,3,1,2
"WSH","2017-11-02","2017020187","20172018","NYI","1",4.23,1,0,0,0,0,0,0,0,0,3,2,1
"WSH","2017-11-04","2017020201","20172018","BOS","0",7.12,0,0,0,2,0,0,0,0,0,3,5,-2
"WSH","2017-11-06","2017020220","20172018","ARI","1",5.87,0,1,0,0,0,1,0,0,1,2,2,0
"WSH","2017-11-07","2017020223","20172018","BUF","0",8,0,1,0,0,0,0,0,0,0,5,5,0
"WSH","2017-11-10","2017020244","20172018","PIT","1",6.07,1,3,1,1,0,1,0,0,1,4,1,3
"WSH","2017-11-12","2017020261","20172018","EDM","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"WSH","2017-11-14","2017020270","20172018","NSH","0",6.8,1,0,2,1,0,0,0,0,0,4,4,0
"WSH","2017-11-16","2017020285","20172018","COL","0",9,0,1,0,0,0,0,0,0,0,1,5,-4
"WSH","2017-11-18","2017020301","20172018","MIN","1",7.53,1,0,3,0,0,0,0,0,0,1,7,-6
"WSH","2017-11-20","2017020312","20172018","CGY","1",8.7,1,2,0,0,1,0,0,0,-1,3,7,-4
"WSH","2017-11-22","2017020325","20172018","OTT","1",4.73,1,0,1,1,1,0,0,0,-1,4,1,3
"WSH","2017-11-24","2017020338","20172018","T.B","1",2.63,1,0,0,0,0,0,0,0,0,2,1,1
"WSH","2017-11-25","2017020348","20172018","TOR","0",2,0,0,0,1,0,0,0,0,0,0,1,-1
"WSH","2017-11-30","2017020381","20172018","L.A","1",4,2,0,0,0,0,0,0,0,0,1,2,-1
"WSH","2017-12-02","2017020401","20172018","CBJ","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"WSH","2017-12-04","2017020412","20172018","S.J","1",2.77,0,2,1,1,0,0,0,0,0,2,3,-1
"WSH","2017-12-06","2017020427","20172018","CHI","1",7.6,1,1,0,0,0,0,0,0,0,1,6,-5
"WSH","2017-12-08","2017020440","20172018","NYR","1",4.38,0,1,0,1,0,0,0,0,0,3,1,2
"WSH","2017-12-11","2017020460","20172018","NYI","0",6,0,1,0,0,0,0,0,0,0,4,2,2
"WSH","2017-12-12","2017020469","20172018","COL","1",6.42,1,4,1,0,0,1,0,0,1,2,6,-4
"WSH","2017-12-14","2017020479","20172018","BOS","0",6.57,0,1,1,0,0,0,0,0,0,5,5,0
"WSH","2017-12-16","2017020502","20172018","ANA","1",0.08,0,0,0,0,0,0,0,0,0,0,1,-1
"WSH","2017-12-19","2017020522","20172018","DAL","0",7,0,0,1,2,1,1,0,0,0,6,5,1
"WSH","2017-12-22","2017020542","20172018","ARI","0",3.6,1,0,1,0,0,0,0,0,0,3,0,3
"WSH","2017-12-23","2017020555","20172018","VGK","0",4.02,0,0,1,0,0,0,0,0,0,1,3,-2
"WSH","2017-12-27","2017020561","20172018","NYR","0",4.42,0,1,1,0,0,0,0,0,0,0,4,-4
"WSH","2017-12-28","2017020569","20172018","BOS","1",10,4,2,5,0,0,0,0,0,0,4,6,-2
"WSH","2017-12-30","2017020589","20172018","N.J","1",4,1,0,1,0,0,0,0,0,0,2,3,-1
"WSH","2018-01-02","2017020605","20172018","CAR","0",7.52,0,1,2,0,0,0,0,0,0,5,3,2
"WSH","2018-01-07","2017020644","20172018","STL","1",2.73,0,2,0,1,0,0,0,0,0,1,3,-2
"WSH","2018-01-09","2017020654","20172018","VAN","1",4.87,0,0,0,0,0,0,0,0,0,3,2,1
"WSH","2018-01-11","2017020663","20172018","CAR","1",2,0,0,0,0,0,0,0,0,0,1,2,-1
"WSH","2018-01-12","2017020667","20172018","CAR","0",5.37,0,0,1,0,0,0,0,0,0,4,5,-1
"WSH","2018-01-18","2017020695","20172018","N.J","0",6,0,0,1,1,0,0,0,0,0,2,4,-2
