"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"WSH","2016-10-13","2016020007","20162017","PIT","0",57.78,18,16,10,122,23,24,15,5,7
"WSH","2016-10-15","2016020022","20162017","NYI","1",45.28,10,11,6,69,18,16,10,1,5
"WSH","2016-10-18","2016020039","20162017","COL","1",48.3,12,15,6,86,17,18,9,2,5
"WSH","2016-10-20","2016020056","20162017","FLA","0",49.68,13,14,9,74,15,16,11,0,4
"WSH","2016-10-22","2016020071","20162017","NYR","1",49.42,13,15,4,80,16,16,7,1,5
"WSH","2016-10-26","2016020096","20162017","EDM","0",47.23,17,10,8,84,21,13,15,6,4
"WSH","2016-10-29","2016020121","20162017","VAN","0",51.15,16,19,9,113,20,24,15,2,2
"WSH","2016-10-30","2016020130","20162017","CGY","0",52.57,13,17,8,118,15,19,16,7,3
"WSH","2016-11-01","2016020138","20162017","WPG","0",49.57,12,18,12,82,17,21,16,1,2
"WSH","2016-11-03","2016020149","20162017","WPG","1",50.35,14,13,4,82,19,17,7,1,5
"WSH","2016-11-05","2016020168","20162017","FLA","1",48.88,12,12,13,80,18,16,19,3,6
"WSH","2016-11-08","2016020187","20162017","S.J","1",49.07,8,12,9,95,13,15,12,2,4
"WSH","2016-11-11","2016020209","20162017","CHI","0",57.2,8,15,13,112,9,16,21,4,3
"WSH","2016-11-12","2016020218","20162017","CAR","0",44.8,8,13,9,83,11,18,10,0,3
"WSH","2016-11-15","2016020232","20162017","CBJ","0",51.37,11,10,9,99,18,14,15,6,3
"WSH","2016-11-16","2016020243","20162017","PIT","1",42.42,13,15,10,67,19,20,18,4,9
"WSH","2016-11-18","2016020256","20162017","DET","1",46.28,11,10,7,86,15,13,14,5,3
"WSH","2016-11-20","2016020271","20162017","CBJ","1",55.6,19,13,9,103,23,14,13,2,3
"WSH","2016-11-23","2016020291","20162017","STL","1",47.37,12,12,8,84,13,16,14,6,3
"WSH","2016-11-25","2016020306","20162017","BUF","1",43.87,12,13,12,63,20,14,16,2,5
"WSH","2016-11-26","2016020313","20162017","TOR","0",41.35,11,14,11,70,15,16,15,4,3
"WSH","2016-12-01","2016020348","20162017","NYI","1",40.95,16,6,10,65,19,6,12,0,3
"WSH","2016-12-03","2016020364","20162017","T.B","0",49.92,4,15,10,76,11,21,10,1,4
"WSH","2016-12-05","2016020380","20162017","BUF","1",51.82,16,14,7,91,18,15,11,2,8
"WSH","2016-12-07","2016020392","20162017","BOS","1",53.97,8,20,12,79,11,24,15,2,3
"WSH","2016-12-09","2016020405","20162017","BUF","0",44.55,11,15,9,89,12,16,10,1,7
"WSH","2016-12-11","2016020423","20162017","VAN","1",42.58,11,15,6,71,13,19,12,5,4
"WSH","2016-12-13","2016020432","20162017","NYI","0",51.6,14,18,12,96,21,19,13,0,3
"WSH","2016-12-16","2016020456","20162017","CAR","0",52.3,13,14,11,122,15,18,13,2,5
"WSH","2016-12-17","2016020465","20162017","MTL","1",47.4,8,16,7,85,11,20,11,0,4
"WSH","2016-12-21","2016020493","20162017","PHI","0",58.93,11,11,15,117,15,12,21,4,2
"WSH","2016-12-23","2016020508","20162017","T.B","1",49.87,8,15,13,73,12,17,19,5,3
"WSH","2016-12-27","2016020518","20162017","NYI","0",44.6,4,17,6,87,8,21,15,5,0
"WSH","2016-12-29","2016020533","20162017","N.J","1",49.23,20,12,9,78,25,14,14,2,8
"WSH","2016-12-31","2016020549","20162017","N.J","0",46.02,11,12,8,79,17,16,12,2,6
"WSH","2017-01-01","2016020560","20162017","OTT","1",48.38,7,13,7,98,13,15,14,6,2
"WSH","2017-01-03","2016020566","20162017","TOR","1",46.52,14,21,7,80,17,24,8,1,1
"WSH","2017-01-05","2016020579","20162017","CBJ","1",46.7,9,10,10,89,14,16,15,1,5
"WSH","2017-01-07","2016020595","20162017","OTT","0",48.83,8,9,9,101,17,11,16,5,3
"WSH","2017-01-09","2016020610","20162017","MTL","0",49.07,11,17,5,99,14,23,10,4,2
"WSH","2017-01-11","2016020622","20162017","PIT","1",45.1,12,14,11,71,18,16,15,2,6
"WSH","2017-01-13","2016020634","20162017","CHI","1",56,8,13,12,98,9,16,13,1,3
"WSH","2017-01-15","2016020652","20162017","PHI","1",46.07,8,13,7,105,9,14,7,0,3
"WSH","2017-01-16","2016020661","20162017","PIT","0",51.98,7,23,12,89,7,28,19,3,0
"WSH","2017-01-19","2016020680","20162017","STL","0",55.83,8,20,10,106,14,25,13,0,3
"WSH","2017-01-21","2016020697","20162017","DAL","0",47.05,10,17,15,87,12,19,19,3,2
"WSH","2017-01-23","2016020709","20162017","CAR","1",49.83,7,15,18,77,11,15,19,0,0
"WSH","2017-01-24","2016020719","20162017","OTT","0",43,9,8,8,90,12,10,15,6,2
"WSH","2017-01-26","2016020729","20162017","N.J","0",47.48,10,11,11,76,13,15,16,1,3
"WSH","2017-01-31","2016020741","20162017","NYI","0",53.13,6,13,10,122,12,16,12,1,4
"WSH","2017-02-01","2016020755","20162017","BOS","1",49.55,9,17,9,79,14,18,14,3,5
"WSH","2017-02-04","2016020771","20162017","MTL","0",45.47,10,15,5,79,11,21,8,2,1
"WSH","2017-02-05","2016020784","20162017","L.A","1",47.35,5,8,14,83,9,12,19,3,3
"WSH","2017-02-07","2016020793","20162017","CAR","1",48.77,8,16,7,85,14,19,13,6,1
"WSH","2017-02-09","2016020806","20162017","DET","1",55.32,18,15,7,81,26,18,13,4,6
"WSH","2017-02-11","2016020824","20162017","ANA","1",49.3,13,17,6,92,17,17,11,4,7
"WSH","2017-02-18","2016020860","20162017","DET","0",51.3,12,14,16,76,15,17,21,1,5
"WSH","2017-02-19","2016020869","20162017","NYR","0",50.97,12,10,6,123,14,11,13,1,4
"WSH","2017-02-22","2016020892","20162017","PHI","0",52.5,9,23,10,92,11,29,17,3,1
"WSH","2017-02-24","2016020900","20162017","EDM","1",54,11,10,9,120,14,11,14,5,1
"WSH","2017-02-25","2016020906","20162017","NSH","0",51.53,11,21,11,90,14,24,13,1,4
"WSH","2017-02-28","2016020924","20162017","NYR","0",48.65,18,16,9,88,23,17,16,6,5
"WSH","2017-03-02","2016020939","20162017","N.J","1",42.85,11,7,9,60,12,8,11,0,3
"WSH","2017-03-04","2016020957","20162017","PHI","1",44.12,6,11,8,96,10,13,12,2,1
