"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,53.42,0,0,0,0,1.12,1.12,3.37,0.01,0,0,1,4.49,1.12,3.37,1.12,1.12,0,0,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.12,1.15,0,0,1.15,3.45,3.45,5.76,0.21,33.33,33.33,6,4.6,2.3,1.15,1.15,3.45,2.3,1.15,0,0,-1.15,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,173.17,0,0,0,0,1.39,1.73,2.08,0.04,0,0,2.2,5.54,3.12,1.73,1.73,0.69,0,0,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,184.72,0,0,0,0,3.57,3.9,4.87,0.07,0,0,1.92,3.57,2.92,2.6,2.92,0.32,1.62,0.97,0,0,-0.65,0,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,133.22,0,0.45,0,0.45,2.7,3.15,4.05,0.05,0,0,1.43,3.6,2.7,1.8,1.35,1.35,1.35,0,0,0,-1.35,0,0,0
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,57.12,0,0,0,0,0,0,0,0,0,0,0,9.45,0,1.05,3.15,1.05,1.05,0,0,0,-1.05,0,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,73.5,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0.82,7.35,2.45,1.63,0,0,0,-1.63,0,0,0
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,136.15,0,0,0,0,0.44,0.88,0.88,0,0,0,0.5,8.37,0.44,1.32,1.76,0.88,0.88,0,0,0,-0.88,0,0,0
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,97.13,0,0,0,0,0,0,0,0,0,0,0,4.32,2.47,0,0,0.62,0,0.62,0,0,0.62,0,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,147.85,0,0,0,0,0.81,0.81,0.81,0,0,0,0.5,11.36,0,0,4.46,0.81,0.81,0.41,0,0,-0.41,0,0,0
