"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,217.52,5,1,5,11,36,53,77,2.95,13.89,9.43,5.57,2,2,2,4,6,2,0,0,0,-2,0,0,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,211.43,2,2,3,7,34,48,73,2.89,5.88,4.17,6.02,1,3,1,4,9,2,0,0,0,-2,0,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,178.68,4,1,3,8,61,72,108,4.1,6.56,5.56,5.69,0,4,1,2,5,0,0,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,165.05,5,2,3,10,29,44,72,3.11,17.24,11.36,7.07,4,8,2,3,12,2,1,0,0,-1,0,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,137.45,5,2,3,10,37,42,55,2.88,13.51,11.9,6.86,0,8,0,3,4,0,0,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.25,0,4,2,6,17,21,30,0.84,0,0,4,0,1,1,0,0,1,0,0,0,-1,0,0,0
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,0,0,1,1,2,3,10,0.09,0,0,3,2,2,2,4,1,0,0,0,0,0,0,0,0
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,71.9,0,1,0,1,9,15,17,1.98,0,0,13.2,0,2,0,4,5,1,2,0,0,1,1,2,-1
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,83.52,3,0,0,3,16,21,23,2.62,18.75,14.29,12.48,1,1,1,5,9,3,0,0,0,-3,0,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,105.75,0,0,3,3,15,20,25,0.8,0,0,4,3,0,0,2,4,0,0,0,0,0,0,0,0
