"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,68.28,0,0,0.88,0.88,7.03,8.79,9.67,0.9,0,0,10.2,2.64,1.76,0.88,3.51,5.27,1.76,1.76,0,0,0,0,0,0
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,125.68,0,0.95,0.48,1.43,6.21,7.16,9.55,0.32,0,0,4.4,2.39,0.95,1.43,14.32,7.64,3.82,2.39,0.48,0.48,-1.43,0.48,0.95,-0.48
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,94.02,0.64,0.64,0,1.28,5.74,7.02,8.93,0.8,11.11,9.09,11.45,3.19,0.64,2.55,12.76,12.76,4.47,1.28,0,0,-3.19,1.28,1.91,-0.64
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,256.93,0,0.7,0,0.7,3.5,4.44,5.14,0.4,0,0,9.05,1.4,0.93,0.7,18.45,11.21,5.37,2.57,2.34,2.34,-2.8,0,0,0
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1766.62,0.41,0.34,0.58,1.32,5.77,8.08,11.92,0.3,7.06,5.04,3.77,2.72,1.39,0.88,3.7,4.62,0.54,0.51,0,0,-0.03,0,0,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1690.82,0.53,0.28,0.46,1.28,6.46,8.52,11.5,0.36,8.24,6.25,4.25,2.09,1.45,0.85,3.09,4.47,0.67,0.28,0.04,0.04,-0.39,0,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1459.28,0.41,0.16,0.29,0.86,9.25,12.17,16.78,0.49,4.44,3.38,4.06,2.55,2.38,1.03,3.62,3.45,1.19,0.7,0,0,-0.49,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1917.9,0.5,0.19,0.5,1.19,5.91,8.85,12.48,0.39,8.47,5.65,4.45,3.79,3.1,1.25,2.16,2.25,0.91,0.28,0.09,0.09,-0.63,0,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1938.82,0.4,0.25,0.5,1.15,5.57,7.12,9.75,0.29,7.22,5.65,4.05,2.72,3.78,1.45,3.53,3.56,0.65,0.46,0.03,0.03,-0.19,0,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1537.92,0.2,0.9,0.51,1.6,5.74,7.3,10.34,0.26,3.4,2.67,3.6,3.28,2.89,1.44,1.33,2.18,0.55,0.39,0,0,-0.16,0,0,0
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,153.2,0,0,0.78,0.78,3.52,7.44,10.18,0.35,0,0,4.68,1.96,0,1.57,4.7,4.31,0,0,0,0,0,11.75,9.79,1.96
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,66.13,0,0,0,0,5.44,8.17,10.89,0.58,0,0,7.11,3.63,0,0.91,0.91,6.35,0,0,0,0,0,16.33,19.96,-3.63
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,81.53,2.21,0,0,2.21,8.1,10.3,12.51,0.85,27.27,21.43,8.29,2.94,1.47,2.94,5.15,5.15,0.74,0.74,0,0,0,22.08,19.87,2.21
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,415.85,0,0,0.29,0.29,2.31,3.17,6.64,0.06,0,0,1.86,4.04,2.31,2.6,5.92,5.63,2.16,0.58,0,0,-1.59,0,0,0
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,537.38,0.33,0.11,0.45,0.89,3.01,4.8,6.36,0.13,11.11,6.98,2.79,3.91,1,0.89,4.58,4.35,1.56,0.56,0.11,0.22,-0.89,0,0,0
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,267.93,0.22,0.45,0,0.67,2.91,4.93,7.39,0.11,7.69,4.55,2.14,3.14,1.12,0.9,5.82,5.37,1.57,0.45,0.22,0.22,-1.12,0,0,0
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,373.7,0.48,0.16,0.48,1.12,3.69,5.94,8.35,0.23,13.04,8.11,3.84,4.34,3.21,1.93,7.06,4.5,1.28,0.8,0,0,-0.48,0,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,924.4,0.19,0.39,0.45,1.04,4.09,5.78,7.66,0.2,4.76,3.37,3.46,4.67,1.36,1.1,6.43,6.04,0.52,0.65,0,0,0.13,0,0,0
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,148.7,0,0,0,0,3.23,4.44,9.28,0.08,0,0,1.91,2.02,2.82,0,7.26,8.47,2.02,0.4,0,0,-1.61,0,0,0
"Aaron MacKenzie","AARON.MACKENZIE","08-09","COL","D","L",1981-03-07,27,5,73.17,0,0,0,0,2.46,4.1,6.56,0.08,0,0,2,6.56,0,0.82,4.92,6.56,0,0.82,0,0,0.82,0,0,0
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,988.18,0.06,0.06,0.43,0.55,1.64,2.73,4.13,0.07,3.7,2.22,2.4,4.86,1.76,0.91,2.25,4.49,0.67,0.18,0,0.06,-0.43,0,0,0
"Aaron Ness","AARON.NESS","11-12","NYI","D","L",1990-05-18,21,9,152.43,0,0,0,0,2.36,5.12,7.09,0.21,0,0,4.15,6.69,1.18,0.79,0.79,5.51,0.39,0,0,0,-0.39,0,0,0
"Aaron Ness","AARON.NESS","13-14","NYI","D","L",1990-05-18,23,20,295.88,0.2,0,0.41,0.61,4.66,6.49,9.94,0.28,4.35,3.12,4.38,5.27,1.42,0.61,2.84,6.29,1.01,0.41,0,0,-0.61,0,0,0
"Aaron Ness","AARON.NESS","15-16","WSH","D","L",1990-05-18,25,8,99.1,0,0,1.21,1.21,4.84,7.87,10.9,0.22,0,0,2.77,4.24,1.21,0,2.42,5.45,0.61,0.61,0,0,0,0,0,0
"Aaron Ness","AARON.NESS","17-18","WSH","D","L",1990-05-18,27,8,101.82,0,0,0.59,0.59,1.18,1.18,1.77,0.01,0,0,1,4.71,1.18,0.59,0.59,8.25,2.36,0.59,0,0,-1.77,0,0,0
"Aaron Ness","AARON.NESS","19-20","ARI","D","L",1990-05-18,29,24,300.83,0,0.2,0,0.2,2.19,3.79,5.39,0.06,0,0,1.53,3.99,1.6,0.2,3.39,9.77,0,1,0,0,1,0,0,0
"Aaron Palushaj","AARON.PALUSHAJ","11-12","MTL","R","R",1989-09-07,22,38,287.52,0.21,0.21,0.63,1.04,7.72,10.64,14.61,0.52,2.7,1.96,4.86,2.3,1.04,1.88,5.84,10.43,0.83,2.3,0,0,1.46,0,0.83,-0.83
"Aaron Palushaj","AARON.PALUSHAJ","12-13","COL","R","R",1989-09-07,23,25,282.88,0.42,0.64,0.85,1.91,6.15,7.85,10.39,0.4,6.9,5.41,5.14,2.76,1.06,1.7,6.79,7,0.85,1.91,0,0,1.06,0.42,1.27,-0.85
"Aaron Rome","AARON.ROME","07-08","CBJ","D","L",1983-09-27,23,17,309.03,0.19,0,0.19,0.39,2.91,4.66,6.41,0.1,6.67,4.17,2.08,3.3,0.78,0.39,6.41,4.27,0.78,0.39,0.58,0.58,-0.39,0,0,0
"Aaron Rome","AARON.ROME","08-09","CBJ","D","L",1983-09-27,24,8,123.73,0,0.48,0,0.48,3.39,5.33,7.76,0.09,0,0,1.64,3.88,0.97,0.97,5.82,5.82,0,0,0,0,0,0,0,0
"Aaron Rome","AARON.ROME","09-10","VAN","D","L",1983-09-27,25,49,743.77,0,0.08,0.24,0.32,3.95,5.65,9.52,0.16,0,0,2.87,3.95,1.29,0.48,4.68,6.29,0.56,0.24,0.16,0.08,-0.4,0,0,0
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,975.03,0.06,0.18,0.06,0.31,3.08,4.55,6.71,0.17,2,1.35,3.65,3.63,1.29,0.8,4.8,6.46,1.17,0.31,0.06,0.06,-0.86,0,0,0
"Aaron Rome","AARON.ROME","11-12","VAN","D","L",1983-09-27,27,43,654.73,0.37,0.27,0.27,0.92,3.85,6.41,9.62,0.16,9.52,5.71,2.54,5.68,1.19,0.37,5.87,7.33,1.19,0.55,0.18,0.09,-0.73,0,0,0
"Aaron Rome","AARON.ROME","12-13","DAL","D","L",1983-09-27,28,27,414.02,0,0.43,0.29,0.72,2.17,3.04,5.8,0.07,0,0,2.29,4.64,1.3,0.29,6.23,6.67,1.3,0.58,0,0,-0.72,0,0,0
"Aaron Rome","AARON.ROME","13-14","DAL","D","L",1983-09-27,29,25,327.2,0,0.18,0,0.18,2.75,4.03,6.6,0.09,0,0,2.32,6.97,2.2,0.37,3.67,7.52,0.55,0.18,0.18,0.18,-0.37,0,0,0
"Aaron Volpatti","AARON.VOLPATTI","10-11","VAN","L","L",1985-05-30,25,15,102.47,0.59,0.59,0,1.17,3.51,4.68,7.03,0.32,16.67,12.5,6.88,1.76,0,0,21.08,10.54,1.76,0.59,1.17,1.17,-1.17,0,0,0
"Aaron Volpatti","AARON.VOLPATTI","11-12","VAN","L","L",1985-05-30,26,23,206.28,0.29,0,0,0.29,4.94,6.69,10.18,0.39,5.88,4.35,5.87,2.33,1.16,0.29,17.74,11.05,1.75,0.87,1.45,1.45,-0.87,1.16,0,1.16
"Aaron Volpatti","AARON.VOLPATTI","12-13","VAN","L","L",1985-05-30,27,16,117,0.51,0,0,0.51,5.64,7.69,10.77,0.43,9.09,6.67,5.53,1.54,1.03,0.51,21.54,11.79,2.05,1.03,2.05,2.05,-1.03,0,1.03,-1.03
"Aaron Volpatti","AARON.VOLPATTI","12-13","WSH","L","L",1985-05-30,27,17,158.13,0,0.38,0,0.38,3.79,6.45,7.97,0.41,0,0,6.35,2.66,1.14,1.14,14.42,13.28,0.38,0.38,0.38,0.38,0,0.38,0.38,0
"Aaron Volpatti","AARON.VOLPATTI","13-14","WSH","L","L",1985-05-30,28,41,301.87,0.4,0,0,0.4,3.58,5.37,7.75,0.4,11.11,7.41,7.48,1.99,0.2,1.19,15.3,10.93,1.39,0.4,0.99,0.99,-0.99,0.8,1.59,-0.8
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,504.6,0.83,0.71,0.12,1.66,6.18,8.44,10.46,0.76,13.46,9.86,9,0.59,1.19,0.95,11.41,7.97,2.73,2.02,1.78,1.66,-0.83,0.36,1.43,-1.07
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,603.58,0.8,0.6,0.2,1.59,6.56,9.34,10.74,0.83,12.12,8.51,8.93,0.8,1.09,0.6,11.23,8.25,2.58,2.19,0.99,0.89,-0.5,0.4,0.6,-0.2
"Aaron Voros","AARON.VOROS","09-10","NYR","L","L",1981-07-02,28,41,251.83,0.71,0.95,0,1.67,5.24,6.67,8.82,0.42,13.64,10.71,6.36,2.62,0,0.48,13.34,10.72,2.86,1.43,3.1,3.1,-1.43,0.71,0.71,0
"Aaron Voros","AARON.VOROS","10-11","ANA","L","L",1981-07-02,29,12,66.55,0,0,0,0,7.21,8.11,9.02,0.52,0,0,6.44,0.9,0,0.9,10.82,14.43,3.61,3.61,4.51,4.51,0,1.8,0.9,0.9
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,1325.75,0.23,0.09,0.27,0.59,3.08,4.66,6.43,0.11,7.35,4.85,2.26,5.3,0.81,0.23,6.38,3.67,1.22,0.5,0,0,-0.72,0,0,0
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,1214.9,0.15,0.1,0.2,0.44,2.57,4.05,6.07,0.1,5.77,3.66,2.39,5.93,1.09,0.25,7.31,4.3,1.04,0.25,0,0.05,-0.74,0,0,0
"Aaron Ward","AARON.WARD","09-10","ANA","D","R",1973-01-17,36,17,245.47,0,0,0.49,0.49,2.2,3.42,6.11,0.12,0,0,3.43,5.87,0.49,0.49,9.53,3.42,0.98,0.24,0,0,-0.73,0,0,0
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,1062.55,0.06,0.06,0.51,0.62,1.69,2.6,4.91,0.05,3.33,2.17,2.04,6.72,1.19,0.56,7.51,4.91,1.41,0.56,0,0,-0.85,0,0,0
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,665.12,0.36,0.45,0.36,1.17,4.51,6.22,9.65,0.24,8,5.8,3.86,3.88,2.35,0.9,2.98,5.5,0.27,0.9,0,0,0.63,0,0,0
"Adam Brooks","ADAM.BROOKS","19-20","TOR","C","L",1996-05-06,23,7,54.97,0,2.18,1.09,3.27,2.18,4.37,5.46,0.4,0,0,9.25,1.09,1.09,2.18,0,6.55,0,1.09,0,0,1.09,5.46,5.46,0
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,938.38,0.26,0.19,0.06,0.51,4.35,5.05,5.75,0.38,5.88,5.06,7.43,4.16,0.45,0.7,5.69,5.69,1.92,2.11,1.02,1.02,0.19,7.1,9.78,-2.69
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,606.65,0.59,0.2,0.1,0.89,8.21,9.49,10.38,0.75,7.23,6.25,7.89,3.66,0.1,1.09,4.65,7.71,1.88,1.88,0.49,0.49,0,4.85,7.42,-2.57
"Adam Burish","ADAM.BURISH","09-10","CHI","R","R",1983-01-06,26,13,114.07,0.53,1.05,0.53,2.1,4.73,8.42,9.99,0.45,11.11,6.25,5.31,4.73,1.05,1.05,4.73,6.31,1.05,2.1,1.05,1.05,1.05,3.68,7.36,-3.68
