"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,63.8,0,0,1,1,6,7,8,0.71,0,0,10.14,3,2,1,4,6,1,1,0,0,0,0,0,0
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,122.27,0,2,1,3,13,15,20,0.66,0,0,4.4,5,2,3,29,16,7,5,1,1,-2,1,2,-1
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,93.8,1,1,0,2,9,11,14,1.26,11.11,9.09,11.45,5,1,4,20,20,7,2,0,0,-5,2,3,-1
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,254.55,0,3,0,3,15,19,22,1.72,0,0,9.05,6,4,3,78,48,21,9,9,9,-12,0,0,0
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1485.73,6,8,8,22,126,172,256,4.56,4.76,3.49,2.65,72,38,21,100,127,11,10,0,0,-1,0,0,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1378.1,12,6,8,26,134,175,228,6.32,8.96,6.86,3.61,53,37,20,78,115,14,6,1,1,-8,0,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1194.68,5,3,4,12,156,208,270,7.03,3.21,2.4,3.38,58,51,23,83,76,22,14,0,0,-8,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1500,11,3,9,23,140,215,291,7.94,7.86,5.12,3.69,97,79,30,61,55,21,8,2,2,-13,0,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1562.65,8,6,11,25,129,171,234,5.92,6.2,4.68,3.46,75,100,38,101,107,12,9,0,0,-3,0,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1268.28,5,17,10,32,122,155,218,5.6,4.1,3.23,3.61,72,67,32,30,51,8,8,0,0,0,0,0,0
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,143.03,0,0,2,2,8,18,25,0.78,0,0,4.33,4,0,4,12,11,0,0,0,0,0,28,23,5
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,65.65,0,0,0,0,6,9,12,0.64,0,0,7.11,4,0,1,1,7,0,0,0,0,0,18,21,-3
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,73.27,3,0,0,3,11,14,17,1.16,27.27,21.43,8.29,3,1,4,7,7,1,1,0,0,0,27,24,3
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,342.2,0,0,1,1,13,18,34,0.31,0,0,1.72,25,13,13,36,38,13,4,0,0,-9,0,0,0
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,460.53,3,1,4,8,25,41,55,1.08,12,7.32,2.63,25,9,7,37,38,10,4,1,2,-5,0,0,0
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,253.17,1,2,0,3,13,22,33,0.47,7.69,4.55,2.14,12,5,4,26,24,6,2,0,0,-4,0,0,0
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,301.17,2,1,2,5,18,29,40,0.98,11.11,6.9,3.38,25,17,10,37,27,5,3,0,0,-2,0,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,793.07,2,5,7,14,50,73,96,2.33,4,2.74,3.19,60,18,16,85,88,5,8,0,0,3,0,0,0
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,138.4,0,0,0,0,8,11,23,0.21,0,0,1.91,4,7,0,18,21,4,1,0,0,-3,0,0,0
"Aaron MacKenzie","AARON.MACKENZIE","08-09","COL","D","L",1981-03-07,27,5,66.07,0,0,0,0,3,5,8,0.1,0,0,2,6,0,1,6,8,0,1,0,0,1,0,0,0
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,828.23,1,1,7,9,26,43,64,1.07,3.85,2.33,2.49,60,28,12,33,72,8,3,0,1,-4,0,0,0
"Aaron Ness","AARON.NESS","11-12","NYI","D","L",1990-05-18,21,9,149.23,0,0,0,0,5,12,17,0.5,0,0,4.17,17,1,2,2,14,1,0,0,0,-1,0,0,0
"Aaron Ness","AARON.NESS","13-14","NYI","D","L",1990-05-18,23,20,273.02,1,0,2,3,23,31,47,0.92,4.35,3.23,2.97,25,7,3,13,30,4,2,0,0,-2,0,0,0
"Aaron Ness","AARON.NESS","15-16","WSH","D","L",1990-05-18,25,8,97.35,0,0,2,2,8,13,18,0.36,0,0,2.77,7,2,0,4,9,0,0,0,0,0,0,0,0
