"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,221.43,1.63,0.27,1.63,3.52,10.3,15.17,21.95,0.86,15.79,10.71,5.66,0.54,0.54,0.81,1.35,1.63,0.54,0,0,0,-0.54,0,0,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,218.35,0.55,0.55,0.82,1.92,9.89,14.01,21.16,0.9,5.56,3.92,6.45,0.27,0.82,0.27,1.37,2.47,0.55,0,0,0,-0.55,0,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,187.3,1.28,0.32,0.96,2.56,19.86,24.35,36.84,1.4,6.45,5.26,5.75,0,1.28,0.32,0.96,1.6,0,0,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,173.42,1.73,0.69,1.38,3.81,11.07,16.61,26.64,1.22,15.62,10.42,7.35,1.38,3.11,0.69,1.04,4.5,0.69,0.35,0,0,-0.35,0,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,138,2.17,0.87,1.3,4.35,16.09,18.26,24.35,1.25,13.51,11.9,6.86,0,3.48,0,1.3,1.74,0,0,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.9,0,2.5,1.25,3.75,10.64,13.14,18.77,0.53,0,0,4,0,0.63,0.63,0,0,0.63,0,0,0,-0.63,0,0,0
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,0,0,1.09,1.09,2.17,3.26,10.87,0.1,0,0,3,2.17,2.17,2.17,4.35,1.09,0,0,0,0,0,0,0,0
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,74.55,0,0.8,0,0.8,8.05,12.88,14.49,1.79,0,0,13.88,0,1.61,0,3.22,4.02,0.8,1.61,0,0,0.8,0.8,1.61,-0.8
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,84.2,2.14,0,0,2.14,11.4,14.96,16.39,1.87,18.75,14.29,12.48,0.71,0.71,0.71,3.56,6.41,2.14,0,0,0,-2.14,0,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,106.32,0,0,1.69,1.69,8.47,11.29,14.11,0.45,0,0,4,1.69,0,0,1.69,2.26,0,0,0,0,0,0,0,0
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,87.02,0,0.69,0.69,1.38,8.96,11.03,15.86,0.48,0,0,4.38,1.38,0,0,1.38,1.38,0,0,0,0,0,0,0,0
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,69,136.88,0.44,3.07,2.19,5.7,10.08,14.03,20.16,0.7,4.35,3.12,5,1.32,3.51,1.75,0.88,0.88,0.44,1.32,0,0,0.88,0,0,0
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,54,76.63,0,0.78,0.78,1.57,7.05,12.53,14.09,1.05,0,0,8.38,0,0.78,0,0,3.91,0,0,0,0,0,9.4,10.18,-0.78
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,58,89.62,2.68,0.67,4.69,8.03,9.37,14.06,16.74,1.37,28.57,19.05,9.71,0,1.34,1.34,0,0.67,0.67,0,0,0,-0.67,18.75,29.46,-10.71
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,73,119.5,0,2.01,2.01,4.02,5.02,8.54,9.54,0.91,0,0,10.65,0.5,0.5,1.51,1,2.51,0,0,0,0,0,16.57,14.06,2.51
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,110.3,1.63,0.54,0,2.18,8.7,13.6,16.32,1.35,18.75,12,9.92,0,2.72,0,0,1.09,0.54,0,0,0,-0.54,21.76,26.65,-4.9
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,162.45,2.59,0.74,1.11,4.43,8.86,10.71,12.56,1.32,29.17,24.14,12.31,0,2.59,0.74,0.74,1.48,0.74,0.37,0,0,-0.37,22.9,29.18,-6.28
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,73,128.9,2.33,2.79,2.33,7.45,6.98,11.17,13.5,1.51,33.33,20.83,13.54,0.47,2.33,0,0.93,1.86,0.93,0,0,0,-0.93,15.36,10.24,5.12
