"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,49,78.48,0,46.91,53.17,57.29,44.89,0,0.93,33.73,38.17,53.6,47.21,74.23,55.34,2.33,2.86,-0.93,-4.44,6.39,18.89,-0.53,0,97.56
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,39,53.45,50,55.37,52.5,53,44.55,2.01,2.01,29.27,23.59,39.3,35.56,49.21,43.64,1.92,2.39,0,5.68,3.74,5.57,-0.47,6.87,91.48
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,48,65.02,41.14,39.53,40.47,40.69,39.32,2.16,3.09,26.8,41,35.93,52.86,47.8,69.67,1.62,2.5,-0.93,-14.2,-16.93,-21.87,-0.88,8.06,92.46
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,55,51.52,50,55.79,52.5,56.88,54.31,2.16,2.16,30.33,24.03,41.96,37.96,52.68,39.94,2.96,2.49,0,6.3,4,12.74,0.47,7.12,91.01
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,53,51.02,100,63.04,59.67,62.71,56.51,3.25,0,32.24,18.9,44.2,29.88,60.2,35.8,2.3,1.77,3.25,13.34,14.32,24.4,0.53,10.08,100
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,58,57.08,73.13,58.72,58.43,55.72,41.13,2.94,1.08,32.4,22.78,44.45,31.63,56.43,44.84,2.11,3.02,1.86,9.62,12.82,11.59,-0.91,9.07,95.26
"Aleksander Barkov","ALEKSANDER.BARKOV","14-15","FLA","C","L",1995-09-02,19,44,57,0,47.06,51.32,51.22,48.29,0,0.93,24.7,27.79,34.51,32.74,46.06,43.87,1.41,1.51,-0.93,-3.09,1.77,2.19,-0.1,0,96.65
"Ales Hemsky","ALES.HEMSKY","07-08","EDM","R","R",1983-08-13,24,52,56.65,100,55.71,50.32,52.82,57.09,0.93,0,29.99,23.84,35.04,34.59,47.92,42.8,2.98,2.24,0.93,6.15,0.45,5.12,0.74,3.1,100
"Alex Edler","ALEX.EDLER","07-08","VAN","D","L",1986-04-21,21,59,84.48,50,49.07,50.04,48.66,46.75,1.86,1.86,41.72,43.31,60.46,60.37,73.1,77.13,3.16,3.6,0,-1.59,0.09,-4.03,-0.44,4.46,95.71
"Alex Edler","ALEX.EDLER","08-09","VAN","D","L",1986-04-21,22,54,70.93,61.79,44.09,48.45,50.2,59.61,3.25,2.01,31.39,39.81,46.64,49.62,64.64,64.12,3.63,2.46,1.24,-8.42,-2.98,0.52,1.17,10.35,94.95
"Alex Edler","ALEX.EDLER","09-10","VAN","D","L",1986-04-21,23,47,68.03,0,49.98,50.9,52.33,44.58,0,2.94,43.88,43.91,58.84,56.76,77.57,70.67,2.84,3.53,-2.94,-0.03,2.08,6.9,-0.69,0,93.3
"Alex Edler","ALEX.EDLER","11-12","VAN","D","L",1986-04-21,25,59,87.17,62.62,54.82,55.45,54.99,51.46,8.04,4.8,52.51,43.28,68.98,55.41,92.44,75.66,4.92,4.64,3.24,9.23,13.57,16.78,0.28,15.31,88.91
