"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,217.52,83.76,86.09,85.51,86.95,87.99,5.52,1.07,51.95,8.39,69.03,11.7,86.15,12.93,5.96,0.81,4.45,43.55,57.33,73.22,5.15,10.62,87.25
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,211.43,82.89,86.91,87.08,88.47,87.45,4.73,0.98,45.01,6.78,60.83,9.02,84.09,10.96,5.48,0.79,3.75,38.23,51.8,73.13,4.69,10.51,85.59
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,178.68,86.97,88.49,90.28,91.9,88.3,6.3,0.94,62.03,8.07,81.57,8.78,106.69,9.4,6.33,0.84,5.36,53.97,72.78,97.28,5.49,10.15,88.3
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,165.05,94.69,84.46,85.35,87.02,90.19,6.55,0.37,58.39,10.74,77.23,13.25,102.88,15.34,6.69,0.73,6.18,47.65,63.98,87.54,5.96,11.22,96.58
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,137.45,79.87,81.23,82.63,83.24,81.92,7.03,1.77,56.16,12.98,73.01,15.35,88.17,17.75,6.45,1.42,5.26,43.18,57.66,70.42,5.02,12.52,86.34
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.25,92.22,81.87,84.52,85.63,93.16,6.49,0.55,51.65,11.44,66.75,12.22,84.45,14.17,6.18,0.45,5.95,40.21,54.53,70.28,5.73,12.57,95.21
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,100,79.13,78.71,81.42,81.64,5.54,0,37.3,9.84,44.61,12.07,71.15,16.24,4.11,0.92,5.54,27.47,32.54,54.91,3.18,14.86,100
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,71.9,77.3,79.4,79.75,82.65,86.96,5.88,1.73,41.68,10.82,63.45,16.11,85.54,17.96,5.17,0.78,4.16,30.87,47.34,67.59,4.4,14.11,84.03
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,83.52,48.16,81.55,85.88,88.47,84.54,2.82,3.04,49.32,11.16,77.84,12.79,104.11,13.57,6.95,1.27,-0.22,38.16,65.05,90.54,5.68,5.72,72.76
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,105.75,83.45,81.1,83.82,83.79,86.19,5.35,1.06,42.9,10,60.04,11.59,73.72,14.26,5.28,0.85,4.29,32.91,48.45,59.46,4.43,12.47,89.39
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,86.2,88.2,80.89,84.12,86.54,90.49,5.15,0.69,47.95,11.33,63.69,12.02,85.52,13.3,6.03,0.63,4.46,36.62,51.67,72.22,5.39,10.74,93.92
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,69,135.1,93.93,78.86,83,83.53,89.23,6.39,0.41,49.81,13.35,71.57,14.66,95.45,18.82,6.55,0.79,5.98,36.46,56.91,76.63,5.76,12.83,96.91
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,54,76.48,86.88,81.24,82.37,86.15,79.52,5.61,0.85,39.96,9.23,58.15,12.44,76.98,12.38,4.39,1.13,4.76,30.73,45.71,64.61,3.26,14.04,90.82
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,58,89.18,100,82.79,84.44,85,91.98,10.73,0,50.32,10.46,70.01,12.9,95.47,16.85,5.94,0.52,10.73,39.86,57.11,78.62,5.42,21.33,100
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,73,119.1,82.03,80.76,85.1,85.43,83.2,4.76,1.04,37.09,8.84,56.84,9.95,73.9,12.6,4.69,0.95,3.72,28.26,46.88,61.3,3.74,12.83,88.2
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,109.58,71.7,80.03,82.8,86.61,76.93,4.31,1.7,41.19,10.28,57.87,12.02,86.22,13.33,4.97,1.49,2.61,30.91,45.85,72.89,3.48,10.47,83.43
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,162.08,89.96,84.51,84.1,86.06,84.91,6.9,0.77,44.54,8.16,56.51,10.68,74.53,12.08,4.71,0.84,6.13,36.38,45.83,62.45,3.87,15.48,90.57
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,72,126.52,91.79,79.98,80.96,84.15,82.92,9.54,0.85,39.29,9.84,58.16,13.68,77.75,14.64,5.66,1.17,8.69,29.45,44.48,63.11,4.5,24.29,91.32
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,79,191.87,88.71,82.62,83.55,86.11,86.43,4.42,0.56,42.71,8.98,60.12,11.84,77.14,12.45,4.8,0.75,3.86,33.72,48.28,64.7,4.05,10.35,93.73
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,81,191.78,68.79,79.3,82.66,84.95,80.14,5.11,2.32,46.36,12.1,64.02,13.43,83.09,14.72,6.01,1.49,2.79,34.26,50.59,68.37,4.52,11.02,80.85
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,56,136.5,85.46,85.27,84.61,87.46,88.02,7.57,1.29,54.66,9.44,76.23,13.87,101.95,14.62,7.72,1.05,6.28,45.22,62.36,87.33,6.67,13.85,86.36
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,23,62.73,84.01,81.24,85.2,85.23,88.24,9.75,1.86,62.2,14.37,92.81,16.12,113.33,19.65,7.75,1.03,7.89,47.83,76.69,93.69,6.71,15.67,87.08
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,82,180.5,92.04,82.39,83.03,85.03,88.66,7.73,0.67,51.26,10.96,69.94,14.29,93.03,16.38,6.34,0.81,7.06,40.3,55.65,76.65,5.53,15.08,93.9
"Adam Henrique","ADAM.HENRIQUE","19-20","ANA","C","L",1990-02-06,29,70,157.1,92.94,82.5,84.83,85.92,91.03,4.38,0.33,48.57,10.3,64.48,11.53,86.9,14.25,6.32,0.62,4.04,38.27,52.95,72.65,5.69,9.01,96.77
"Adam Larsson","ADAM.LARSSON","11-12","N.J","D","R",1992-11-12,18,65,103.27,70.03,79.54,80.61,84.21,85.34,4.28,1.83,43.32,11.14,59.05,14.21,81.25,15.24,5.68,0.98,2.45,32.18,44.84,66.01,4.71,9.87,83.58
"Adam Lowry","ADAM.LOWRY","16-17","WPG","L","L",1993-03-29,23,81,139.15,93.06,83.81,85.65,86.24,90.28,6.25,0.47,58.02,11.21,80.52,13.49,101.3,16.16,7.49,0.81,5.78,46.81,67.02,85.15,6.68,10.77,95.85
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,76,313.9,89.53,83,84.74,86.44,90.26,6.44,0.75,48.49,9.93,67.64,12.18,88.61,13.9,6.13,0.66,5.68,38.56,55.46,74.71,5.47,13.28,92.42
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,79,324.4,75.63,83.26,85.31,87.5,85.8,5.68,1.83,45.89,9.23,66.47,11.44,86.29,12.33,5.76,0.95,3.85,36.66,55.03,73.97,4.8,12.39,80.16
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,80,255.2,88.34,87.45,88.65,89.71,89.83,5.33,0.7,45.01,6.46,63.71,8.16,87.92,10.08,5.28,0.6,4.62,38.55,55.55,77.84,4.68,11.84,89.11
"Adrian Aucoin","ADRIAN.AUCOIN","10-11","ARI","D","R",1973-07-03,37,73,64.75,100,81.9,78.15,81.4,88.11,2.02,0,37.19,8.22,47.99,13.42,65.73,15.02,3.85,0.52,2.02,28.97,34.57,50.71,3.33,5.43,100
"Adrian Kempe","ADRIAN.KEMPE","17-18","L.A","L","L",1996-09-13,21,79,89.62,81.17,75.69,78.48,82.26,86.49,5.57,1.29,53.25,17.11,71.4,19.58,97.4,21,6.6,1.03,4.28,36.15,51.82,76.4,5.57,10.46,92.45
"Adrian Kempe","ADRIAN.KEMPE","18-19","L.A","L","L",1996-09-13,22,77,108.9,59.51,76.37,77.5,79.18,72.08,3.24,2.2,46.12,14.27,64.29,18.67,81.08,21.32,5.7,2.21,1.04,31.85,45.62,59.76,3.49,7.03,84.56
"Adrian Kempe","ADRIAN.KEMPE","19-20","L.A","L","L",1996-09-13,23,67,170,100,84.79,87.86,90.05,93.65,6.62,0,59.68,10.71,82.14,11.35,106.08,11.72,7.18,0.49,6.62,48.97,70.79,94.37,6.69,11.1,100
