"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,63.8,24.4,50.32,54.9,50.26,61.69,0.95,2.94,30.12,29.74,43.17,35.45,54.59,54.04,2.61,1.62,-1.99,0.39,7.71,0.55,0.99,3.15,90.1
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,122.27,67.51,40.8,39.72,39.84,39.38,1.97,0.95,24.19,35.1,31.51,47.82,41.07,62.01,1.67,2.58,1.02,-10.91,-16.31,-20.94,-0.9,8.13,97.3
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,93.8,33.44,49.06,50.64,48.87,47.84,1.31,2.61,28.66,29.75,38.94,37.96,49.43,51.71,2.19,2.39,-1.3,-1.09,0.99,-2.28,-0.2,4.58,91.23
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,254.55,49.84,51.9,52.84,52.68,48.39,1.43,1.44,27.45,25.44,38.35,34.22,47.34,42.53,1.7,1.81,-0.01,2.01,4.12,4.81,-0.11,5.21,94.34
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1485.73,56.64,54.34,53,53.63,54.58,2.37,1.81,32.35,27.18,42.3,37.51,55.38,47.88,2.22,1.85,0.56,5.17,4.79,7.5,0.37,7.32,93.33
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1378.1,58.34,52.98,51.67,51.92,50.79,2.62,1.87,28.76,25.53,38.87,36.36,49.26,45.62,2.09,2.03,0.75,3.23,2.51,3.64,0.07,9.12,92.67
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1194.68,38.88,50.74,50.51,51.53,47.59,1.59,2.51,31.99,31.05,43.44,42.56,56.89,53.51,2.2,2.43,-0.91,0.94,0.88,3.38,-0.22,4.98,91.93
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1500,51.53,48.11,48.53,48.38,46.62,2.95,2.78,33.78,36.44,46.3,49.1,58.55,62.47,2.52,2.89,0.17,-2.66,-2.8,-3.92,-0.37,8.74,92.38
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1562.65,51.24,51.51,49.99,49.5,48.81,3.27,3.11,32.93,31,43.47,43.49,55.79,56.91,2.6,2.73,0.16,1.93,-0.01,-1.12,-0.13,9.93,89.96
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1268.28,54.75,53.16,53.3,53.14,49.91,3.38,2.79,33.65,29.65,43.86,38.42,57.42,50.62,2.49,2.5,0.59,4,5.43,6.79,-0.01,10.03,90.59
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,143.03,33.59,40.23,46.78,50.43,52.76,1.27,2.51,20.65,30.68,33.49,38.1,53.22,52.32,2.36,2.11,-1.24,-10.03,-4.61,0.9,0.25,6.16,91.81
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,65.65,0,52.16,57.25,55.25,58.09,0,0.9,29.05,26.65,48.98,36.58,65.74,53.24,2.72,1.96,-0.9,2.4,12.4,12.5,0.76,0,96.6
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,73.27,55.08,49.77,49.22,50.16,52.64,4.04,3.29,24.62,24.85,36.18,37.32,52.53,52.19,2.45,2.2,0.75,-0.23,-1.15,0.34,0.25,16.4,86.75
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,342.2,55.7,46.16,45.93,47.1,44.19,2.62,2.08,26.88,31.36,36.21,42.64,50.62,56.84,1.95,2.47,0.54,-4.48,-6.43,-6.22,-0.51,9.75,93.35
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,460.53,69.94,49.54,52.81,52.29,50.4,3.09,1.33,27.47,27.99,39.33,35.14,49.49,45.16,1.9,1.87,1.76,-0.51,4.19,4.33,0.03,11.26,95.25
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,253.17,50.39,53.93,54.18,54.22,52.4,2.6,2.56,33.16,28.33,46.43,39.26,60.26,50.88,2.41,2.19,0.04,4.83,7.17,9.38,0.22,7.84,90.97
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,301.17,41.27,41.89,42,39.9,41.52,1.93,2.74,25.72,35.68,36.14,49.9,46.12,69.46,2.14,3.01,-0.81,-9.97,-13.76,-23.34,-0.87,7.49,92.32
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,793.07,42.06,47.14,47.35,46.23,52.05,2.12,2.92,27.51,30.85,36.98,41.12,48.28,56.15,2.34,2.15,-0.8,-3.34,-4.14,-7.87,0.18,7.7,90.53
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,138.4,49.62,58.27,58.87,59.91,53.72,1.68,1.71,31.54,22.59,45.26,31.63,64.68,43.29,2.25,1.94,-0.03,8.96,13.64,21.39,0.31,5.33,92.44
