"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,221.43,84.83,86.34,85.81,87.21,88.36,5.88,1.05,52.14,8.25,69.49,11.49,86.58,12.7,6.07,0.8,4.83,43.89,57.99,73.89,5.27,11.27,87.25
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,218.35,85.78,87.54,87.8,89.09,89.18,5.7,0.95,48.67,6.93,65.56,9.11,89.66,10.98,6.52,0.79,4.76,41.75,56.46,78.67,5.73,11.71,86.35
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,187.3,86.97,88.99,90.73,92.34,88.97,6.01,0.9,62.18,7.69,82.07,8.38,108.06,8.97,6.46,0.8,5.11,54.49,73.69,99.09,5.66,9.66,88.3
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,173.42,95.46,85.17,86.42,87.78,91.23,7.35,0.35,58.69,10.22,80.23,12.61,104.93,14.6,7.2,0.69,7,48.47,67.62,90.32,6.5,12.53,96.58
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,138,80.9,81.49,82.81,83.47,82.11,7.48,1.77,56.9,12.93,73.68,15.29,89.27,17.68,6.5,1.42,5.71,43.97,58.39,71.59,5.09,13.14,86.34
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.9,92.22,81.87,84.52,85.63,93.16,6.45,0.54,51.3,11.36,66.29,12.14,83.88,14.08,6.14,0.45,5.91,39.94,54.16,69.8,5.69,12.57,95.21
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,100,79.13,78.71,81.42,81.64,5.54,0,37.3,9.84,44.61,12.07,71.15,16.24,4.11,0.92,5.54,27.47,32.54,54.91,3.18,14.86,100
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,74.55,80.02,81.43,81.44,83.9,89.17,6.67,1.67,45.75,10.43,68.16,15.53,90.24,17.32,6.16,0.75,5.01,35.32,52.63,72.92,5.42,14.58,84.03
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,84.2,48.16,81.76,85.99,88.6,84.64,2.8,3.01,49.6,11.07,77.88,12.69,104.63,13.46,6.95,1.26,-0.21,38.53,65.19,91.17,5.69,5.65,72.76
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,106.32,83.45,81.1,83.82,83.79,86.19,5.32,1.06,42.67,9.94,59.72,11.53,73.32,14.18,5.25,0.84,4.27,32.73,48.19,59.14,4.41,12.47,89.39
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,87.02,88.2,81.06,84.35,86.69,90.73,5.1,0.68,48.05,11.23,64.19,11.91,85.81,13.18,6.14,0.63,4.42,36.83,52.28,72.63,5.52,10.62,93.92
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,69,136.88,94.33,79.02,83.17,83.7,89.39,6.78,0.41,49.62,13.18,71.51,14.47,95.42,18.58,6.57,0.78,6.37,36.45,57.04,76.84,5.79,13.66,96.91
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,54,76.63,86.88,81.24,82.37,86.15,79.52,5.6,0.85,39.88,9.21,58.03,12.42,76.83,12.36,4.38,1.13,4.75,30.67,45.62,64.48,3.25,14.04,90.82
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,58,89.62,100,82.96,84.56,85.08,92.09,11.3,0,50.68,10.41,70.28,12.83,95.6,16.76,6.01,0.52,11.3,40.27,57.44,78.84,5.49,22.3,100
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,73,119.5,82.03,80.76,85.1,85.43,83.2,4.74,1.04,36.97,8.81,56.65,9.92,73.66,12.56,4.67,0.94,3.71,28.16,46.72,61.1,3.73,12.83,88.2
