"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,55.08,0,12.13,15.75,16.35,11.58,0,6.86,6.38,46.21,10.63,56.88,13.77,70.47,0.66,5.04,-6.86,-39.83,-46.25,-56.7,-4.38,0,85.15
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.88,20.73,20.36,19.1,20.76,16.32,1.08,4.13,11.72,45.83,12.67,53.68,16.48,62.9,0.79,4.05,-3.05,-34.11,-41.01,-46.42,-3.26,9.22,90.99
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,181.25,25,15.53,16.74,14.6,12.57,6.19,18.57,39.71,216,55.69,277.04,58.94,344.84,3.88,26.98,-12.38,-176.29,-221.35,-285.9,-23.1,15.59,91.4
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,187.57,9.58,30.5,25.27,22.31,17.07,2.18,20.58,56.82,129.47,65.98,195.1,73.58,256.26,3.42,16.62,-18.4,-72.65,-129.12,-182.68,-13.2,3.84,84.1
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,134.87,7.45,22.51,21.41,19.08,16.75,2,24.86,40.19,138.32,48.47,177.94,53.7,227.77,3.86,19.19,-22.86,-98.13,-129.47,-174.07,-15.33,4.98,82.03
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,60.87,14.4,10,11.21,10.54,10.71,0.87,5.17,6.29,56.64,10.68,84.63,12.71,107.9,0.85,7.09,-4.3,-50.35,-73.95,-95.19,-6.24,13.83,90.87
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,74.8,0,8.07,6.89,9.04,4.1,0,8.4,5.64,64.23,6.59,89.03,11.38,114.46,0.29,6.79,-8.4,-58.59,-82.44,-103.08,-6.5,0,86.92
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,142.77,7.33,9.78,9.42,8.04,6.06,1.18,14.91,12.61,116.36,16.45,158.19,19.46,222.48,0.84,13.03,-13.73,-103.75,-141.74,-203.02,-12.19,9.36,87.19
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,99.35,0,13.58,14.2,14.25,11.6,0,9.53,13.31,84.7,19.3,116.61,23.52,141.55,1.34,10.21,-9.53,-71.39,-97.31,-118.03,-8.87,0,88.75
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,153.78,4.24,12.62,9.94,9.55,4.32,0.87,19.66,20.89,144.63,21.97,199.08,26.85,254.44,0.82,18.15,-18.79,-123.74,-177.11,-227.59,-17.33,4.16,86.41
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,142.9,12.73,10.92,11.45,10.13,7.36,2.12,14.53,16.4,133.78,23.89,184.69,27.24,241.66,1.33,16.75,-12.41,-117.38,-160.8,-214.42,-15.42,12.93,89.14
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,138.35,19.88,11.97,13.5,12.35,13.62,3.93,15.84,13.84,101.79,22.93,146.93,28.94,205.34,2.62,16.61,-11.91,-87.95,-124,-176.4,-13.99,28.4,84.44
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,223.73,11.61,11.06,10.79,9.81,6.77,3.02,23,23.94,192.59,29.93,247.58,37.82,347.7,1.69,23.29,-19.98,-168.65,-217.65,-309.88,-21.6,12.61,88.06
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,120.92,0,9.71,9.96,7.29,9.86,0,11.54,10.89,101.27,14.09,127.44,15.35,195.25,1.09,9.96,-11.54,-90.38,-113.35,-179.9,-8.87,0,88.6
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,122.9,7.6,11.6,9.35,7.6,5.93,1.08,13.13,15.51,118.2,16.43,159.24,19.2,233.57,0.88,13.97,-12.05,-102.69,-142.81,-214.37,-13.09,6.96,88.89
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,63,93.05,0,7.49,6.41,7.87,4.2,0,13.55,7.97,98.46,8.91,130.18,15.88,185.97,0.49,11.17,-13.55,-90.49,-121.27,-170.09,-10.68,0,86.24
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,43,58.72,12.85,7.33,6.18,5.25,9.77,1.18,8,3.23,40.85,4.27,64.87,5.24,94.62,0.55,5.08,-6.82,-37.62,-60.6,-89.38,-4.53,36.53,80.42
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,296.2,11.66,13.86,13.38,12.42,9.29,3.16,23.93,39,242.46,50.47,326.82,60.3,425.31,2.73,26.65,-20.77,-203.46,-276.35,-365.01,-23.92,8.1,90.13
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,41,150.93,0,7.9,6.88,5.57,4.68,0,14.98,12.61,146.93,14.82,200.63,17.07,289.44,0.9,18.32,-14.98,-134.32,-185.81,-272.37,-17.42,0,89.8
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,177.88,11.26,7.18,6.31,6.85,5.15,3.18,25.05,14.08,181.93,17.19,255.17,24.05,327.09,1.23,22.67,-21.87,-167.85,-237.98,-303.04,-21.44,22.59,86.23
