"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS%","NZS%","DZS%","OTF%","OZF%","NZF%","DZF%","Ice_F","Ice_A","Ice%"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,49,78.48,1.6,44.08,21.43,17.86,9.52,51.19,42.67,38.67,18.67,1,4,80
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,39,53.45,1.37,38.08,5.63,26.76,8.45,59.15,24.53,54.72,20.75,0,0,0
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,48,65.02,1.35,45.87,5.56,31.11,21.11,42.22,17.86,46.43,35.71,0,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,55,51.52,0.94,38.97,10.53,35.53,9.21,44.74,28.79,54.55,16.67,0,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,53,51.02,0.96,39.29,21.43,23.81,20.24,34.52,33.33,31.94,34.72,0,1,100
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,58,57.08,0.98,30.95,17.2,12.9,16.13,53.76,38.98,28.81,32.2,0,2,100
"Aleksander Barkov","ALEKSANDER.BARKOV","14-15","FLA","C","L",1995-09-02,19,44,57,1.3,34.12,14.46,19.28,7.23,59.04,32,40,28,4,1,20
"Ales Hemsky","ALES.HEMSKY","07-08","EDM","R","R",1983-08-13,24,52,56.65,1.09,33.93,6.1,39.02,13.41,41.46,18.75,60.94,20.31,2,0,0
"Alex Edler","ALEX.EDLER","07-08","VAN","D","L",1986-04-21,21,59,84.48,1.43,43.43,11.21,20.69,17.24,50.86,35.71,32.65,31.63,1,2,66.67
"Alex Edler","ALEX.EDLER","08-09","VAN","D","L",1986-04-21,22,54,70.93,1.31,44.76,12.24,18.37,21.43,47.96,31.87,25.27,42.86,0,1,100
"Alex Edler","ALEX.EDLER","09-10","VAN","D","L",1986-04-21,23,47,68.03,1.45,48.67,20.73,30.49,8.54,40.24,41.67,36.46,21.88,0,1,100
"Alex Edler","ALEX.EDLER","11-12","VAN","D","L",1986-04-21,25,59,87.17,1.48,45.28,24.8,22.4,6.4,46.4,45.95,35.14,18.92,1,3,75
"Alex Edler","ALEX.EDLER","13-14","VAN","D","L",1986-04-21,27,45,59.68,1.33,44.93,20.48,22.89,13.25,43.37,43.06,34.72,22.22,1,1,50
