"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,49,78.48,1.6,44.08,13.76,11.47,6.12,32.87,24.46,22.17,10.7,0.76,3.06
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,39,53.45,1.37,38.08,4.49,21.33,6.74,47.15,14.59,32.55,12.35,0,0
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,48,65.02,1.35,45.87,4.61,25.84,17.53,35.07,13.84,35.99,27.68,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,55,51.52,0.94,38.97,9.32,31.44,8.15,39.6,22.13,41.93,12.81,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,53,51.02,0.96,39.29,21.17,23.52,19.99,34.1,28.22,27.05,29.4,0,1.18
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,58,57.08,0.98,30.95,16.82,12.61,15.77,52.56,24.18,17.87,19.97,0,2.1
"Aleksander Barkov","ALEKSANDER.BARKOV","14-15","FLA","C","L",1995-09-02,19,44,57,1.3,34.12,12.63,16.84,6.32,51.58,16.84,21.05,14.74,4.21,1.05
"Ales Hemsky","ALES.HEMSKY","07-08","EDM","R","R",1983-08-13,24,52,56.65,1.09,33.93,5.3,33.89,11.65,36.01,12.71,41.31,13.77,2.12,0
"Alex Edler","ALEX.EDLER","07-08","VAN","D","L",1986-04-21,21,59,84.48,1.43,43.43,9.23,17.05,14.2,41.9,24.86,22.73,22.02,0.71,1.42
"Alex Edler","ALEX.EDLER","08-09","VAN","D","L",1986-04-21,22,54,70.93,1.31,44.76,10.15,15.23,17.76,39.76,24.53,19.46,32.99,0,0.85
"Alex Edler","ALEX.EDLER","09-10","VAN","D","L",1986-04-21,23,47,68.03,1.45,48.67,14.99,22.05,6.17,29.1,35.28,30.87,18.52,0,0.88
"Alex Edler","ALEX.EDLER","11-12","VAN","D","L",1986-04-21,25,59,87.17,1.48,45.28,21.34,19.27,5.51,39.92,35.1,26.84,14.45,0.69,2.06
"Alex Edler","ALEX.EDLER","13-14","VAN","D","L",1986-04-21,27,45,59.68,1.33,44.93,17.09,19.1,11.06,36.19,31.17,25.13,16.09,1.01,1.01
"Alex Goligoski","ALEX.GOLIGOSKI","09-10","PIT","D","L",1985-07-30,24,49,65.12,1.33,40.3,15.66,18.43,13.82,34.09,29.48,24.88,23.03,1.84,1.84
"Alex Goligoski","ALEX.GOLIGOSKI","10-11","PIT","D","L",1985-07-30,25,45,57.47,1.28,43.85,19.84,13.57,9.4,32.36,29.23,17.75,16.7,1.04,0
"Alex Goligoski","ALEX.GOLIGOSKI","11-12","DAL","D","L",1985-07-30,26,51,65.28,1.28,45.97,11.95,15.63,13.79,32.17,20.22,22.06,22.98,1.84,2.76
"Alex Goligoski","ALEX.GOLIGOSKI","13-14","DAL","D","L",1985-07-30,28,55,73.63,1.34,47.68,9.78,26.08,10.59,26.89,26.08,35.04,22.82,0,0.81
"Alex Goligoski","ALEX.GOLIGOSKI","14-15","DAL","D","L",1985-07-30,29,54,60.37,1.12,48.4,14.91,20.87,26.83,19.88,33.79,24.85,37.77,1.99,1.99
"Alex Kovalev","ALEX.KOVALEV","07-08","MTL","R","L",1973-02-24,34,57,62.45,1.1,35.47,14.41,21.14,14.41,21.14,18.25,28.82,21.14,1.92,0
"Alex Kovalev","ALEX.KOVALEV","08-09","MTL","R","L",1973-02-24,35,56,56.93,1.02,33.77,17.92,15.81,10.54,27.4,31.62,21.08,22.13,1.05,0
"Alex Ovechkin","ALEX.OVECHKIN","07-08","WSH","L","R",1985-09-17,21,55,54.63,0.99,42.11,10.98,26.36,8.79,27.46,17.57,35.15,12.08,0,1.1
"Alex Ovechkin","ALEX.OVECHKIN","08-09","WSH","L","R",1985-09-17,22,58,56.77,0.98,38.51,20.08,20.08,5.28,34.88,33.82,28.54,14.8,0,3.17
"Alex Ovechkin","ALEX.OVECHKIN","13-14","WSH","L","R",1985-09-17,27,58,51.98,0.9,30.43,17.31,13.85,10.39,48.48,25.39,16.16,12.7,1.15,2.31
"Alex Ovechkin","ALEX.OVECHKIN","14-15","WSH","L","R",1985-09-17,28,58,72.4,1.25,40.42,14.92,32.32,4.97,17.4,24.86,34.81,12.43,1.66,3.31
