"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,49,78.48,1.6,44.08,18,15,8,43,32,29,14,1,4
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,39,53.45,1.37,38.08,4,19,6,42,13,29,11,0,0
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,48,65.02,1.35,45.87,5,28,19,38,15,39,30,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,55,51.52,0.94,38.97,8,27,7,34,19,36,11,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,53,51.02,0.96,39.29,18,20,17,29,24,23,25,0,1
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,58,57.08,0.98,30.95,16,12,15,50,23,17,19,0,2
"Aleksander Barkov","ALEKSANDER.BARKOV","14-15","FLA","C","L",1995-09-02,19,44,57,1.3,34.12,12,16,6,49,16,20,14,4,1
"Ales Hemsky","ALES.HEMSKY","07-08","EDM","R","R",1983-08-13,24,52,56.65,1.09,33.93,5,32,11,34,12,39,13,2,0
"Alex Edler","ALEX.EDLER","07-08","VAN","D","L",1986-04-21,21,59,84.48,1.43,43.43,13,24,20,59,35,32,31,1,2
"Alex Edler","ALEX.EDLER","08-09","VAN","D","L",1986-04-21,22,54,70.93,1.31,44.76,12,18,21,47,29,23,39,0,1
"Alex Edler","ALEX.EDLER","09-10","VAN","D","L",1986-04-21,23,47,68.03,1.45,48.67,17,25,7,33,40,35,21,0,1
"Alex Edler","ALEX.EDLER","11-12","VAN","D","L",1986-04-21,25,59,87.17,1.48,45.28,31,28,8,58,51,39,21,1,3
"Alex Edler","ALEX.EDLER","13-14","VAN","D","L",1986-04-21,27,45,59.68,1.33,44.93,17,19,11,36,31,25,16,1,1
"Alex Goligoski","ALEX.GOLIGOSKI","09-10","PIT","D","L",1985-07-30,24,49,65.12,1.33,40.3,17,20,15,37,32,27,25,2,2
"Alex Goligoski","ALEX.GOLIGOSKI","10-11","PIT","D","L",1985-07-30,25,45,57.47,1.28,43.85,19,13,9,31,28,17,16,1,0
"Alex Goligoski","ALEX.GOLIGOSKI","11-12","DAL","D","L",1985-07-30,26,51,65.28,1.28,45.97,13,17,15,35,22,24,25,2,3
"Alex Goligoski","ALEX.GOLIGOSKI","13-14","DAL","D","L",1985-07-30,28,55,73.63,1.34,47.68,12,32,13,33,32,43,28,0,1
"Alex Goligoski","ALEX.GOLIGOSKI","14-15","DAL","D","L",1985-07-30,29,54,60.37,1.12,48.4,15,21,27,20,34,25,38,2,2
"Alex Kovalev","ALEX.KOVALEV","07-08","MTL","R","L",1973-02-24,34,57,62.45,1.1,35.47,15,22,15,22,19,30,22,2,0
"Alex Kovalev","ALEX.KOVALEV","08-09","MTL","R","L",1973-02-24,35,56,56.93,1.02,33.77,17,15,10,26,30,20,21,1,0
"Alex Ovechkin","ALEX.OVECHKIN","07-08","WSH","L","R",1985-09-17,21,55,54.63,0.99,42.11,10,24,8,25,16,32,11,0,1
"Alex Ovechkin","ALEX.OVECHKIN","08-09","WSH","L","R",1985-09-17,22,58,56.77,0.98,38.51,19,19,5,33,32,27,14,0,3
"Alex Ovechkin","ALEX.OVECHKIN","13-14","WSH","L","R",1985-09-17,27,58,51.98,0.9,30.43,15,12,9,42,22,14,11,1,2
"Alex Ovechkin","ALEX.OVECHKIN","14-15","WSH","L","R",1985-09-17,28,58,72.4,1.25,40.42,18,39,6,21,30,42,15,2,4
"Alex Pietrangelo","ALEX.PIETRANGELO","11-12","STL","D","R",1990-01-18,21,57,87.2,1.53,46.83,16,33,20,52,43,41,33,3,3
"Alex Pietrangelo","ALEX.PIETRANGELO","13-14","STL","D","R",1990-01-18,23,55,84.55,1.54,49.99,13,32,19,45,33,43,30,1,4
"Alex Pietrangelo","ALEX.PIETRANGELO","14-15","STL","D","R",1990-01-18,24,52,77.9,1.5,48.87,20,29,21,32,31,39,29,1,2
"Alex Steen","ALEX.STEEN","14-15","STL","L","L",1984-03-01,30,47,51.45,1.09,34.74,15,31,14,22,20,34,22,2,1
"Andrei Markov","ANDREI.MARKOV","07-08","MTL","D","L",1978-12-20,28,57,71.93,1.26,40.86,16,27,15,36,26,38,28,3,3
"Andrei Markov","ANDREI.MARKOV","08-09","MTL","D","L",1978-12-20,29,56,73.2,1.31,43.04,23,29,11,32,38,38,32,2,0
"Andrei Markov","ANDREI.MARKOV","13-14","MTL","D","L",1978-12-20,34,49,69.92,1.43,47.95,14,25,8,46,25,38,16,1,0
"Andrei Markov","ANDREI.MARKOV","14-15","MTL","D","L",1978-12-20,35,56,79.83,1.43,47.73,17,29,17,35,31,39,28,5,1
"Andrej Meszaros","ANDREJ.MESZAROS","07-08","OTT","D","L",1985-10-13,21,57,61.13,1.07,40.91,15,19,11,35,28,25,17,1,1
"Andrej Meszaros","ANDREJ.MESZAROS","09-10","T.B","D","L",1985-10-13,23,57,70.38,1.23,41.21,12,27,18,48,24,32,27,1,0
"Andrej Meszaros","ANDREJ.MESZAROS","10-11","PHI","D","L",1985-10-13,24,52,52.88,1.02,40.41,11,16,7,42,23,21,18,1,2
"Andrej Sekera","ANDREJ.SEKERA","08-09","BUF","D","L",1986-06-08,22,53,55.87,1.05,38.22,8,13,16,41,20,19,22,0,0
"Andrej Sekera","ANDREJ.SEKERA","10-11","BUF","D","L",1986-06-08,24,59,64.07,1.09,41.6,9,17,10,48,22,21,21,3,1
"Andrej Sekera","ANDREJ.SEKERA","11-12","BUF","D","L",1986-06-08,25,45,56.83,1.26,41.9,3,18,27,38,12,25,35,2,3
"Andrej Sekera","ANDREJ.SEKERA","13-14","CAR","D","L",1986-06-08,27,53,53.87,1.02,42.71,17,20,13,31,28,27,20,2,1
"Andrew Ference","ANDREW.FERENCE","07-08","BOS","D","L",1979-03-17,28,37,54.03,1.46,41.52,2,30,9,36,10,46,9,0,1
"Andrew Ladd","ANDREW.LADD","10-11","ATL","L","L",1985-12-12,24,60,56.7,0.94,36.3,18,27,18,33,24,32,20,2,0
"Andrew Ladd","ANDREW.LADD","13-14","WPG","L","L",1985-12-12,27,54,56.37,1.04,34.29,6,32,15,26,17,38,23,2,3
"Andrew Ladd","ANDREW.LADD","14-15","WPG","L","L",1985-12-12,28,54,57.02,1.06,36.4,11,32,10,27,17,42,17,1,2
"Andrew MacDonald","ANDREW.MACDONALD","10-11","NYI","D","L",1986-09-07,24,43,56.68,1.32,46.07,9,18,11,30,17,26,18,0,1
"Andrew MacDonald","ANDREW.MACDONALD","11-12","NYI","D","L",1986-09-07,25,50,62.97,1.26,49.74,8,27,20,23,20,29,34,8,0
"Andrew MacDonald","ANDREW.MACDONALD","13-14","NYI","D","L",1986-09-07,27,39,53.03,1.36,44.42,6,13,17,28,18,19,28,1,1
"Andy Greene","ANDY.GREENE","09-10","N.J","D","L",1982-10-30,26,45,53.95,1.2,42.34,20,13,9,46,29,15,15,1,1
"Andy Greene","ANDY.GREENE","13-14","N.J","D","L",1982-10-30,30,51,63.2,1.24,47.55,6,21,15,44,14,27,27,4,2
"Andy Greene","ANDY.GREENE","14-15","N.J","D","L",1982-10-30,31,46,61.85,1.34,45.5,7,23,18,26,16,27,21,0,1
"Andy McDonald","ANDY.MCDONALD","09-10","STL","C","L",1977-08-25,32,57,52.77,0.93,33.36,20,13,11,34,27,16,19,1,2
"Andy Sutton","ANDY.SUTTON","09-10","NYI","D","L",1975-03-10,34,38,52.73,1.39,39.29,13,17,15,24,18,20,26,2,1
"Antoine Vermette","ANTOINE.VERMETTE","09-10","CBJ","C","L",1982-07-20,27,54,55.6,1.03,37.55,19,25,17,25,25,30,24,0,1
"Antoine Vermette","ANTOINE.VERMETTE","10-11","CBJ","C","L",1982-07-20,28,61,69.28,1.14,36.28,16,29,16,41,24,35,20,1,1
"Anton Stralman","ANTON.STRALMAN","09-10","CBJ","D","R",1986-08-01,23,51,50.48,0.99,35.15,16,9,16,41,27,13,24,2,1
"Anton Stralman","ANTON.STRALMAN","14-15","T.B","D","R",1986-08-01,28,50,56.7,1.13,42.35,9,20,13,30,23,25,26,0,1
"Anton Volchenkov","ANTON.VOLCHENKOV","07-08","OTT","D","L",1982-02-25,25,47,50.73,1.08,38.91,9,19,6,31,20,28,12,0,0
"Anze Kopitar","ANZE.KOPITAR","08-09","L.A","C","L",1987-08-24,21,58,64.42,1.11,38.12,24,20,21,36,34,24,29,0,2
"Anze Kopitar","ANZE.KOPITAR","09-10","L.A","C","L",1987-08-24,22,53,65.78,1.24,36.75,18,24,13,38,30,32,24,1,2
"Anze Kopitar","ANZE.KOPITAR","11-12","L.A","C","L",1987-08-24,24,54,61.48,1.14,35.92,8,20,19,37,14,24,23,0,2
"Anze Kopitar","ANZE.KOPITAR","13-14","L.A","C","L",1987-08-24,26,55,61.32,1.11,41.81,13,28,12,33,23,33,24,2,0
"Barret Jackman","BARRET.JACKMAN","07-08","STL","D","L",1981-03-05,26,56,66.55,1.19,44.36,8,27,13,38,19,33,21,0,2
"Barret Jackman","BARRET.JACKMAN","08-09","STL","D","L",1981-03-05,27,62,84.32,1.36,49.61,13,26,37,45,30,33,49,2,1
"Barret Jackman","BARRET.JACKMAN","09-10","STL","D","L",1981-03-05,28,48,60.13,1.25,45.45,8,20,16,42,17,28,31,2,2
"Barret Jackman","BARRET.JACKMAN","11-12","STL","D","L",1981-03-05,30,57,58.92,1.03,31.71,8,21,27,40,14,29,27,0,1
"Ben Lovejoy","BEN.LOVEJOY","13-14","ANA","D","R",1984-02-20,29,54,59.48,1.1,41.99,15,19,14,32,26,26,26,2,2
"Blake Wheeler","BLAKE.WHEELER","13-14","WPG","R","R",1986-08-31,27,57,58.57,1.03,33.61,28,12,6,40,37,18,11,0,0
"Blake Wheeler","BLAKE.WHEELER","14-15","WPG","R","R",1986-08-31,28,52,51.35,0.99,33.58,12,10,15,42,19,18,26,4,1
"Bobby Ryan","BOBBY.RYAN","14-15","OTT","R","R",1987-03-17,27,51,51.42,1.01,28.94,20,10,11,31,26,13,17,0,1
"Brad Boyes","BRAD.BOYES","08-09","STL","R","R",1982-04-17,26,62,51.98,0.84,30.59,27,12,10,45,32,19,12,1,2
"Brad Richards","BRAD.RICHARDS","09-10","DAL","C","L",1980-05-02,29,51,58.13,1.14,36.88,13,19,8,35,20,25,17,0,1
"Brad Richards","BRAD.RICHARDS","10-11","DAL","C","L",1980-05-02,30,42,51.18,1.22,37.95,11,18,8,25,14,20,10,0,1
"Brad Richards","BRAD.RICHARDS","11-12","NYR","C","L",1980-05-02,31,53,57.6,1.09,37.26,13,17,10,32,19,20,11,0,2
"Brad Stuart","BRAD.STUART","08-09","DET","D","L",1979-11-06,28,42,53.87,1.28,43.68,15,16,9,37,30,22,13,0,1
"Brad Stuart","BRAD.STUART","09-10","DET","D","L",1979-11-06,29,55,69.43,1.26,41.77,16,10,14,66,27,16,21,1,2
"Brad Stuart","BRAD.STUART","11-12","DET","D","L",1979-11-06,31,48,55.12,1.15,39.29,8,19,14,41,16,22,22,2,0
"Braydon Coburn","BRAYDON.COBURN","07-08","PHI","D","L",1985-02-27,22,63,75.27,1.19,38.36,13,38,17,56,23,53,23,1,3
"Braydon Coburn","BRAYDON.COBURN","08-09","PHI","D","L",1985-02-27,23,64,90.35,1.41,47.03,17,23,26,58,34,45,40,2,3
"Braydon Coburn","BRAYDON.COBURN","09-10","PHI","D","L",1985-02-27,24,58,70.43,1.21,41.81,21,10,22,42,35,21,37,2,2
"Braydon Coburn","BRAYDON.COBURN","10-11","PHI","D","L",1985-02-27,25,53,58.3,1.1,43.91,11,16,21,38,22,23,33,1,0
"Braydon Coburn","BRAYDON.COBURN","11-12","PHI","D","L",1985-02-27,26,58,69.1,1.19,39.93,16,19,13,49,26,28,25,2,3
"Braydon Coburn","BRAYDON.COBURN","13-14","PHI","D","L",1985-02-27,28,52,63.6,1.22,43.62,12,31,28,35,22,38,36,0,3
"Brenden Dillon","BRENDEN.DILLON","13-14","DAL","D","L",1990-11-13,22,54,59.47,1.1,38.94,4,15,22,35,14,22,24,0,0
"Brent Burns","BRENT.BURNS","07-08","MIN","D","R",1985-03-09,22,63,74.27,1.18,45.02,15,19,15,59,21,30,19,1,2
"Brent Burns","BRENT.BURNS","10-11","MIN","D","R",1985-03-09,25,47,65.95,1.4,48.19,16,20,16,46,31,30,22,1,0
"Brent Burns","BRENT.BURNS","11-12","S.J","D","R",1985-03-09,26,49,57.92,1.18,37.71,7,10,13,55,18,17,18,1,1
"Brent Burns","BRENT.BURNS","14-15","S.J","D","R",1985-03-09,29,46,51.25,1.11,41.56,11,14,15,34,27,18,25,2,2
"Brent Seabrook","BRENT.SEABROOK","07-08","CHI","D","R",1985-04-20,22,68,64.7,0.95,40.26,9,29,18,22,23,45,25,0,0
"Brent Seabrook","BRENT.SEABROOK","08-09","CHI","D","R",1985-04-20,23,52,64.82,1.25,46.52,13,18,20,34,22,28,31,2,1
