"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS%","NZS%","DZS%","OTF%","OZF%","NZF%","DZF%","Ice_F","Ice_A","Ice%"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,68.28,13.66,22.62,12.87,22.77,13.86,50.5,34.78,33.7,31.52,9,6,40
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,125.68,7.39,12.2,12.77,11.17,11.17,64.89,34.95,33.01,32.04,7,8,53.33
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,94.02,6.27,10.25,9.15,22.54,4.93,63.38,25.33,52,22.67,8,10,55.56
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,256.93,4.59,7.57,18.72,12.32,2.37,66.59,53.93,34.55,11.52,12,17,58.62
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1766.62,21.81,35.63,17.74,15.85,8,58.41,46.47,29.8,23.73,127,148,53.82
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1690.82,21.68,35.64,17.66,20.1,11.86,50.38,39.77,34.15,26.08,135,121,47.27
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1459.28,21.46,35.06,15.89,13.64,7.6,62.87,45.92,28.81,25.27,105,93,46.97
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1917.9,23.39,38.57,12.94,18.33,17.34,51.39,28.61,30.4,40.98,157,121,43.53
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1938.82,23.64,38.78,11.01,18.67,16.5,53.83,29.7,32.31,38,164,145,46.93
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1537.92,22.95,37.83,10.96,18.49,15.17,55.37,31.2,33.13,35.67,108,92,46
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,153.2,8.06,13.19,11.93,18.52,12.35,57.2,27.4,42.47,30.14,8,8,50
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,66.13,9.45,15.26,10.75,12.9,8.6,67.74,35.29,37.25,27.45,6,4,40
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,81.53,8.15,13.34,7.76,15.52,11.21,65.52,22.37,34.21,43.42,17,4,19.05
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,415.85,13.86,22.84,10.76,15.66,5.87,67.71,32.95,40.97,26.07,26,8,23.53
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,537.38,14.14,23.07,9.45,16.85,8.77,64.93,28.45,40.92,30.63,37,15,28.85
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,267.93,12.18,20.02,10.22,14.52,7.26,68.01,33.93,38.84,27.23,20,12,37.5
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,373.7,19.67,31.97,5.66,12.58,12.16,69.6,24.36,35.9,39.74,26,22,45.83
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,924.4,16.51,27.26,8.97,16.35,12.32,62.36,26.76,36.18,37.06,76,33,30.28
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,148.7,14.87,23.97,8.37,14.78,5.91,70.94,38.66,33.61,27.73,9,8,47.06
"Aaron MacKenzie","AARON.MACKENZIE","08-09","COL","D","L",1981-03-07,27,5,73.17,14.63,23.55,9.57,7.83,8.7,73.91,32.56,27.91,39.53,5,2,28.57
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,988.18,17.34,28.42,5.85,14.84,12.67,66.64,21.05,39.74,39.21,44,48,52.17
"Aaron Ness","AARON.NESS","11-12","NYI","D","L",1990-05-18,21,9,152.43,16.94,27.89,14.43,16.49,8.76,60.31,31.71,39.02,29.27,5,9,64.29
"Aaron Ness","AARON.NESS","13-14","NYI","D","L",1990-05-18,23,20,295.88,14.79,24.2,10.39,10.14,8.21,71.26,35.6,30,34.4,34,24,41.38
"Aaron Ness","AARON.NESS","15-16","WSH","D","L",1990-05-18,25,8,99.1,12.39,20.37,9.29,11.43,2.14,77.14,41.54,40,18.46,6,3,33.33
"Aaron Ness","AARON.NESS","17-18","WSH","D","L",1990-05-18,27,8,101.82,12.73,20.86,7.74,12.9,7.74,71.61,22.47,41.57,35.96,11,5,31.25
"Aaron Ness","AARON.NESS","19-20","ARI","D","L",1990-05-18,29,24,300.83,12.53,20.66,15.03,12.07,7.06,65.83,39.93,32.46,27.61,26,23,46.94
"Aaron Palushaj","AARON.PALUSHAJ","11-12","MTL","R","R",1989-09-07,22,38,287.52,7.57,12.28,6.46,14.21,8.27,71.06,27.88,42.48,29.65,20,20,50
"Aaron Palushaj","AARON.PALUSHAJ","12-13","COL","R","R",1989-09-07,23,25,282.88,11.32,18.45,12.5,14.66,10.34,62.5,34.8,32.23,32.97,17,21,55.26
"Aaron Rome","AARON.ROME","07-08","CBJ","D","L",1983-09-27,23,17,309.03,18.18,29.92,7.09,15.16,10.76,66.99,24.58,40.68,34.75,22,13,37.14
"Aaron Rome","AARON.ROME","08-09","CBJ","D","L",1983-09-27,24,8,123.73,15.47,25.51,15.17,14.04,3.93,66.85,50,31.73,18.27,7,9,56.25
"Aaron Rome","AARON.ROME","09-10","VAN","D","L",1983-09-27,25,49,743.77,15.18,24.98,9.18,16.63,12.55,61.63,26.76,38.03,35.21,31,29,48.33
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,975.03,17.41,28.7,8.61,16.16,14.65,60.57,24.13,37.88,37.99,48,46,48.94
"Aaron Rome","AARON.ROME","11-12","VAN","D","L",1983-09-27,27,43,654.73,15.23,24.73,9.17,12.39,10.09,68.35,29.18,34.82,35.99,46,39,45.88
"Aaron Rome","AARON.ROME","12-13","DAL","D","L",1983-09-27,28,27,414.02,15.33,25.39,10.13,17.28,16.78,55.81,24.47,35.29,40.24,35,32,47.76
"Aaron Rome","AARON.ROME","13-14","DAL","D","L",1983-09-27,29,25,327.2,13.09,21.7,13.85,14.95,10.99,60.22,35.22,31.34,33.43,27,20,42.55
"Aaron Volpatti","AARON.VOLPATTI","10-11","VAN","L","L",1985-05-30,25,15,102.47,6.83,11.29,6.45,16.13,3.87,73.55,23.19,50.72,26.09,9,5,35.71
"Aaron Volpatti","AARON.VOLPATTI","11-12","VAN","L","L",1985-05-30,26,23,206.28,8.97,14.82,5.11,15.34,9.58,69.97,14.57,43.71,41.72,24,12,33.33
"Aaron Volpatti","AARON.VOLPATTI","12-13","VAN","L","L",1985-05-30,27,16,117,7.31,11.82,6.52,16.3,15.76,61.41,22.64,38.68,38.68,7,9,56.25
"Aaron Volpatti","AARON.VOLPATTI","12-13","WSH","L","L",1985-05-30,27,17,158.13,9.3,15.36,14.36,23.27,8.42,53.96,28.99,42.03,28.99,14,9,39.13
"Aaron Volpatti","AARON.VOLPATTI","13-14","WSH","L","L",1985-05-30,28,41,301.87,7.36,11.9,14.22,23.04,8.33,54.41,31.02,42.7,26.28,27,23,46
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,504.6,9.17,15.08,14.16,18.52,8.6,58.72,31.09,40.4,28.51,36,11,23.4
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,603.58,11.18,18.24,12.48,13.58,6.3,67.64,39.43,40.04,20.53,20,37,64.91
"Aaron Voros","AARON.VOROS","09-10","NYR","L","L",1981-07-02,28,41,251.83,6.14,10.14,8.72,19.23,5.9,66.15,25.98,49.02,25,14,22,61.11
"Aaron Voros","AARON.VOROS","10-11","ANA","L","L",1981-07-02,29,12,66.55,5.55,9.12,18.26,15.65,6.96,59.13,38.24,39.71,22.06,5,5,50
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,1325.75,20.71,33.87,9.13,18.26,13.57,59.04,25.9,39.06,35.04,74,56,43.08
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,1214.9,18.98,31.16,9.62,16.48,17.54,56.36,25.74,33.45,40.81,50,55,52.38
"Aaron Ward","AARON.WARD","09-10","ANA","D","R",1973-01-17,36,17,245.47,14.44,23.6,6.85,16.51,12.15,64.49,25.41,43.24,31.35,9,14,60.87
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,1062.55,18.01,29.69,8.49,15.7,13.79,62.02,26.94,36.21,36.86,51,60,54.05
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,665.12,16.22,26.73,13.93,13.8,6.4,65.87,47.26,29.35,23.38,33,42,56
"Adam Brooks","ADAM.BROOKS","19-20","TOR","C","L",1996-05-06,23,7,54.97,7.85,12.91,11.25,15,10,63.75,34.09,29.55,36.36,6,6,50
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,938.38,11.73,19.3,9.04,19.48,14.37,57.11,22.88,41.16,35.97,40,47,54.02
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,606.65,9.19,15.06,10.89,12.04,18.95,58.12,26.3,29.15,44.56,32,28,46.67
"Adam Burish","ADAM.BURISH","09-10","CHI","R","R",1983-01-06,26,13,114.07,8.77,14.43,12.12,13.33,10.3,64.24,34.95,32.04,33.01,9,6,40
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,904.03,14.35,23.52,9.61,16.44,27.4,46.55,18.8,27.82,53.38,54,38,41.3
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,65,831.22,12.79,20.98,11.34,14.81,19.31,54.55,26.99,29.28,43.73,52,39,42.86
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,46,486.2,10.57,17.19,8.3,12.39,17.72,61.59,22.98,31.06,45.96,29,38,56.72
"Adam Burish","ADAM.BURISH","13-14","S.J","R","R",1983-01-06,30,15,144.3,9.62,15.74,10.64,14.47,12.34,62.55,27.21,33.33,39.46,20,4,16.67
"Adam Burish","ADAM.BURISH","14-15","S.J","R","R",1983-01-06,31,20,222.9,11.14,18.27,6.67,12.53,22.13,58.67,16.89,28.44,54.67,18,15,45.45
"Adam Clendening","ADAM.CLENDENING","14-15","CHI","D","R",1992-10-26,21,4,52.68,13.17,21.95,17.81,9.59,5.48,67.12,48.21,25,26.79,8,4,33.33
"Adam Clendening","ADAM.CLENDENING","14-15","VAN","D","R",1992-10-26,21,17,296.7,17.45,28.61,13.64,13.64,8.59,64.14,39.11,31.85,29.03,24,13,35.14
"Adam Clendening","ADAM.CLENDENING","15-16","EDM","D","R",1992-10-26,22,20,310.9,15.54,25.8,9.83,10.07,7.86,72.24,38.24,28.57,33.19,26,21,44.68
"Adam Clendening","ADAM.CLENDENING","15-16","PIT","D","R",1992-10-26,22,9,118.18,13.13,21.54,13.58,19.14,6.79,60.49,37.61,40.17,22.22,6,14,70
"Adam Clendening","ADAM.CLENDENING","16-17","NYR","D","R",1992-10-26,23,31,490.1,15.81,26.18,20.55,14.11,5.37,59.97,48.6,30.97,20.43,42,40,48.78
"Adam Clendening","ADAM.CLENDENING","17-18","ARI","D","R",1992-10-26,24,5,79.67,15.93,26.56,7.48,14.95,7.48,70.09,28.38,37.84,33.78,10,7,41.18
"Adam Cracknell","ADAM.CRACKNELL","10-11","STL","R","R",1985-07-15,25,24,214.17,8.92,14.71,11.83,14.5,5.92,67.75,37.57,37.57,24.86,11,14,56
"Adam Cracknell","ADAM.CRACKNELL","12-13","STL","R","R",1985-07-15,27,20,172.28,8.61,14.22,10.04,13.01,7.06,69.89,30.4,36.8,32.8,15,7,31.82
"Adam Cracknell","ADAM.CRACKNELL","13-14","STL","R","R",1985-07-15,28,19,155.45,8.18,13.35,10.27,15.62,4.46,69.64,29.82,45.61,24.56,11,10,47.62
"Adam Cracknell","ADAM.CRACKNELL","14-15","CBJ","R","R",1985-07-15,29,17,169.1,9.95,16.34,10.74,18.18,11.57,59.5,27.67,38.99,33.33,12,10,45.45
"Adam Cracknell","ADAM.CRACKNELL","15-16","EDM","R","R",1985-07-15,30,8,90.42,11.3,18.69,7.76,10.34,18.1,63.79,29.49,20.51,50,12,7,36.84
"Adam Cracknell","ADAM.CRACKNELL","15-16","VAN","R","R",1985-07-15,30,44,545.6,12.4,20.28,9.87,13.77,11.95,64.42,27.89,35.73,36.38,31,47,60.26
"Adam Cracknell","ADAM.CRACKNELL","16-17","DAL","R","R",1985-07-15,31,69,721.75,10.46,17.27,10.74,15.7,7.9,65.66,30.08,38.05,31.87,75,61,44.85
"Adam Erne","ADAM.ERNE","16-17","T.B","L","L",1995-04-20,21,26,306.98,11.81,19.4,16.4,20.05,9.57,53.99,33.55,39.87,26.58,25,23,47.92
"Adam Erne","ADAM.ERNE","17-18","T.B","L","L",1995-04-20,22,23,232.73,10.12,16.52,16.17,20.66,7.19,55.99,33.48,39.21,27.31,23,12,34.29
"Adam Erne","ADAM.ERNE","18-19","T.B","L","L",1995-04-20,23,65,685.63,10.55,17.37,10.17,19.73,10.79,59.3,26.02,41.73,32.24,59,55,48.25
"Adam Erne","ADAM.ERNE","19-20","DET","L","L",1995-04-20,24,56,661.68,11.82,19.55,11,21.44,11.11,56.45,27.54,40.1,32.36,58,54,48.21
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,1514.07,24.03,39.48,6.97,20.64,16.15,56.24,19.27,39.56,41.17,60,82,57.75
"Adam Foote","ADAM.FOOTE","07-08","COL","D","R",1971-07-10,36,12,240.18,20.02,32.4,8.11,18.92,13.21,59.76,22.37,37.28,40.35,15,8,34.78
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,42,825.65,19.66,32.21,7.04,19.58,17.57,55.81,18.34,37.06,44.6,59,39,39.8
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,1297.13,19.36,31.81,9.08,16.77,15.97,58.18,24.69,36.96,38.35,54,70,56.45
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,842.48,17.93,29.42,7.22,17.22,19.39,56.17,20.33,34.02,45.65,38,52,57.78
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,70,1323.3,18.9,31.32,12.17,18.1,10.19,59.54,38.01,36.19,25.8,72,101,58.38
"Adam Gaudette","ADAM.GAUDETTE","17-18","VAN","C","R",1996-10-03,20,5,63.93,12.79,20.37,10,12.22,13.33,64.44,29.31,25.86,44.83,8,2,20
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,56,613.15,10.95,17.91,16.61,14.48,4.83,64.09,41.58,36.38,22.04,51,40,43.96
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,59,730.63,12.38,20.41,17.74,15.01,6.46,60.78,41.18,34.8,24.02,59,42,41.58
"Adam Hall","ADAM.HALL","07-08","PIT","R","R",1980-08-14,27,46,546.15,11.87,19.52,8.58,20.77,22.26,48.38,17.33,36.22,46.45,22,22,50
"Adam Hall","ADAM.HALL","08-09","T.B","R","R",1980-08-14,28,74,828.65,11.2,18.32,6.51,13.46,26.1,53.93,16.1,28.91,54.99,43,37,46.25
"Adam Hall","ADAM.HALL","10-11","T.B","R","R",1980-08-14,30,82,1217.65,14.85,24.29,7.25,21.71,20.58,50.46,17.99,38.36,43.66,64,42,39.62
"Adam Hall","ADAM.HALL","11-12","T.B","R","R",1980-08-14,31,57,676.35,11.87,19.48,5.62,18.24,26.73,49.41,14.4,32.52,53.08,43,40,48.19
"Adam Hall","ADAM.HALL","12-13","CAR","R","R",1980-08-14,32,6,63.08,10.51,17.28,4.17,14.58,12.5,68.75,17.02,34.04,48.94,6,5,45.45
"Adam Hall","ADAM.HALL","12-13","PHI","R","R",1980-08-14,32,11,120.77,10.98,18.3,5.98,17.93,30.43,45.65,10.49,30.07,59.44,16,4,20
