"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,68.28,13.66,22.62,11.42,20.21,12.3,44.82,28.12,27.24,25.48,7.91,5.27
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,125.68,7.39,12.2,11.46,10.03,10.03,58.24,17.19,16.23,15.75,3.34,3.82
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,94.02,6.27,10.25,8.3,20.42,4.47,57.43,12.13,24.89,10.85,5.11,6.38
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,256.93,4.59,7.57,18.45,12.14,2.34,65.62,24.05,15.41,5.14,2.8,3.97
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1766.62,21.81,35.63,11.75,10.49,5.3,38.68,26.8,17.19,13.69,4.31,5.03
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1690.82,21.68,35.64,11.57,13.17,7.77,33,24.13,20.72,15.83,4.79,4.29
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1459.28,21.46,35.06,10.48,9,5.02,41.49,26.6,16.69,14.64,4.32,3.82
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1917.9,23.39,38.57,9.48,13.42,12.7,37.63,19.46,20.68,27.87,4.91,3.79
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1938.82,23.64,38.78,8.32,14.11,12.47,40.69,19.37,21.07,24.79,5.08,4.49
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1537.92,22.95,37.83,7.72,13.03,10.69,39.01,18.22,19.35,20.83,4.21,3.59
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,153.2,8.06,13.19,11.36,17.62,11.75,54.44,15.67,24.28,17.23,3.13,3.13
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,66.13,9.45,15.26,9.07,10.89,7.26,57.16,16.33,17.24,12.7,5.44,3.63
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,81.53,8.15,13.34,6.62,13.25,9.57,55.93,12.51,19.13,24.29,12.51,2.94
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,415.85,13.86,22.84,7.94,11.54,4.33,49.92,16.59,20.63,13.13,3.75,1.15
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,537.38,14.14,23.07,7.7,13.73,7.15,52.92,14.51,20.88,15.63,4.13,1.67
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,267.93,12.18,20.02,8.51,12.09,6.05,56.66,17.02,19.48,13.66,4.48,2.69
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,373.7,19.67,31.97,4.34,9.63,9.31,53.3,12.2,17.98,19.91,4.17,3.53
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,924.4,16.51,27.26,6.95,12.66,9.54,48.29,13.83,18.69,19.15,4.93,2.14
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,148.7,14.87,23.97,6.86,12.1,4.84,58.1,18.56,16.14,13.32,3.63,3.23
