"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,68.28,13.66,22.62,13,23,14,51,32,31,29,9,6
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,125.68,7.39,12.2,24,21,21,122,36,34,33,7,8
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,94.02,6.27,10.25,13,32,7,90,19,39,17,8,10
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,256.93,4.59,7.57,79,52,10,281,103,66,22,12,17
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1766.62,21.81,35.63,346,309,156,1139,789,506,403,127,148
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1690.82,21.68,35.64,326,371,219,930,680,584,446,135,121
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1459.28,21.46,35.06,255,219,122,1009,647,406,356,105,93
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1917.9,23.39,38.57,303,429,406,1203,622,661,891,157,121
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1938.82,23.64,38.78,269,456,403,1315,626,681,801,164,145
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1537.92,22.95,37.83,198,334,274,1000,467,496,534,108,92
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,153.2,8.06,13.19,29,45,30,139,40,62,44,8,8
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,66.13,9.45,15.26,10,12,8,63,18,19,14,6,4
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,81.53,8.15,13.34,9,18,13,76,17,26,33,17,4
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,415.85,13.86,22.84,55,80,30,346,115,143,91,26,8
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,537.38,14.14,23.07,69,123,64,474,130,187,140,37,15
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,267.93,12.18,20.02,38,54,27,253,76,87,61,20,12
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,373.7,19.67,31.97,27,60,58,332,76,112,124,26,22
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,924.4,16.51,27.26,107,195,147,744,213,288,295,76,33
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,148.7,14.87,23.97,17,30,12,144,46,40,33,9,8
"Aaron MacKenzie","AARON.MACKENZIE","08-09","COL","D","L",1981-03-07,27,5,73.17,14.63,23.55,11,9,10,85,14,12,17,5,2
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,988.18,17.34,28.42,78,198,169,889,160,302,298,44,48
"Aaron Ness","AARON.NESS","11-12","NYI","D","L",1990-05-18,21,9,152.43,16.94,27.89,28,32,17,117,39,48,36,5,9
"Aaron Ness","AARON.NESS","13-14","NYI","D","L",1990-05-18,23,20,295.88,14.79,24.2,43,42,34,295,89,75,86,34,24
"Aaron Ness","AARON.NESS","15-16","WSH","D","L",1990-05-18,25,8,99.1,12.39,20.37,13,16,3,108,27,26,12,6,3
"Aaron Ness","AARON.NESS","17-18","WSH","D","L",1990-05-18,27,8,101.82,12.73,20.86,12,20,12,111,20,37,32,11,5
"Aaron Ness","AARON.NESS","19-20","ARI","D","L",1990-05-18,29,24,300.83,12.53,20.66,66,53,31,289,107,87,74,26,23
"Aaron Palushaj","AARON.PALUSHAJ","11-12","MTL","R","R",1989-09-07,22,38,287.52,7.57,12.28,25,55,32,275,63,96,67,20,20
