"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS%","NZS%","DZS%","OTF%","OZF%","NZF%","DZF%","Ice_F","Ice_A","Ice%"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,63.8,12.76,25.56,11.46,23.96,12.5,52.08,32.94,35.29,31.76,9,6,40
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,122.27,7.19,15.09,11.96,11.41,11.41,65.22,33.66,33.66,32.67,7,8,53.33
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,93.8,6.25,13.14,9.15,22.54,4.93,63.38,25.33,52,22.67,8,10,55.56
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,254.55,4.55,9.9,18.45,12.62,2.43,66.5,53.19,35.11,11.7,12,17,58.62
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1485.73,18.34,36.43,13.48,16.73,7.68,62.12,40.36,33.94,25.69,117,143,55
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1378.1,17.67,36.23,14.82,22.04,11.73,51.42,34.71,37.96,27.33,128,116,47.54
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1194.68,17.57,35.47,12.44,14.54,7.35,65.67,40.32,31.4,28.28,104,89,46.11
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1500,18.29,36.78,11.94,19.99,13.27,54.8,26.92,34.92,38.16,146,107,42.29
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1562.65,19.06,38.04,11.04,19.92,13.1,55.95,29.94,35.21,34.85,153,127,45.36
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1268.28,18.93,37.86,10.82,20.89,12.85,55.44,31.12,37.27,31.61,99,83,45.6
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,143.03,7.53,15.68,12.44,18.89,11.98,56.68,27.82,42.11,30.08,8,8,50
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,65.65,9.38,18.01,11.11,13.33,7.78,67.78,36,38,26,6,4,40
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,73.27,7.33,14.41,8.57,15.24,9.52,66.67,23.19,34.78,42.03,17,4,19.05
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,342.2,11.41,24.94,9.25,14.36,5.84,70.56,30.36,41.07,28.57,25,8,24.24
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,460.53,12.12,26.2,10.21,18.18,7.18,64.43,30.02,41.44,28.54,37,15,28.85
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,253.17,11.51,24.29,9.71,15.14,7.14,68,32.39,39.91,27.7,20,11,35.48
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,301.17,15.85,32.86,5.05,13.3,10.37,71.28,22.18,38.31,39.52,25,20,44.44
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,793.07,14.16,29.24,8.91,17.54,10.17,63.37,26.75,38.74,34.5,75,32,29.91
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,138.4,13.84,27.26,9.09,16.04,5.88,68.98,38.98,33.9,27.12,9,8,47.06
"Aaron MacKenzie","AARON.MACKENZIE","08-09","COL","D","L",1981-03-07,27,5,66.07,13.21,26.08,10.58,8.65,7.69,73.08,35,30,35,5,2,28.57
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,828.23,14.53,31.67,6.56,15.85,10.66,66.94,23.17,41.27,35.56,43,45,51.14
"Aaron Ness","AARON.NESS","11-12","NYI","D","L",1990-05-18,21,9,149.23,16.58,31.78,14.21,16.39,9.29,60.11,31.62,39.32,29.06,5,9,64.29
"Aaron Ness","AARON.NESS","13-14","NYI","D","L",1990-05-18,23,20,273.02,13.65,26.72,11.08,10.55,7.39,70.98,36.6,30.64,32.77,33,23,41.07
"Aaron Ness","AARON.NESS","15-16","WSH","D","L",1990-05-18,25,8,97.35,12.17,25.11,8.15,11.11,2.22,78.52,40.32,40.32,19.35,6,3,33.33
"Aaron Ness","AARON.NESS","17-18","WSH","D","L",1990-05-18,27,8,94.7,11.84,24.39,8.33,13.19,6.94,71.53,23.26,41.86,34.88,11,5,31.25
