"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS%","NZS%","DZS%","OTF%","OZF%","NZF%","DZF%","Ice_F","Ice_A","Ice%"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,221.43,2.73,54.79,60,10.77,3.08,26.15,81.06,12.88,6.06,5,0,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,218.35,2.87,50.92,48.42,10,4.21,37.37,75.55,18.34,6.11,2,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,187.3,2.8,49.25,46.45,9.84,2.73,40.98,78.3,17.45,4.25,1,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,173.42,2.17,41.28,37.13,15.84,3.47,43.56,70.62,24.74,4.64,2,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,138,1.68,32.01,24.21,13.68,3.68,58.42,63.04,30.43,6.52,1,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.9,1.43,28.12,26.09,7.25,3.62,63.04,65.62,20.83,13.54,5,1,16.67
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,1.84,25.28,24.29,30,2.86,42.86,45.45,47.27,7.27,1,0,0
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,74.55,1.36,21.76,40.18,15.18,3.57,41.07,66.29,29.21,4.49,0,0,0
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,84.2,1.56,22.99,33.93,8.04,5.36,52.68,70.51,17.95,11.54,0,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,106.32,1.69,25.93,21.83,11.97,5.63,60.56,59.22,30.1,10.68,1,1,50
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,87.02,2.12,39.06,40.23,9.2,1.15,49.43,79.12,16.48,4.4,0,0,0
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,69,136.88,1.98,37.78,33.33,6.17,1.85,58.64,80.99,14.05,4.96,2,0,0
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,54,76.63,1.42,27.64,36.27,7.84,0.98,54.9,76.19,20.63,3.17,1,0,0
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,58,89.62,1.55,28.42,35.97,7.19,2.88,53.96,72.34,17.02,10.64,5,0,0
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,73,119.5,1.64,31.21,19.38,7.5,2.5,70.62,55,33.75,11.25,1,0,0
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,110.3,2.63,45.46,44.93,10.87,0.72,43.48,72.65,20.51,6.84,3,0,0
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,162.45,2.11,41.26,32.51,8.37,4.93,54.19,70.25,19.62,10.13,1,0,0
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,73,128.9,1.77,40.91,40.88,11.95,5.03,42.14,71.01,19.57,9.42,2,0,0
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,79,206.1,2.61,51.22,43.13,13.27,1.42,42.18,75.46,20.37,4.17,0,0,0
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,81,198.93,2.46,47.2,37.2,9.66,1.93,51.21,77.3,17.84,4.86,1,0,0
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,56,138.33,2.47,60.15,71.05,7.89,0.88,20.18,88.32,10.22,1.46,0,0,0
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,23,62.73,2.73,48.88,67.74,6.45,0,25.81,84.72,12.5,2.78,2,0,0
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,82,184.68,2.25,52.01,60.98,14.63,2.44,21.95,76.61,18.35,5.05,2,0,0
"Adam Henrique","ADAM.HENRIQUE","19-20","ANA","C","L",1990-02-06,29,70,161.75,2.31,51.15,51.57,15.72,1.89,30.82,79.14,17.79,3.07,3,0,0
"Adam Larsson","ADAM.LARSSON","11-12","N.J","D","R",1992-11-12,18,65,105.12,1.62,29.58,41.76,20.88,3.3,34.07,64.23,29.27,6.5,1,0,0
"Adam Lowry","ADAM.LOWRY","16-17","WPG","L","L",1993-03-29,23,81,139.42,1.72,32.44,53.16,12.66,1.9,32.28,73.91,19.88,6.21,2,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,76,326.95,4.3,63.43,47.15,28.05,2.03,22.76,65.91,31.53,2.56,2,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,79,338.07,4.28,58.88,61.36,10.39,2.27,25.97,78.96,16.58,4.46,3,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,80,261.4,3.27,50.52,48.43,10.63,3.54,37.4,75.85,18.49,5.66,1,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","10-11","ARI","D","R",1973-07-03,37,73,64.87,0.89,14.88,28.3,12.26,5.66,53.77,62.32,26.09,11.59,0,0,0
"Adrian Kempe","ADRIAN.KEMPE","17-18","L.A","L","L",1996-09-13,21,79,89.82,1.14,23.87,34.85,13.64,1.52,50,72.45,22.45,5.1,2,0,0
"Adrian Kempe","ADRIAN.KEMPE","18-19","L.A","L","L",1996-09-13,22,77,108.93,1.41,30.26,38.26,11.41,1.34,48.99,71.17,22.52,6.31,0,0,0
"Adrian Kempe","ADRIAN.KEMPE","19-20","L.A","L","L",1996-09-13,23,67,171.5,2.56,54.32,71.92,9.59,0,18.49,88.42,9.47,2.11,1,0,0
"Alan Quine","ALAN.QUINE","16-17","NYI","C","L",1993-02-25,23,58,66.82,1.15,25.06,18.82,4.71,2.35,74.12,65.91,13.64,20.45,4,0,0
"Alec Martinez","ALEC.MARTINEZ","10-11","L.A","D","L",1987-07-26,23,59,105.33,1.79,29.77,42.54,11.19,2.24,44.03,76.07,18.8,5.13,3,0,0
"Alec Martinez","ALEC.MARTINEZ","11-12","L.A","D","L",1987-07-26,24,51,90.75,1.78,33.09,35.77,12.2,3.25,48.78,67.71,22.92,9.38,2,0,0
"Alec Martinez","ALEC.MARTINEZ","13-14","L.A","D","L",1987-07-26,26,59,120.67,2.05,34.44,39.55,9.7,0,50.75,72.65,20.51,6.84,4,0,0
"Alec Martinez","ALEC.MARTINEZ","14-15","L.A","D","L",1987-07-26,27,54,108.58,2.01,38.96,24.6,7.14,6.35,61.9,72.22,16.67,11.11,3,1,25
"Alec Martinez","ALEC.MARTINEZ","15-16","L.A","D","L",1987-07-26,28,76,153.05,2.01,41.91,41.24,5.65,2.26,50.85,83.1,11.97,4.93,2,0,0
"Alec Martinez","ALEC.MARTINEZ","16-17","L.A","D","L",1987-07-26,29,80,174.97,2.19,42.98,37.75,7.35,1.47,53.43,72.83,20.23,6.94,2,0,0
