"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,221.43,2.73,54.79,117,21,6,51,214,34,16,5,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,218.35,2.87,50.92,92,19,8,71,173,42,14,2,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,187.3,2.8,49.25,85,18,5,75,166,37,9,1,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,173.42,2.17,41.28,75,32,7,88,137,48,9,2,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,138,1.68,32.01,46,26,7,111,87,42,9,1,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.9,1.43,28.12,36,10,5,87,63,20,13,5,1
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,1.84,25.28,17,21,2,30,25,26,4,1,0
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,74.55,1.36,21.76,45,17,4,46,59,26,4,0,0
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,84.2,1.56,22.99,38,9,6,59,55,14,9,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,106.32,1.69,25.93,31,17,8,86,61,31,11,1,1
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,87.02,2.12,39.06,35,8,1,43,72,15,4,0,0
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,69,136.88,1.98,37.78,54,10,3,95,98,17,6,2,0
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,54,76.63,1.42,27.64,37,8,1,56,48,13,2,1,0
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,58,89.62,1.55,28.42,50,10,4,75,68,16,10,5,0
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,73,119.5,1.64,31.21,31,12,4,113,44,27,9,1,0
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,110.3,2.63,45.46,62,15,1,60,85,24,8,3,0
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,162.45,2.11,41.26,66,17,10,110,111,31,16,1,0
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,73,128.9,1.77,40.91,65,19,8,67,98,27,13,2,0
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,79,206.1,2.61,51.22,91,28,3,89,163,44,9,0,0
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,81,198.93,2.46,47.2,77,20,4,106,143,33,9,1,0
